Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2026-02-06,1,PT1H,MC-ArgosTol,6356.54,5890.0
2026-02-06,2,PT1H,MC-ArgosTol,8264.89,5890.0
2026-02-06,3,PT1H,MC-ArgosTol,8280.73,5890.0
2026-02-06,4,PT1H,MC-ArgosTol,8188.78,5890.0
2026-02-06,5,PT1H,MC-ArgosTol,8136.93,5890.0
2026-02-06,6,PT1H,MC-ArgosTol,8148.67,5890.0
2026-02-06,7,PT1H,MC-ArgosTol,8189.58,5890.0
2026-02-06,8,PT1H,MC-ArgosTol,8292.71,5890.0
2026-02-06,9,PT1H,MC-ArgosTol,6943.76,5890.0
2026-02-06,10,PT1H,MC-ArgosTol,6609.39,5890.0
2026-02-06,11,PT1H,MC-ArgosTol,6623.46,5890.0
2026-02-06,12,PT1H,MC-ArgosTol,6535.25,5890.0
2026-02-06,13,PT1H,MC-ArgosTol,8077.94,5890.0
2026-02-06,14,PT1H,MC-ArgosTol,6649.61,5890.0
2026-02-06,15,PT1H,MC-ArgosTol,5808.62,5890.0
2026-02-06,16,PT1H,MC-ArgosTol,7388.88,5890.0
2026-02-06,17,PT1H,MC-ArgosTol,8237.95,5890.0
2026-02-06,18,PT1H,MC-ArgosTol,8238.93,5890.0
2026-02-06,19,PT1H,MC-ArgosTol,8364.61,5890.0
2026-02-06,20,PT1H,MC-ArgosTol,8399.8,5890.0
2026-02-06,21,PT1H,MC-ArgosTol,8331.58,5890.0
2026-02-06,22,PT1H,MC-ArgosTol,8334.63,5890.0
2026-02-06,23,PT1H,MC-ArgosTol,8253.26,5890.0
2026-02-06,24,PT1H,MC-ArgosTol,8172.09,5890.0
2026-02-13,1,PT1H,MC-ArgosTol,5233.03,5720.0
2026-02-13,2,PT1H,MC-ArgosTol,5082.74,5720.0
2026-02-13,3,PT1H,MC-ArgosTol,5143.24,5720.0
2026-02-13,4,PT1H,MC-ArgosTol,5125.69,5720.0
2026-02-13,5,PT1H,MC-ArgosTol,5136.18,5720.0
2026-02-13,6,PT1H,MC-ArgosTol,5370.75,5720.0
2026-02-13,7,PT1H,MC-ArgosTol,6307.11,5720.0
2026-02-13,8,PT1H,MC-ArgosTol,6390.55,5720.0
2026-02-13,9,PT1H,MC-ArgosTol,6596.51,5720.0
