Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Atlantico,708416.88,691300.0
2023-04-13,2,PT1H,MC-Atlantico,688208.31,672300.0
2023-04-13,3,PT1H,MC-Atlantico,668366.19,654700.0
2023-04-13,4,PT1H,MC-Atlantico,651487.06,638500.0
2023-04-13,5,PT1H,MC-Atlantico,643938.81,626600.0
2023-04-13,6,PT1H,MC-Atlantico,631597.5,618900.0
2023-04-13,7,PT1H,MC-Atlantico,606656.13,601100.0
2023-04-13,8,PT1H,MC-Atlantico,641574.19,633200.0
2023-04-13,9,PT1H,MC-Atlantico,694516.44,684500.0
2023-04-13,10,PT1H,MC-Atlantico,722845.06,708200.0
2023-04-13,11,PT1H,MC-Atlantico,748130.13,731200.0
2023-04-13,12,PT1H,MC-Atlantico,765632.06,750500.0
2023-04-13,13,PT1H,MC-Atlantico,760502.81,745800.0
2023-04-13,14,PT1H,MC-Atlantico,780938.63,767300.0
2023-04-13,15,PT1H,MC-Atlantico,804973.63,787100.0
2023-04-13,16,PT1H,MC-Atlantico,803208.38,778600.0
2023-04-13,17,PT1H,MC-Atlantico,778502.88,756400.0
2023-04-13,18,PT1H,MC-Atlantico,724646.94,713100.0
2023-04-13,19,PT1H,MC-Atlantico,725667.88,727400.0
2023-04-13,20,PT1H,MC-Atlantico,747603.38,741800.0
2023-04-13,21,PT1H,MC-Atlantico,758463.13,751400.0
2023-04-13,22,PT1H,MC-Atlantico,767154.75,758300.0
2023-04-13,23,PT1H,MC-Atlantico,761411.5,756600.0
2023-04-13,24,PT1H,MC-Atlantico,740528.13,733200.0
2025-10-14,1,PT1H,MC-Atlantico,1495285.38,1571800.0
2025-10-14,2,PT1H,MC-Atlantico,1434091.64,1526800.0
2025-10-14,3,PT1H,MC-Atlantico,1387931.72,1481800.0
2025-10-14,4,PT1H,MC-Atlantico,1338162.0,1441600.0
2025-10-14,5,PT1H,MC-Atlantico,1315033.9,1411000.0
2025-10-14,6,PT1H,MC-Atlantico,1270868.46,1369600.0
2025-10-14,7,PT1H,MC-Atlantico,1210042.58,1319800.0
2025-10-14,8,PT1H,MC-Atlantico,1234113.58,1348200.0
2025-10-14,9,PT1H,MC-Atlantico,1294530.62,1404200.0
