Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Cali,403985.09,405449.53
2023-04-13,2,PT1H,MC-Cali,383900.5,384754.16
2023-04-13,3,PT1H,MC-Cali,370743.78,375587.84
2023-04-13,4,PT1H,MC-Cali,365672.53,369760.97
2023-04-13,5,PT1H,MC-Cali,371540.06,373527.91
2023-04-13,6,PT1H,MC-Cali,393052.53,386611.84
2023-04-13,7,PT1H,MC-Cali,413378.63,404001.53
2023-04-13,8,PT1H,MC-Cali,464766.88,449601.25
2023-04-13,9,PT1H,MC-Cali,511104.16,502463.44
2023-04-13,10,PT1H,MC-Cali,541243.44,535713.19
2023-04-13,11,PT1H,MC-Cali,568889.44,564874.94
2023-04-13,12,PT1H,MC-Cali,587052.69,590739.38
2023-04-13,13,PT1H,MC-Cali,586616.0,591034.81
2023-04-13,14,PT1H,MC-Cali,595140.44,588839.25
2023-04-13,15,PT1H,MC-Cali,602399.31,594617.5
2023-04-13,16,PT1H,MC-Cali,614555.63,597006.88
2023-04-13,17,PT1H,MC-Cali,597962.75,589361.19
2023-04-13,18,PT1H,MC-Cali,568877.13,553852.88
2023-04-13,19,PT1H,MC-Cali,564537.81,554236.06
2023-04-13,20,PT1H,MC-Cali,571790.0,563949.69
2023-04-13,21,PT1H,MC-Cali,547693.69,547012.25
2023-04-13,22,PT1H,MC-Cali,515072.44,516057.75
2023-04-13,23,PT1H,MC-Cali,461903.84,476621.59
2023-04-13,24,PT1H,MC-Cali,430675.44,436324.22
2025-10-14,6,PT1H,MC-Cali,731716.92,789021.5
2025-10-14,7,PT1H,MC-Cali,789898.06,819231.2
2025-10-14,8,PT1H,MC-Cali,857636.78,907139.8
2025-10-14,9,PT1H,MC-Cali,955410.62,1024400.4
2025-10-14,10,PT1H,MC-Cali,1039079.78,1103024.3
2025-10-14,11,PT1H,MC-Cali,1089395.42,1160354.9
2025-10-14,12,PT1H,MC-Cali,1138103.7,1195123.9
2025-10-14,13,PT1H,MC-Cali,1135886.82,1179401.7
2025-10-14,14,PT1H,MC-Cali,1157312.88,1194488.4
2025-10-14,15,PT1H,MC-Cali,1192987.36,1216096.5
2025-10-14,16,PT1H,MC-Cali,1222542.06,1202705.1
2025-10-14,17,PT1H,MC-Cali,1209469.88,1155797.1
2025-10-14,18,PT1H,MC-Cali,1151741.72,1100920.3
2025-10-14,19,PT1H,MC-Cali,1171446.22,1143781.9
2025-10-14,20,PT1H,MC-Cali,1152631.12,1126821.8
2025-10-14,21,PT1H,MC-Cali,1097361.24,1068279.0
2025-10-14,22,PT1H,MC-Cali,1022676.32,1002019.3
2025-10-14,23,PT1H,MC-Cali,939104.32,916979.4
2025-10-14,24,PT1H,MC-Cali,852470.94,850287.2
2025-10-14,1,PT1H,MC-Cali,677089.54,803224.2
2025-10-14,2,PT1H,MC-Cali,653170.8,772010.6
2025-10-14,3,PT1H,MC-Cali,640357.94,747858.3
2025-10-14,4,PT1H,MC-Cali,655247.14,733125.7
2025-10-14,5,PT1H,MC-Cali,676086.46,747907.3
2026-02-06,1,PT1H,MC-Cali,385656.35,388418.4
2026-02-06,2,PT1H,MC-Cali,375953.45,364893.8
2026-02-06,3,PT1H,MC-Cali,366458.67,355034.5
2026-02-06,4,PT1H,MC-Cali,362357.17,353596.0
2026-02-06,5,PT1H,MC-Cali,365671.88,351601.3
2026-02-06,6,PT1H,MC-Cali,390917.53,371410.7
