Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Tolima,172138.41,174448.17
2023-04-13,2,PT1H,MC-Tolima,166875.28,165308.17
2023-04-13,3,PT1H,MC-Tolima,162358.25,161494.27
2023-04-13,4,PT1H,MC-Tolima,160056.86,160644.7
2023-04-13,5,PT1H,MC-Tolima,161361.61,160024.97
2023-04-13,6,PT1H,MC-Tolima,169497.95,162622.84
2023-04-13,7,PT1H,MC-Tolima,168290.47,163999.86
2023-04-13,8,PT1H,MC-Tolima,178877.33,175128.73
2023-04-13,9,PT1H,MC-Tolima,190202.98,187358.3
2023-04-13,10,PT1H,MC-Tolima,200559.08,199894.63
2023-04-13,11,PT1H,MC-Tolima,213102.64,210200.08
2023-04-13,12,PT1H,MC-Tolima,221262.44,219253.61
2023-04-13,13,PT1H,MC-Tolima,216170.86,222603.3
2023-04-13,14,PT1H,MC-Tolima,220142.36,224860.05
2023-04-13,15,PT1H,MC-Tolima,225962.8,227437.81
2023-04-13,16,PT1H,MC-Tolima,223361.88,228765.61
2023-04-13,17,PT1H,MC-Tolima,226317.67,228245.83
2023-04-13,18,PT1H,MC-Tolima,221264.27,228735.27
2023-04-13,19,PT1H,MC-Tolima,240699.84,237590.55
2023-04-13,20,PT1H,MC-Tolima,252447.98,245136.47
2023-04-13,21,PT1H,MC-Tolima,248055.28,240847.42
2023-04-13,22,PT1H,MC-Tolima,233559.44,227999.8
2023-04-13,23,PT1H,MC-Tolima,212896.31,209756.91
2023-04-13,24,PT1H,MC-Tolima,194821.38,191834.36
2025-10-14,1,PT1H,MC-Tolima,328710.1,345059.6
2025-10-14,2,PT1H,MC-Tolima,316190.54,332189.8
2025-10-14,3,PT1H,MC-Tolima,296135.66,321159.4
2025-10-14,4,PT1H,MC-Tolima,296738.56,318172.1
2025-10-14,5,PT1H,MC-Tolima,299698.64,318633.1
2025-10-14,6,PT1H,MC-Tolima,309033.78,326288.4
2025-10-14,7,PT1H,MC-Tolima,311676.8,330607.7
2025-10-14,8,PT1H,MC-Tolima,335436.0,351584.1
2025-10-14,9,PT1H,MC-Tolima,345558.3,369714.3
2025-10-14,10,PT1H,MC-Tolima,352686.6,378959.6
2025-10-14,11,PT1H,MC-Tolima,366828.48,388927.7
2025-10-14,12,PT1H,MC-Tolima,374891.8,401347.1
2025-10-14,13,PT1H,MC-Tolima,372559.04,402443.9
2025-10-14,14,PT1H,MC-Tolima,377236.2,413061.7
2025-10-14,15,PT1H,MC-Tolima,391844.18,424636.9
2025-10-14,16,PT1H,MC-Tolima,405175.58,434847.9
2025-10-14,17,PT1H,MC-Tolima,422822.98,446524.6
2025-10-14,18,PT1H,MC-Tolima,446553.72,461210.5
2025-10-14,19,PT1H,MC-Tolima,499629.46,492778.5
2025-10-14,20,PT1H,MC-Tolima,509829.6,489128.6
2025-10-14,21,PT1H,MC-Tolima,493434.32,476274.5
2025-10-14,22,PT1H,MC-Tolima,459372.66,449870.7
2025-10-14,23,PT1H,MC-Tolima,420262.58,407912.5
2025-10-14,24,PT1H,MC-Tolima,379524.1,375069.9
2026-02-06,1,PT1H,MC-Tolima,176151.65,178935.1
2026-02-06,2,PT1H,MC-Tolima,170375.84,171956.2
2026-02-06,3,PT1H,MC-Tolima,165782.89,167143.5
2026-02-06,4,PT1H,MC-Tolima,162535.55,164999.7
2026-02-06,5,PT1H,MC-Tolima,164509.34,166316.8
2026-02-06,6,PT1H,MC-Tolima,172847.94,170372.7
2026-02-06,7,PT1H,MC-Tolima,174099.77,170957.5
2026-02-06,8,PT1H,MC-Tolima,179281.04,180526.4
2026-02-06,9,PT1H,MC-Tolima,190313.72,189880.6
2026-02-06,10,PT1H,MC-Tolima,188510.42,192661.5
2026-02-06,11,PT1H,MC-Tolima,195027.87,197819.2
2026-02-06,12,PT1H,MC-Tolima,203293.3,207785.8
2026-02-06,13,PT1H,MC-Tolima,201410.54,208161.2
2026-02-06,14,PT1H,MC-Tolima,205417.26,207468.8
2026-02-06,15,PT1H,MC-Tolima,209693.94,211861.6
2026-02-06,16,PT1H,MC-Tolima,208035.75,215306.3
2026-02-06,17,PT1H,MC-Tolima,209285.72,216921.7
2026-02-06,18,PT1H,MC-Tolima,210940.07,219615.8
2026-02-06,19,PT1H,MC-Tolima,228649.83,237998.6
2026-02-06,20,PT1H,MC-Tolima,233427.69,243619.6
2026-02-06,21,PT1H,MC-Tolima,225202.1,237085.2
2026-02-06,22,PT1H,MC-Tolima,211548.91,222316.8
2026-02-06,23,PT1H,MC-Tolima,192717.56,204564.9
2026-02-06,24,PT1H,MC-Tolima,177753.82,188705.6
2023-02-07,1,PT1H,MC-Tolima,186876.17,188100.27
2023-02-07,2,PT1H,MC-Tolima,177702.27,187703.59
2023-02-07,3,PT1H,MC-Tolima,173480.88,182383.91
2023-02-07,4,PT1H,MC-Tolima,173156.72,179313.16
2023-02-07,5,PT1H,MC-Tolima,173404.34,176036.02
2023-02-07,6,PT1H,MC-Tolima,184317.53,177777.88
2023-02-07,7,PT1H,MC-Tolima,184255.84,183790.95
2023-02-07,8,PT1H,MC-Tolima,197911.42,193696.28
2023-02-07,9,PT1H,MC-Tolima,212065.25,203689.17
2023-02-07,10,PT1H,MC-Tolima,221356.88,213479.66
2023-02-07,11,PT1H,MC-Tolima,231347.31,222616.08
2023-02-07,12,PT1H,MC-Tolima,241471.58,229774.67
2023-02-07,13,PT1H,MC-Tolima,238424.38,230502.52
2023-02-07,14,PT1H,MC-Tolima,241195.25,230033.73
2023-02-07,15,PT1H,MC-Tolima,243415.92,232382.98
2023-02-07,16,PT1H,MC-Tolima,245317.41,233757.19
2023-02-07,17,PT1H,MC-Tolima,245348.83,232235.47
2023-02-07,18,PT1H,MC-Tolima,242077.55,230407.8
2023-02-07,19,PT1H,MC-Tolima,253217.59,234891.86
2023-02-07,20,PT1H,MC-Tolima,260780.3,237496.92
2023-02-07,21,PT1H,MC-Tolima,247888.47,230011.0
2023-02-07,22,PT1H,MC-Tolima,231433.59,222167.41
2023-02-07,23,PT1H,MC-Tolima,211332.42,212435.59
2023-02-07,24,PT1H,MC-Tolima,194362.75,190789.22
2023-05-06,1,PT1H,MC-Tolima,180736.16,171068.0
2023-05-06,2,PT1H,MC-Tolima,173228.7,166037.78
2023-05-06,3,PT1H,MC-Tolima,168422.66,162231.8
2023-05-06,4,PT1H,MC-Tolima,164329.75,159836.28
2023-05-06,5,PT1H,MC-Tolima,163832.36,159644.81
2023-05-06,6,PT1H,MC-Tolima,165468.09,160703.45
2023-05-06,7,PT1H,MC-Tolima,169723.89,164115.42
2023-05-06,8,PT1H,MC-Tolima,181349.19,177428.89
2023-05-06,9,PT1H,MC-Tolima,197240.75,190790.59
2023-05-06,10,PT1H,MC-Tolima,208523.64,201445.02
2023-05-06,11,PT1H,MC-Tolima,224104.8,209501.67
2023-05-06,12,PT1H,MC-Tolima,232270.2,211744.89
2023-05-06,13,PT1H,MC-Tolima,228282.66,212281.16
2023-05-06,14,PT1H,MC-Tolima,228806.59,212437.73
2023-05-06,15,PT1H,MC-Tolima,223866.06,212020.77
2023-05-06,16,PT1H,MC-Tolima,221639.78,212334.25
2023-05-06,17,PT1H,MC-Tolima,219461.75,213058.91
2023-05-06,18,PT1H,MC-Tolima,220670.73,216026.36
2023-05-06,19,PT1H,MC-Tolima,243046.67,229059.98
2023-05-06,20,PT1H,MC-Tolima,249089.2,232443.66
2023-05-06,21,PT1H,MC-Tolima,240108.83,226686.69
2023-05-06,22,PT1H,MC-Tolima,227708.78,215422.28
2023-05-06,23,PT1H,MC-Tolima,210029.73,199322.98
2023-05-06,24,PT1H,MC-Tolima,194329.66,181746.42
2025-07-02,1,PT1H,MC-Tolima,182738.84,176139.3
2025-07-02,2,PT1H,MC-Tolima,176823.58,170166.4
2025-07-02,3,PT1H,MC-Tolima,171983.06,167119.8
2025-07-02,4,PT1H,MC-Tolima,170652.73,165908.1
2025-07-02,5,PT1H,MC-Tolima,169605.84,166094.1
2025-07-02,6,PT1H,MC-Tolima,170220.32,168351.6
2025-07-02,7,PT1H,MC-Tolima,173846.66,171399.2
2025-07-02,8,PT1H,MC-Tolima,188516.3,182442.9
2025-07-02,9,PT1H,MC-Tolima,194952.26,190450.7
2025-07-02,10,PT1H,MC-Tolima,200479.42,196012.4
2025-07-02,11,PT1H,MC-Tolima,206989.96,201432.2
2025-07-02,12,PT1H,MC-Tolima,216539.34,206782.6
2025-07-02,13,PT1H,MC-Tolima,214612.36,205719.2
2025-07-02,14,PT1H,MC-Tolima,219565.9,208446.0
2025-07-02,15,PT1H,MC-Tolima,223449.77,214454.7
2025-07-02,16,PT1H,MC-Tolima,226140.38,217990.1
2025-07-02,17,PT1H,MC-Tolima,221825.73,221115.6
2025-07-02,18,PT1H,MC-Tolima,221035.33,225174.2
2025-07-02,19,PT1H,MC-Tolima,239860.84,236950.4
