Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Tulua,24735.52,23229.29
2023-04-13,2,PT1H,MC-Tulua,23654.16,22476.55
2023-04-13,3,PT1H,MC-Tulua,23349.38,22088.21
2023-04-13,4,PT1H,MC-Tulua,23255.51,21887.98
2023-04-13,5,PT1H,MC-Tulua,23678.94,22312.96
2023-04-13,6,PT1H,MC-Tulua,25320.61,23003.26
2023-04-13,7,PT1H,MC-Tulua,23657.99,23481.42
2023-04-13,8,PT1H,MC-Tulua,24663.52,24132.75
2023-04-13,9,PT1H,MC-Tulua,26974.65,24953.05
2023-04-13,10,PT1H,MC-Tulua,27426.03,26286.34
2023-04-13,11,PT1H,MC-Tulua,28686.55,27476.22
2023-04-13,12,PT1H,MC-Tulua,30240.11,28029.72
2023-04-13,13,PT1H,MC-Tulua,28907.95,28158.74
2023-04-13,14,PT1H,MC-Tulua,29090.86,28232.72
2023-04-13,15,PT1H,MC-Tulua,30962.44,28883.15
2023-04-13,16,PT1H,MC-Tulua,32160.48,29435.22
2023-04-13,17,PT1H,MC-Tulua,32753.29,30223.49
2023-04-13,18,PT1H,MC-Tulua,32048.62,30796.82
2023-04-13,19,PT1H,MC-Tulua,34820.82,31862.29
2023-04-13,20,PT1H,MC-Tulua,36453.8,32509.46
2023-04-13,21,PT1H,MC-Tulua,34610.72,32426.38
2023-04-13,22,PT1H,MC-Tulua,33189.82,31201.51
2023-04-13,23,PT1H,MC-Tulua,29919.71,28835.52
2023-04-13,24,PT1H,MC-Tulua,26631.02,25751.58
2025-10-14,1,PT1H,MC-Tulua,40745.2,43666.8
2025-10-14,2,PT1H,MC-Tulua,38895.48,42139.0
2025-10-14,3,PT1H,MC-Tulua,37716.48,41319.0
2025-10-14,4,PT1H,MC-Tulua,38062.98,41216.5
2025-10-14,5,PT1H,MC-Tulua,38396.12,41642.1
2025-10-14,6,PT1H,MC-Tulua,41890.72,42992.0
2025-10-14,7,PT1H,MC-Tulua,42172.7,42312.9
2025-10-14,8,PT1H,MC-Tulua,44455.46,43848.0
2025-10-14,9,PT1H,MC-Tulua,48026.0,46823.1
2025-10-14,10,PT1H,MC-Tulua,51546.72,50625.3
2025-10-14,11,PT1H,MC-Tulua,55516.82,54426.9
2025-10-14,12,PT1H,MC-Tulua,59233.02,57522.3
2025-10-14,13,PT1H,MC-Tulua,56492.04,56149.6
2025-10-14,14,PT1H,MC-Tulua,55700.58,56142.0
2025-10-14,15,PT1H,MC-Tulua,58690.06,58653.1
2025-10-14,16,PT1H,MC-Tulua,60717.36,61810.0
2025-10-14,17,PT1H,MC-Tulua,61665.02,63406.9
2025-10-14,18,PT1H,MC-Tulua,62675.88,65162.0
2025-10-14,19,PT1H,MC-Tulua,69671.24,69430.7
2025-10-14,20,PT1H,MC-Tulua,66474.82,68773.1
2025-10-14,21,PT1H,MC-Tulua,63460.46,65804.1
2025-10-14,22,PT1H,MC-Tulua,59256.92,60651.5
2025-10-14,23,PT1H,MC-Tulua,52994.86,54482.4
2025-10-14,24,PT1H,MC-Tulua,46467.24,49163.9
2026-02-06,1,PT1H,MC-Tulua,23281.99,23413.9
2026-02-06,2,PT1H,MC-Tulua,22223.23,22209.8
2026-02-06,3,PT1H,MC-Tulua,21495.99,21505.2
2026-02-06,4,PT1H,MC-Tulua,21280.35,21279.7
2026-02-06,5,PT1H,MC-Tulua,21647.39,21586.0
2026-02-06,6,PT1H,MC-Tulua,23685.0,22968.9
2026-02-06,7,PT1H,MC-Tulua,23642.8,22870.9
2026-02-06,8,PT1H,MC-Tulua,24351.56,23502.3
2026-02-06,9,PT1H,MC-Tulua,25094.84,24721.9
2026-02-06,10,PT1H,MC-Tulua,25322.49,26723.1
2026-02-06,11,PT1H,MC-Tulua,26958.33,28193.0
2026-02-06,12,PT1H,MC-Tulua,28637.93,29556.5
2026-02-06,13,PT1H,MC-Tulua,27572.36,28395.7
2026-02-06,14,PT1H,MC-Tulua,26575.31,28368.3
2026-02-06,15,PT1H,MC-Tulua,28329.86,30019.2
2026-02-06,16,PT1H,MC-Tulua,29322.87,31881.2
2026-02-06,17,PT1H,MC-Tulua,30845.29,32436.9
2026-02-06,18,PT1H,MC-Tulua,32682.46,32756.1
2026-02-06,19,PT1H,MC-Tulua,35686.94,35080.4
2026-02-06,20,PT1H,MC-Tulua,36302.43,35330.8
2026-02-06,21,PT1H,MC-Tulua,34434.45,33838.0
2026-02-06,22,PT1H,MC-Tulua,32852.95,31607.8
2026-02-06,23,PT1H,MC-Tulua,30026.91,28681.0
2026-02-06,24,PT1H,MC-Tulua,27356.71,25751.2
2023-02-07,1,PT1H,MC-Tulua,24739.12,23016.27
2023-02-07,2,PT1H,MC-Tulua,23190.72,21920.54
2023-02-07,3,PT1H,MC-Tulua,22447.08,21329.05
2023-02-07,4,PT1H,MC-Tulua,22296.25,21048.56
2023-02-07,5,PT1H,MC-Tulua,22589.62,21378.88
2023-02-07,6,PT1H,MC-Tulua,24527.26,22755.66
2023-02-07,7,PT1H,MC-Tulua,23792.81,22584.92
2023-02-07,8,PT1H,MC-Tulua,24390.28,23240.68
2023-02-07,9,PT1H,MC-Tulua,25792.26,24734.04
2023-02-07,10,PT1H,MC-Tulua,27552.01,26681.17
2023-02-07,11,PT1H,MC-Tulua,29908.18,28697.62
2023-02-07,12,PT1H,MC-Tulua,31796.11,30313.12
2023-02-07,13,PT1H,MC-Tulua,30366.82,29541.01
2023-02-07,14,PT1H,MC-Tulua,30709.4,29301.88
2023-02-07,15,PT1H,MC-Tulua,33208.14,30646.75
2023-02-07,16,PT1H,MC-Tulua,34532.85,31483.58
2023-02-07,17,PT1H,MC-Tulua,35259.36,31474.75
2023-02-07,18,PT1H,MC-Tulua,33926.52,32377.36
2023-02-07,19,PT1H,MC-Tulua,35794.7,34172.79
2023-02-07,20,PT1H,MC-Tulua,37363.38,34834.57
2023-02-07,21,PT1H,MC-Tulua,35670.75,33758.97
2023-02-07,22,PT1H,MC-Tulua,33552.03,31579.66
2023-02-07,23,PT1H,MC-Tulua,30601.35,28368.97
2023-02-07,24,PT1H,MC-Tulua,27705.37,25411.25
2023-05-06,1,PT1H,MC-Tulua,26237.08,23787.34
2023-05-06,2,PT1H,MC-Tulua,25236.13,22646.9
2023-05-06,3,PT1H,MC-Tulua,24109.71,22038.89
2023-05-06,4,PT1H,MC-Tulua,23804.65,21789.38
2023-05-06,5,PT1H,MC-Tulua,23827.04,22011.54
2023-05-06,6,PT1H,MC-Tulua,24425.13,22365.68
2023-05-06,7,PT1H,MC-Tulua,23151.17,22265.87
2023-05-06,8,PT1H,MC-Tulua,23887.12,22947.21
2023-05-06,9,PT1H,MC-Tulua,25378.69,24145.01
2023-05-06,10,PT1H,MC-Tulua,27718.09,25767.03
2023-05-06,11,PT1H,MC-Tulua,30094.01,27378.89
2023-05-06,12,PT1H,MC-Tulua,31623.92,28330.82
2023-05-06,13,PT1H,MC-Tulua,30992.99,28228.44
2023-05-06,14,PT1H,MC-Tulua,29805.84,27703.81
2023-05-06,15,PT1H,MC-Tulua,29441.99,27577.41
2023-05-06,16,PT1H,MC-Tulua,30065.21,27910.44
2023-05-06,17,PT1H,MC-Tulua,31184.88,28691.8
2023-05-06,18,PT1H,MC-Tulua,31737.29,30463.56
2023-05-06,19,PT1H,MC-Tulua,35350.63,33306.07
2023-05-06,20,PT1H,MC-Tulua,35307.58,33917.21
2023-05-06,21,PT1H,MC-Tulua,34376.43,32822.84
2023-05-06,22,PT1H,MC-Tulua,33529.61,30664.12
2023-05-06,23,PT1H,MC-Tulua,29918.63,28101.21
