Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-BajoPutumayo,9176.25,7657.23
2022-01-01,1,PT1H,MC-BajoPutumayo,9577.19,8487.26
2022-01-01,2,PT1H,MC-BajoPutumayo,9198.83,8324.69
2022-01-01,3,PT1H,MC-BajoPutumayo,8664.41,7651.43
2022-01-01,4,PT1H,MC-BajoPutumayo,8300.33,7056.44
2022-01-01,5,PT1H,MC-BajoPutumayo,7930.88,6322.26
2022-01-01,6,PT1H,MC-BajoPutumayo,7528.58,6434.47
2022-01-01,7,PT1H,MC-BajoPutumayo,6806.9,6241.33
2022-01-01,8,PT1H,MC-BajoPutumayo,7139.74,6371.22
2022-01-01,9,PT1H,MC-BajoPutumayo,8158.69,6635.08
2022-01-01,10,PT1H,MC-BajoPutumayo,9349.35,7363.89
2022-01-01,11,PT1H,MC-BajoPutumayo,9826.01,8072.83
2022-01-01,23,PT1H,MC-BajoPutumayo,9692.67,8777.27
2022-01-01,13,PT1H,MC-BajoPutumayo,9323.66,8422.87
2022-01-01,14,PT1H,MC-BajoPutumayo,9140.68,8400.72
2022-01-01,15,PT1H,MC-BajoPutumayo,9335.19,8503.93
2022-01-01,16,PT1H,MC-BajoPutumayo,9302.83,8971.04
2022-01-01,17,PT1H,MC-BajoPutumayo,9168.24,8689.31
2022-01-01,18,PT1H,MC-BajoPutumayo,9525.43,8600.07
2022-01-01,19,PT1H,MC-BajoPutumayo,10950.01,10044.26
2022-01-01,20,PT1H,MC-BajoPutumayo,12001.44,11284.38
2022-01-01,21,PT1H,MC-BajoPutumayo,11594.99,10522.17
2022-01-01,12,PT1H,MC-BajoPutumayo,9384.19,7824.32
2022-01-01,22,PT1H,MC-BajoPutumayo,10776.21,9671.52
2022-01-02,15,PT1H,MC-BajoPutumayo,10860.62,10809.03
2022-01-02,16,PT1H,MC-BajoPutumayo,10745.88,10603.63
2022-01-02,17,PT1H,MC-BajoPutumayo,10998.83,10490.67
2022-01-02,21,PT1H,MC-BajoPutumayo,12813.68,11695.58
2022-01-02,19,PT1H,MC-BajoPutumayo,11919.52,11552.71
2022-01-02,20,PT1H,MC-BajoPutumayo,13180.9,12307.82
2022-01-02,14,PT1H,MC-BajoPutumayo,11746.41,10723.53
2022-01-02,22,PT1H,MC-BajoPutumayo,11776.91,11031.02
2022-01-02,18,PT1H,MC-BajoPutumayo,10807.84,10314.6
2022-01-02,13,PT1H,MC-BajoPutumayo,11687.11,10722.41
2022-01-02,7,PT1H,MC-BajoPutumayo,6821.09,6633.88
