Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Bolivar,397942.34,458846.19
2022-01-01,1,PT1H,MC-Bolivar,368900.09,439667.28
2022-01-01,2,PT1H,MC-Bolivar,372082.59,432323.53
2022-01-01,3,PT1H,MC-Bolivar,375660.44,424436.03
2022-01-01,4,PT1H,MC-Bolivar,371246.72,417601.66
2022-01-01,5,PT1H,MC-Bolivar,362004.66,410679.78
2022-01-01,6,PT1H,MC-Bolivar,354846.25,401723.53
2022-01-01,7,PT1H,MC-Bolivar,338661.34,383472.25
2022-01-01,8,PT1H,MC-Bolivar,336268.63,382006.09
2022-01-01,9,PT1H,MC-Bolivar,339266.38,398128.09
2022-01-01,10,PT1H,MC-Bolivar,351132.16,412602.31
2022-01-01,11,PT1H,MC-Bolivar,356065.78,425792.97
2022-01-01,23,PT1H,MC-Bolivar,409678.47,469202.44
2022-01-01,13,PT1H,MC-Bolivar,359746.75,441291.69
2022-01-01,14,PT1H,MC-Bolivar,364690.22,445007.31
2022-01-01,15,PT1H,MC-Bolivar,367533.84,447838.56
2022-01-01,16,PT1H,MC-Bolivar,368424.72,447267.69
2022-01-01,17,PT1H,MC-Bolivar,368184.59,436861.44
2022-01-01,18,PT1H,MC-Bolivar,364993.44,436523.97
2022-01-01,19,PT1H,MC-Bolivar,388640.19,461598.41
2022-01-01,20,PT1H,MC-Bolivar,396006.53,469615.94
2022-01-01,21,PT1H,MC-Bolivar,401318.03,472352.91
2022-01-01,12,PT1H,MC-Bolivar,359791.84,434944.81
2022-01-01,22,PT1H,MC-Bolivar,405175.31,471777.44
2022-01-02,15,PT1H,MC-Bolivar,376958.13,429215.28
2022-01-02,16,PT1H,MC-Bolivar,378411.84,425693.41
2022-01-02,17,PT1H,MC-Bolivar,372999.66,414668.31
2022-01-02,21,PT1H,MC-Bolivar,403702.75,454466.47
2022-01-02,19,PT1H,MC-Bolivar,396481.03,439501.78
2022-01-02,20,PT1H,MC-Bolivar,401960.53,446694.47
2022-01-02,14,PT1H,MC-Bolivar,374707.22,424059.03
2022-01-02,22,PT1H,MC-Bolivar,416270.25,465073.56
2022-01-02,18,PT1H,MC-Bolivar,370564.69,417818.41
2022-01-02,13,PT1H,MC-Bolivar,371456.22,416880.69
2022-01-02,7,PT1H,MC-Bolivar,322874.28,363074.81
2022-01-02,11,PT1H,MC-Bolivar,357329.75,396726.56
2022-01-02,10,PT1H,MC-Bolivar,350436.81,386062.66
2022-01-02,9,PT1H,MC-Bolivar,339985.81,374746.31
2022-01-02,8,PT1H,MC-Bolivar,327630.78,364892.25
2022-01-02,6,PT1H,MC-Bolivar,337360.16,383143.5
2022-01-02,5,PT1H,MC-Bolivar,343137.0,395304.97
2022-01-02,4,PT1H,MC-Bolivar,351531.81,405356.13
2022-01-02,3,PT1H,MC-Bolivar,363903.5,420198.97
2022-01-02,23,PT1H,MC-Bolivar,421821.47,464411.03
2022-01-02,1,PT1H,MC-Bolivar,381760.91,447952.13
2022-01-02,12,PT1H,MC-Bolivar,365215.28,406760.94
2022-01-02,2,PT1H,MC-Bolivar,371841.97,435868.28
2022-01-02,24,PT1H,MC-Bolivar,416370.03,458314.19
2022-01-03,14,PT1H,MC-Bolivar,429731.28,454574.88
2022-01-03,23,PT1H,MC-Bolivar,442072.25,465096.72
2022-01-03,22,PT1H,MC-Bolivar,442224.16,468176.88
2022-01-03,21,PT1H,MC-Bolivar,433602.31,468228.72
2022-01-03,20,PT1H,MC-Bolivar,435477.19,464827.19
2022-01-03,19,PT1H,MC-Bolivar,431403.84,457856.75
2022-01-03,18,PT1H,MC-Bolivar,410673.66,438485.34
2022-01-03,17,PT1H,MC-Bolivar,428694.13,449591.31
2022-01-03,16,PT1H,MC-Bolivar,438520.34,463272.34
2022-01-03,15,PT1H,MC-Bolivar,436593.84,463449.88
2022-01-03,24,PT1H,MC-Bolivar,435133.72,458887.78
2022-01-03,13,PT1H,MC-Bolivar,422471.5,447043.81
2022-01-03,1,PT1H,MC-Bolivar,405828.88,437344.63
2022-01-03,11,PT1H,MC-Bolivar,408684.97,437074.88
2022-01-03,10,PT1H,MC-Bolivar,396359.09,425550.84
2022-01-03,9,PT1H,MC-Bolivar,376373.88,411265.09
2022-01-03,8,PT1H,MC-Bolivar,355632.88,394916.69
2022-01-03,7,PT1H,MC-Bolivar,348400.31,379291.69
2022-01-03,6,PT1H,MC-Bolivar,361280.69,385866.66
2022-01-03,5,PT1H,MC-Bolivar,366296.72,394125.84
2022-01-03,4,PT1H,MC-Bolivar,373260.03,405738.34
2022-01-03,3,PT1H,MC-Bolivar,384245.25,416206.66
2022-01-03,2,PT1H,MC-Bolivar,396006.25,425940.75
2022-01-03,12,PT1H,MC-Bolivar,417244.19,446099.88
2022-01-04,24,PT1H,MC-Bolivar,426358.34,460939.91
2022-01-04,23,PT1H,MC-Bolivar,434840.34,467112.09
2022-01-04,22,PT1H,MC-Bolivar,437106.44,468503.47
2022-01-04,1,PT1H,MC-Bolivar,417305.22,443082.63
2022-01-04,12,PT1H,MC-Bolivar,419088.78,446500.06
2022-01-04,21,PT1H,MC-Bolivar,433731.75,465703.5
2022-01-04,18,PT1H,MC-Bolivar,409238.88,431741.66
2022-01-04,17,PT1H,MC-Bolivar,430752.59,445840.94
2022-01-04,16,PT1H,MC-Bolivar,443661.81,462452.38
2022-01-04,15,PT1H,MC-Bolivar,443771.19,463028.44
2022-01-04,14,PT1H,MC-Bolivar,436186.72,457090.94
2022-01-04,13,PT1H,MC-Bolivar,424952.94,446857.41
2022-01-04,11,PT1H,MC-Bolivar,403030.84,436137.84
2022-01-04,19,PT1H,MC-Bolivar,431507.16,453978.5
2022-01-04,10,PT1H,MC-Bolivar,389194.38,426540.19
2022-01-04,8,PT1H,MC-Bolivar,355026.0,389700.34
2022-01-04,7,PT1H,MC-Bolivar,347836.78,379413.41
2022-01-04,6,PT1H,MC-Bolivar,362016.38,394858.84
2022-01-04,5,PT1H,MC-Bolivar,367264.75,401208.88
2022-01-04,4,PT1H,MC-Bolivar,374831.25,410307.0
2022-01-04,3,PT1H,MC-Bolivar,377997.72,419494.5
2022-01-04,2,PT1H,MC-Bolivar,402618.69,429937.53
2022-01-04,9,PT1H,MC-Bolivar,375017.44,411137.84
