Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Casanare,63160.56,66900.0
2022-01-01,1,PT1H,MC-Casanare,62121.8,69400.0
2022-01-01,2,PT1H,MC-Casanare,61429.19,67200.0
2022-01-01,3,PT1H,MC-Casanare,60317.67,65700.0
2022-01-01,4,PT1H,MC-Casanare,59020.99,63700.0
2022-01-01,5,PT1H,MC-Casanare,57906.75,62700.0
2022-01-01,6,PT1H,MC-Casanare,55921.32,60200.0
2022-01-01,7,PT1H,MC-Casanare,51743.59,55000.0
2022-01-01,8,PT1H,MC-Casanare,54687.69,56900.0
2022-01-01,9,PT1H,MC-Casanare,57158.14,59500.0
2022-01-01,10,PT1H,MC-Casanare,58750.83,61800.0
2022-01-01,11,PT1H,MC-Casanare,60006.33,63900.0
2022-01-01,23,PT1H,MC-Casanare,66221.36,70000.0
2022-01-01,13,PT1H,MC-Casanare,60949.0,64300.0
2022-01-01,14,PT1H,MC-Casanare,60415.98,63800.0
2022-01-01,15,PT1H,MC-Casanare,59742.93,63200.0
2022-01-01,16,PT1H,MC-Casanare,59606.21,63100.0
2022-01-01,17,PT1H,MC-Casanare,59807.75,62900.0
2022-01-01,18,PT1H,MC-Casanare,60917.56,65300.0
2022-01-01,19,PT1H,MC-Casanare,69946.62,77900.0
2022-01-01,20,PT1H,MC-Casanare,71615.7,79800.0
2022-01-01,21,PT1H,MC-Casanare,71185.71,77600.0
2022-01-01,12,PT1H,MC-Casanare,60978.95,64400.0
2022-01-01,22,PT1H,MC-Casanare,69004.12,74600.0
2022-01-02,15,PT1H,MC-Casanare,64606.11,70500.0
2022-01-02,16,PT1H,MC-Casanare,64087.93,70400.0
2022-01-02,17,PT1H,MC-Casanare,63720.29,70000.0
2022-01-02,21,PT1H,MC-Casanare,73251.47,79500.0
2022-01-02,19,PT1H,MC-Casanare,72911.51,80300.0
2022-01-02,20,PT1H,MC-Casanare,73947.73,80600.0
2022-01-02,14,PT1H,MC-Casanare,64494.0,70600.0
2022-01-02,22,PT1H,MC-Casanare,71100.96,76500.0
2022-01-02,18,PT1H,MC-Casanare,64327.97,72000.0
2022-01-02,13,PT1H,MC-Casanare,64359.39,70500.0
2022-01-02,7,PT1H,MC-Casanare,51576.54,53500.0
2022-01-02,11,PT1H,MC-Casanare,62203.74,68700.0
2022-01-02,10,PT1H,MC-Casanare,60592.28,66700.0
2022-01-02,9,PT1H,MC-Casanare,58563.36,63600.0
2022-01-02,8,PT1H,MC-Casanare,55138.04,59000.0
2022-01-02,6,PT1H,MC-Casanare,54092.52,57500.0
2022-01-02,5,PT1H,MC-Casanare,55843.41,60300.0
2022-01-02,4,PT1H,MC-Casanare,56567.09,61300.0
2022-01-02,3,PT1H,MC-Casanare,57401.39,62800.0
2022-01-02,23,PT1H,MC-Casanare,68017.02,72500.0
2022-01-02,1,PT1H,MC-Casanare,60973.16,66100.0
2022-01-02,12,PT1H,MC-Casanare,63774.28,70600.0
2022-01-02,2,PT1H,MC-Casanare,59032.69,64200.0
2022-01-02,24,PT1H,MC-Casanare,64580.56,68500.0
2022-01-03,14,PT1H,MC-Casanare,73729.14,83200.0
2022-01-03,23,PT1H,MC-Casanare,70320.03,75600.0
2022-01-03,22,PT1H,MC-Casanare,74081.72,80400.0
2022-01-03,21,PT1H,MC-Casanare,77009.73,84100.0
2022-01-03,20,PT1H,MC-Casanare,79084.66,85500.0
2022-01-03,19,PT1H,MC-Casanare,79617.22,87000.0
2022-01-03,18,PT1H,MC-Casanare,73943.05,81700.0
2022-01-03,17,PT1H,MC-Casanare,76662.64,84000.0
2022-01-03,16,PT1H,MC-Casanare,77954.65,87300.0
2022-01-03,15,PT1H,MC-Casanare,77122.65,87400.0
2022-01-03,24,PT1H,MC-Casanare,66585.7,71100.0
2022-01-03,13,PT1H,MC-Casanare,72337.19,81100.0
2022-01-03,1,PT1H,MC-Casanare,61496.45,62800.0
2022-01-03,11,PT1H,MC-Casanare,72726.97,81600.0
2022-01-03,10,PT1H,MC-Casanare,69426.68,78700.0
2022-01-03,9,PT1H,MC-Casanare,66118.63,74300.0
2022-01-03,8,PT1H,MC-Casanare,59875.62,65900.0
2022-01-03,7,PT1H,MC-Casanare,53487.4,57500.0
2022-01-03,6,PT1H,MC-Casanare,54739.34,57100.0
2022-01-03,5,PT1H,MC-Casanare,55841.63,58800.0
