Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Celsia,230073.3,230067.73
2022-01-01,1,PT1H,MC-Celsia,231928.28,227091.16
2022-01-01,2,PT1H,MC-Celsia,219658.59,218366.8
2022-01-01,3,PT1H,MC-Celsia,211778.34,212828.11
2022-01-01,4,PT1H,MC-Celsia,206052.03,208778.97
2022-01-01,5,PT1H,MC-Celsia,204946.47,208584.84
2022-01-01,6,PT1H,MC-Celsia,196994.16,209655.75
2022-01-01,7,PT1H,MC-Celsia,183478.61,207584.95
2022-01-01,8,PT1H,MC-Celsia,178873.67,214165.55
2022-01-01,9,PT1H,MC-Celsia,182557.28,226581.86
2022-01-01,10,PT1H,MC-Celsia,192761.59,237596.27
2022-01-01,11,PT1H,MC-Celsia,199478.92,250519.97
2022-01-01,23,PT1H,MC-Celsia,240445.92,243646.98
2022-01-01,13,PT1H,MC-Celsia,210267.55,262175.53
2022-01-01,14,PT1H,MC-Celsia,214377.67,264948.88
2022-01-01,15,PT1H,MC-Celsia,216790.39,263901.06
2022-01-01,16,PT1H,MC-Celsia,215243.72,262540.44
2022-01-01,17,PT1H,MC-Celsia,214773.14,262275.19
2022-01-01,18,PT1H,MC-Celsia,220910.23,260715.88
2022-01-01,19,PT1H,MC-Celsia,252049.69,275307.66
2022-01-01,20,PT1H,MC-Celsia,263077.41,280598.16
2022-01-01,21,PT1H,MC-Celsia,256772.38,274589.38
2022-01-01,12,PT1H,MC-Celsia,204158.03,263242.94
2022-01-01,22,PT1H,MC-Celsia,247752.13,261406.22
2022-01-02,15,PT1H,MC-Celsia,247550.3,262882.0
2022-01-02,16,PT1H,MC-Celsia,247707.33,264317.34
2022-01-02,17,PT1H,MC-Celsia,247333.75,265414.28
2022-01-02,21,PT1H,MC-Celsia,283550.91,297493.28
2022-01-02,19,PT1H,MC-Celsia,277078.44,290284.38
2022-01-02,20,PT1H,MC-Celsia,286999.59,300605.0
2022-01-02,14,PT1H,MC-Celsia,253276.38,265170.03
2022-01-02,22,PT1H,MC-Celsia,275485.47,286399.44
2022-01-02,18,PT1H,MC-Celsia,248552.3,268884.44
2022-01-02,13,PT1H,MC-Celsia,252840.94,266246.06
2022-01-02,7,PT1H,MC-Celsia,203776.86,213355.02
2022-01-02,11,PT1H,MC-Celsia,242478.36,253957.09
2022-01-02,10,PT1H,MC-Celsia,234997.7,242756.58
2022-01-02,9,PT1H,MC-Celsia,219947.61,230814.39
2022-01-02,8,PT1H,MC-Celsia,206479.08,219985.25
2022-01-02,6,PT1H,MC-Celsia,211203.42,220260.03
2022-01-02,5,PT1H,MC-Celsia,204544.17,221815.58
2022-01-02,4,PT1H,MC-Celsia,212218.63,223185.84
2022-01-02,3,PT1H,MC-Celsia,209926.66,230086.02
2022-01-02,23,PT1H,MC-Celsia,264485.69,272431.97
2022-01-02,1,PT1H,MC-Celsia,215640.56,245350.75
2022-01-02,12,PT1H,MC-Celsia,250916.44,262210.31
2022-01-02,2,PT1H,MC-Celsia,209316.28,235615.28
2022-01-02,24,PT1H,MC-Celsia,251689.86,257929.38
2022-01-03,14,PT1H,MC-Celsia,304006.56,322767.0
2022-01-03,23,PT1H,MC-Celsia,278476.81,294538.41
2022-01-03,22,PT1H,MC-Celsia,300462.75,317999.34
2022-01-03,21,PT1H,MC-Celsia,316946.13,335918.53
2022-01-03,20,PT1H,MC-Celsia,324293.09,342883.72
2022-01-03,19,PT1H,MC-Celsia,315925.94,336083.84
2022-01-03,18,PT1H,MC-Celsia,296960.78,316623.97
2022-01-03,17,PT1H,MC-Celsia,302783.91,322114.66
2022-01-03,16,PT1H,MC-Celsia,302553.84,326510.53
2022-01-03,15,PT1H,MC-Celsia,299658.69,326504.84
2022-01-03,24,PT1H,MC-Celsia,257755.44,273195.31
2022-01-03,13,PT1H,MC-Celsia,299779.81,321313.78
2022-01-03,1,PT1H,MC-Celsia,237027.05,246317.66
2022-01-03,11,PT1H,MC-Celsia,276940.53,311078.88
2022-01-03,10,PT1H,MC-Celsia,261906.25,295851.19
2022-01-03,9,PT1H,MC-Celsia,249499.72,280556.78
2022-01-03,8,PT1H,MC-Celsia,241964.67,263322.28
2022-01-03,7,PT1H,MC-Celsia,227883.28,246568.97
2022-01-03,6,PT1H,MC-Celsia,230254.41,242923.69
2022-01-03,5,PT1H,MC-Celsia,223788.69,237414.06
2022-01-03,4,PT1H,MC-Celsia,219181.92,234595.45
2022-01-03,3,PT1H,MC-Celsia,221403.63,236464.28
2022-01-03,2,PT1H,MC-Celsia,229938.83,239750.03
2022-01-03,12,PT1H,MC-Celsia,291422.5,322279.19
2022-01-04,24,PT1H,MC-Celsia,259386.88,274306.41
2022-01-04,23,PT1H,MC-Celsia,281697.81,295578.44
2022-01-04,22,PT1H,MC-Celsia,304506.59,318240.28
2022-01-04,1,PT1H,MC-Celsia,245843.33,256766.52
2022-01-04,12,PT1H,MC-Celsia,287094.41,327212.91
2022-01-04,21,PT1H,MC-Celsia,316171.06,334776.03
2022-01-04,18,PT1H,MC-Celsia,301421.19,318340.25
2022-01-04,17,PT1H,MC-Celsia,301964.47,325100.16
2022-01-04,16,PT1H,MC-Celsia,298247.16,329244.72
2022-01-04,15,PT1H,MC-Celsia,291856.44,329136.63
2022-01-04,14,PT1H,MC-Celsia,292900.44,325680.66
2022-01-04,13,PT1H,MC-Celsia,285938.56,325064.56
2022-01-04,11,PT1H,MC-Celsia,277730.13,317087.25
2022-01-04,19,PT1H,MC-Celsia,328192.06,337441.72
2022-01-04,10,PT1H,MC-Celsia,271433.94,302309.03
2022-01-04,8,PT1H,MC-Celsia,249725.72,269707.97
2022-01-04,7,PT1H,MC-Celsia,238070.63,253190.7
2022-01-04,6,PT1H,MC-Celsia,232721.72,250263.38
2022-01-04,5,PT1H,MC-Celsia,220648.91,244983.97
2022-01-04,4,PT1H,MC-Celsia,222353.66,243474.28
2022-01-04,3,PT1H,MC-Celsia,225010.03,246151.91
2022-01-04,2,PT1H,MC-Celsia,236274.44,250086.64
2022-01-04,9,PT1H,MC-Celsia,265117.47,286667.66
2022-01-04,20,PT1H,MC-Celsia,336571.25,343083.53
2022-01-05,21,PT1H,MC-Celsia,328165.88,336635.63
2022-01-05,12,PT1H,MC-Celsia,296403.59,328839.41
2022-01-05,20,PT1H,MC-Celsia,339426.44,344770.03
2022-01-05,11,PT1H,MC-Celsia,284325.81,318255.84
2022-01-05,10,PT1H,MC-Celsia,268528.94,302890.81
2022-01-05,9,PT1H,MC-Celsia,262738.94,287518.06
2022-01-05,8,PT1H,MC-Celsia,246917.75,270560.63
2022-01-05,7,PT1H,MC-Celsia,231603.14,254180.39
2022-01-05,22,PT1H,MC-Celsia,310087.81,319467.44
2022-01-05,5,PT1H,MC-Celsia,224733.67,248000.5
2022-01-05,4,PT1H,MC-Celsia,220935.23,245196.08
2022-01-05,13,PT1H,MC-Celsia,296837.25,326924.13
2022-01-05,3,PT1H,MC-Celsia,231140.8,247955.25
2022-01-05,1,PT1H,MC-Celsia,247471.75,260093.42
2022-01-05,14,PT1H,MC-Celsia,296708.44,326861.38
2022-01-05,15,PT1H,MC-Celsia,305095.06,330158.81
2022-01-05,16,PT1H,MC-Celsia,305296.91,330122.63
2022-01-05,23,PT1H,MC-Celsia,280100.31,296784.81
2022-01-05,17,PT1H,MC-Celsia,299174.13,325995.13
2022-01-05,18,PT1H,MC-Celsia,301422.38,319345.97
2022-01-05,19,PT1H,MC-Celsia,324537.22,338102.19
2022-01-05,2,PT1H,MC-Celsia,239155.06,252756.75
2022-01-05,6,PT1H,MC-Celsia,232071.0,252901.58
2022-01-05,24,PT1H,MC-Celsia,255029.56,274815.41
2022-01-06,2,PT1H,MC-Celsia,232103.09,251012.34
2022-01-06,24,PT1H,MC-Celsia,256932.44,271077.69
2022-01-06,23,PT1H,MC-Celsia,290629.09,294732.41
2022-01-06,22,PT1H,MC-Celsia,299802.91,317800.88
2022-01-06,21,PT1H,MC-Celsia,311117.38,334455.72
2022-01-06,20,PT1H,MC-Celsia,320433.56,342305.09
2022-01-06,19,PT1H,MC-Celsia,319761.09,336540.97
2022-01-06,18,PT1H,MC-Celsia,290395.56,318814.47
2022-01-06,17,PT1H,MC-Celsia,294280.94,324424.66
2022-01-06,16,PT1H,MC-Celsia,295710.56,328459.63
2022-01-06,15,PT1H,MC-Celsia,298575.25,328500.63
2022-01-06,14,PT1H,MC-Celsia,294264.38,325436.59
2022-01-06,1,PT1H,MC-Celsia,237729.67,257754.7
2022-01-06,12,PT1H,MC-Celsia,293005.88,326607.53
2022-01-06,11,PT1H,MC-Celsia,287516.84,316160.78
2022-01-06,10,PT1H,MC-Celsia,277404.75,302018.59
2022-01-06,9,PT1H,MC-Celsia,266703.38,285497.25
2022-01-06,8,PT1H,MC-Celsia,257738.98,268470.25
2022-01-06,7,PT1H,MC-Celsia,246229.66,252801.72
2022-01-06,6,PT1H,MC-Celsia,235190.94,251033.95
2022-01-06,5,PT1H,MC-Celsia,227707.89,245027.22
2022-01-06,4,PT1H,MC-Celsia,228279.81,242532.13
2022-01-06,3,PT1H,MC-Celsia,226957.5,246009.52
2022-01-06,13,PT1H,MC-Celsia,290884.38,323800.38
2022-01-07,15,PT1H,MC-Celsia,306077.13,330251.22
2022-01-07,16,PT1H,MC-Celsia,309912.0,330347.88
2022-01-07,17,PT1H,MC-Celsia,306310.22,326949.16
2022-01-07,18,PT1H,MC-Celsia,299404.78,321637.47
2022-01-07,23,PT1H,MC-Celsia,286089.34,298127.66
2022-01-07,20,PT1H,MC-Celsia,329760.38,345298.44
2022-01-07,21,PT1H,MC-Celsia,317745.72,337094.06
2022-01-07,22,PT1H,MC-Celsia,302197.97,321139.84
2022-01-07,14,PT1H,MC-Celsia,303098.31,326574.88
2022-01-07,19,PT1H,MC-Celsia,320967.72,340784.75
2022-01-07,13,PT1H,MC-Celsia,302599.03,326299.84
2022-01-07,8,PT1H,MC-Celsia,260855.92,271250.69
2022-01-07,11,PT1H,MC-Celsia,297905.34,318734.25
2022-01-07,10,PT1H,MC-Celsia,283085.53,304565.75
2022-01-07,9,PT1H,MC-Celsia,274323.97,288290.56
2022-01-07,7,PT1H,MC-Celsia,250019.25,254788.06
2022-01-07,6,PT1H,MC-Celsia,248307.28,252442.98
2022-01-07,5,PT1H,MC-Celsia,239135.7,247000.97
2022-01-07,4,PT1H,MC-Celsia,237325.16,244542.73
2022-01-07,3,PT1H,MC-Celsia,235639.55,246582.11
2022-01-07,24,PT1H,MC-Celsia,264474.72,274892.69
2022-01-07,1,PT1H,MC-Celsia,252208.13,256560.13
2022-01-07,12,PT1H,MC-Celsia,304220.06,328177.19
2022-01-07,2,PT1H,MC-Celsia,241465.5,250435.56
2022-01-08,3,PT1H,MC-Celsia,235869.45,243640.05
2022-01-08,2,PT1H,MC-Celsia,237827.64,248679.67
2022-01-08,10,PT1H,MC-Celsia,278551.94,284950.5
2022-01-08,11,PT1H,MC-Celsia,290117.25,300356.59
2022-01-08,14,PT1H,MC-Celsia,291918.34,306960.13
2022-01-08,9,PT1H,MC-Celsia,263460.03,268917.47
2022-01-08,8,PT1H,MC-Celsia,251967.11,252738.33
2022-01-08,7,PT1H,MC-Celsia,235536.84,241582.7
2022-01-08,6,PT1H,MC-Celsia,237590.34,242422.63
2022-01-08,5,PT1H,MC-Celsia,230594.94,240654.91
2022-01-08,4,PT1H,MC-Celsia,231305.61,240085.23
2022-01-08,15,PT1H,MC-Celsia,286934.75,305197.81
2022-01-08,16,PT1H,MC-Celsia,290690.72,304621.88
2022-01-08,17,PT1H,MC-Celsia,292659.31,302123.94
2022-01-08,12,PT1H,MC-Celsia,296759.63,309746.38
2022-01-08,18,PT1H,MC-Celsia,292708.09,300656.97
2022-01-08,20,PT1H,MC-Celsia,325762.31,330226.06
2022-01-08,21,PT1H,MC-Celsia,318479.88,322191.25
2022-01-08,22,PT1H,MC-Celsia,297608.91,305005.66
2022-01-08,23,PT1H,MC-Celsia,274052.53,283168.97
2022-01-08,24,PT1H,MC-Celsia,250534.22,264252.66
2022-01-08,1,PT1H,MC-Celsia,248182.53,258397.92
2022-01-08,19,PT1H,MC-Celsia,316764.13,323127.78
2022-01-08,13,PT1H,MC-Celsia,294084.19,309740.38
2022-01-09,1,PT1H,MC-Celsia,242605.27,249301.45
2022-01-09,22,PT1H,MC-Celsia,268314.72,288401.81
2022-01-09,21,PT1H,MC-Celsia,281982.25,298861.28
2022-01-09,20,PT1H,MC-Celsia,285822.0,302137.06
2022-01-09,19,PT1H,MC-Celsia,276426.97,293126.72
2022-01-09,5,PT1H,MC-Celsia,216283.63,222321.61
2022-01-09,23,PT1H,MC-Celsia,254909.27,273539.91
2022-01-09,6,PT1H,MC-Celsia,217052.83,219381.36
2022-01-09,7,PT1H,MC-Celsia,212298.5,212919.78
2022-01-09,8,PT1H,MC-Celsia,212323.39,218603.86
2022-01-09,9,PT1H,MC-Celsia,223362.83,230657.55
2022-01-09,10,PT1H,MC-Celsia,237022.77,244604.61
2022-01-09,11,PT1H,MC-Celsia,247888.3,257323.48
2022-01-09,12,PT1H,MC-Celsia,259951.23,267419.69
