Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Choco,23955.55,26830.0
2022-01-01,1,PT1H,MC-Choco,27433.51,28060.0
2022-01-01,2,PT1H,MC-Choco,26409.18,26990.0
2022-01-01,3,PT1H,MC-Choco,25259.12,26040.0
2022-01-01,4,PT1H,MC-Choco,24590.07,25100.0
2022-01-01,5,PT1H,MC-Choco,23779.89,24330.0
2022-01-01,6,PT1H,MC-Choco,23692.6,24430.0
2022-01-01,7,PT1H,MC-Choco,22724.89,23540.0
2022-01-01,8,PT1H,MC-Choco,23184.41,25800.0
2022-01-01,9,PT1H,MC-Choco,24712.36,27900.0
2022-01-01,10,PT1H,MC-Choco,25698.4,29460.0
2022-01-01,11,PT1H,MC-Choco,26042.11,30020.0
2022-01-01,23,PT1H,MC-Choco,27512.9,28710.0
2022-01-01,13,PT1H,MC-Choco,26229.47,30640.0
2022-01-01,14,PT1H,MC-Choco,26086.18,31010.0
2022-01-01,15,PT1H,MC-Choco,25868.06,30180.0
2022-01-01,16,PT1H,MC-Choco,25693.15,29350.0
2022-01-01,17,PT1H,MC-Choco,25838.37,27250.0
2022-01-01,18,PT1H,MC-Choco,26369.09,28020.0
2022-01-01,19,PT1H,MC-Choco,29455.84,30910.0
2022-01-01,20,PT1H,MC-Choco,31323.3,31810.0
2022-01-01,21,PT1H,MC-Choco,30533.83,31320.0
2022-01-01,12,PT1H,MC-Choco,26603.31,30720.0
2022-01-01,22,PT1H,MC-Choco,28976.42,30260.0
2022-01-02,15,PT1H,MC-Choco,27837.01,30320.0
2022-01-02,16,PT1H,MC-Choco,27332.78,29760.0
2022-01-02,17,PT1H,MC-Choco,34051.94,29150.0
2022-01-02,21,PT1H,MC-Choco,31710.32,33170.0
2022-01-02,19,PT1H,MC-Choco,30858.96,32280.0
2022-01-02,20,PT1H,MC-Choco,32341.21,33390.0
2022-01-02,14,PT1H,MC-Choco,28998.07,30950.0
2022-01-02,22,PT1H,MC-Choco,30425.62,30770.0
2022-01-02,18,PT1H,MC-Choco,27335.43,29310.0
2022-01-02,13,PT1H,MC-Choco,29486.31,31270.0
2022-01-02,7,PT1H,MC-Choco,22041.42,22910.0
2022-01-02,11,PT1H,MC-Choco,28298.54,29570.0
2022-01-02,10,PT1H,MC-Choco,27532.65,28830.0
2022-01-02,9,PT1H,MC-Choco,26211.37,27590.0
2022-01-02,8,PT1H,MC-Choco,23693.64,25620.0
2022-01-02,6,PT1H,MC-Choco,22204.98,22450.0
2022-01-02,5,PT1H,MC-Choco,22104.15,21870.0
2022-01-02,4,PT1H,MC-Choco,22648.94,22100.0
2022-01-02,3,PT1H,MC-Choco,22990.03,23040.0
2022-01-02,23,PT1H,MC-Choco,28188.47,29160.0
2022-01-02,1,PT1H,MC-Choco,19707.83,25090.0
2022-01-02,12,PT1H,MC-Choco,29365.65,30960.0
2022-01-02,2,PT1H,MC-Choco,23571.7,23810.0
2022-01-02,24,PT1H,MC-Choco,26063.58,26260.0
2022-01-03,14,PT1H,MC-Choco,31256.35,32670.0
2022-01-03,23,PT1H,MC-Choco,28417.66,29350.0
2022-01-03,22,PT1H,MC-Choco,31518.68,34110.0
2022-01-03,21,PT1H,MC-Choco,33499.06,36660.0
2022-01-03,20,PT1H,MC-Choco,34402.88,38180.0
2022-01-03,19,PT1H,MC-Choco,33233.73,36280.0
2022-01-03,18,PT1H,MC-Choco,30414.03,31800.0
2022-01-03,17,PT1H,MC-Choco,30615.84,31780.0
2022-01-03,16,PT1H,MC-Choco,30966.08,32440.0
2022-01-03,15,PT1H,MC-Choco,31128.0,32620.0
2022-01-03,24,PT1H,MC-Choco,25926.19,25880.0
2022-01-03,13,PT1H,MC-Choco,31627.45,34980.0
2022-01-03,1,PT1H,MC-Choco,23987.63,24990.0
2022-01-03,11,PT1H,MC-Choco,30797.09,32860.0
2022-01-03,10,PT1H,MC-Choco,30235.78,32130.0
2022-01-03,9,PT1H,MC-Choco,28657.77,30050.0
2022-01-03,8,PT1H,MC-Choco,25125.21,25710.0
2022-01-03,7,PT1H,MC-Choco,22698.44,22220.0
2022-01-03,6,PT1H,MC-Choco,22446.88,20960.0
2022-01-03,5,PT1H,MC-Choco,21905.39,20470.0
2022-01-03,4,PT1H,MC-Choco,22120.51,20260.0
2022-01-03,3,PT1H,MC-Choco,22591.4,20270.0
2022-01-03,2,PT1H,MC-Choco,22873.63,21420.0
2022-01-03,12,PT1H,MC-Choco,31739.5,35040.0
2022-01-04,24,PT1H,MC-Choco,26128.05,23390.0
2022-01-04,23,PT1H,MC-Choco,28540.38,28620.0
2022-01-04,22,PT1H,MC-Choco,31457.4,32840.0
2022-01-04,1,PT1H,MC-Choco,24301.19,24240.0
2022-01-04,12,PT1H,MC-Choco,33081.81,33960.0
2022-01-04,21,PT1H,MC-Choco,33948.8,35770.0
2022-01-04,18,PT1H,MC-Choco,31049.09,31780.0
2022-01-04,17,PT1H,MC-Choco,31220.71,32190.0
2022-01-04,16,PT1H,MC-Choco,31702.62,32310.0
2022-01-04,15,PT1H,MC-Choco,32141.86,32080.0
2022-01-04,14,PT1H,MC-Choco,32507.86,32870.0
2022-01-04,13,PT1H,MC-Choco,32670.86,33440.0
2022-01-04,11,PT1H,MC-Choco,31323.62,32240.0
2022-01-04,19,PT1H,MC-Choco,33617.43,36090.0
2022-01-04,10,PT1H,MC-Choco,30246.32,31530.0
2022-01-04,8,PT1H,MC-Choco,25634.83,27730.0
2022-01-04,7,PT1H,MC-Choco,23269.33,23490.0
2022-01-04,6,PT1H,MC-Choco,22656.17,25320.0
2022-01-04,5,PT1H,MC-Choco,22214.24,22920.0
2022-01-04,4,PT1H,MC-Choco,22501.41,22040.0
2022-01-04,3,PT1H,MC-Choco,22851.76,23100.0
2022-01-04,2,PT1H,MC-Choco,23297.65,23680.0
2022-01-04,9,PT1H,MC-Choco,28666.89,30100.0
2022-01-04,20,PT1H,MC-Choco,34813.28,36980.0
2022-01-05,21,PT1H,MC-Choco,34543.26,36290.0
2022-01-05,12,PT1H,MC-Choco,32402.79,34290.0
2022-01-05,20,PT1H,MC-Choco,35328.18,36560.0
2022-01-05,11,PT1H,MC-Choco,30966.81,32710.0
2022-01-05,10,PT1H,MC-Choco,30035.06,30100.0
2022-01-05,9,PT1H,MC-Choco,27080.63,29810.0
2022-01-05,8,PT1H,MC-Choco,23898.8,27380.0
2022-01-05,7,PT1H,MC-Choco,21585.35,24260.0
2022-01-05,22,PT1H,MC-Choco,31609.05,34200.0
2022-01-05,5,PT1H,MC-Choco,19664.79,21780.0
2022-01-05,4,PT1H,MC-Choco,20878.48,21060.0
2022-01-05,13,PT1H,MC-Choco,32449.35,34140.0
2022-01-05,3,PT1H,MC-Choco,21021.97,22680.0
2022-01-05,1,PT1H,MC-Choco,24043.41,23590.0
2022-01-05,14,PT1H,MC-Choco,31454.24,33060.0
2022-01-05,15,PT1H,MC-Choco,30799.32,33080.0
2022-01-05,16,PT1H,MC-Choco,30474.41,32840.0
2022-01-05,23,PT1H,MC-Choco,28267.3,28360.0
2022-01-05,17,PT1H,MC-Choco,30815.3,32650.0
2022-01-05,18,PT1H,MC-Choco,30997.23,32570.0
2022-01-05,19,PT1H,MC-Choco,34068.48,35550.0
2022-01-05,2,PT1H,MC-Choco,22833.88,22790.0
2022-01-05,6,PT1H,MC-Choco,19176.86,22600.0
2022-01-05,24,PT1H,MC-Choco,25742.75,24280.0
2022-01-06,2,PT1H,MC-Choco,22590.2,24090.0
2022-01-06,24,PT1H,MC-Choco,25417.93,27910.0
2022-01-06,23,PT1H,MC-Choco,28224.04,29060.0
2022-01-06,22,PT1H,MC-Choco,31130.64,33630.0
2022-01-06,21,PT1H,MC-Choco,33575.33,35150.0
2022-01-06,20,PT1H,MC-Choco,27931.72,36120.0
2022-01-06,19,PT1H,MC-Choco,33630.2,35610.0
2022-01-06,18,PT1H,MC-Choco,30626.47,31790.0
2022-01-06,17,PT1H,MC-Choco,30930.84,31910.0
2022-01-06,16,PT1H,MC-Choco,31238.71,32430.0
2022-01-06,15,PT1H,MC-Choco,31679.91,32260.0
2022-01-06,14,PT1H,MC-Choco,32564.19,31890.0
2022-01-06,1,PT1H,MC-Choco,23289.72,24110.0
2022-01-06,12,PT1H,MC-Choco,33477.44,33870.0
2022-01-06,11,PT1H,MC-Choco,31775.95,33890.0
2022-01-06,10,PT1H,MC-Choco,30344.03,30620.0
2022-01-06,9,PT1H,MC-Choco,28615.43,30410.0
2022-01-06,8,PT1H,MC-Choco,24944.94,26620.0
2022-01-06,7,PT1H,MC-Choco,22585.42,24710.0
2022-01-06,6,PT1H,MC-Choco,21988.94,22920.0
2022-01-06,5,PT1H,MC-Choco,21703.49,22820.0
2022-01-06,4,PT1H,MC-Choco,21978.33,21650.0
2022-01-06,3,PT1H,MC-Choco,22010.27,22720.0
2022-01-06,13,PT1H,MC-Choco,33525.25,33260.0
2022-01-07,15,PT1H,MC-Choco,29101.66,33090.0
2022-01-07,16,PT1H,MC-Choco,28625.54,31630.0
2022-01-07,17,PT1H,MC-Choco,28547.07,30880.0
2022-01-07,18,PT1H,MC-Choco,29303.93,32460.0
2022-01-07,23,PT1H,MC-Choco,27081.11,29370.0
2022-01-07,20,PT1H,MC-Choco,33581.57,36170.0
2022-01-07,21,PT1H,MC-Choco,32121.07,34720.0
2022-01-07,22,PT1H,MC-Choco,29965.06,32090.0
2022-01-07,14,PT1H,MC-Choco,29856.53,31660.0
2022-01-07,19,PT1H,MC-Choco,32281.6,34670.0
2022-01-07,13,PT1H,MC-Choco,30849.67,32280.0
2022-01-07,8,PT1H,MC-Choco,24774.4,26700.0
2022-01-07,11,PT1H,MC-Choco,30134.59,32440.0
2022-01-07,10,PT1H,MC-Choco,29183.7,30690.0
2022-01-07,9,PT1H,MC-Choco,27851.93,29470.0
2022-01-07,7,PT1H,MC-Choco,29148.85,24470.0
2022-01-07,6,PT1H,MC-Choco,21420.11,21570.0
2022-01-07,5,PT1H,MC-Choco,20626.76,21780.0
2022-01-07,4,PT1H,MC-Choco,20373.33,21820.0
2022-01-07,3,PT1H,MC-Choco,20763.05,22790.0
2022-01-07,24,PT1H,MC-Choco,24033.6,24780.0
2022-01-07,1,PT1H,MC-Choco,23472.73,23870.0
2022-01-07,12,PT1H,MC-Choco,31175.66,33260.0
2022-01-07,2,PT1H,MC-Choco,21965.31,23290.0
2022-01-08,3,PT1H,MC-Choco,21735.95,22430.0
2022-01-08,2,PT1H,MC-Choco,21962.53,23850.0
2022-01-08,10,PT1H,MC-Choco,29670.5,28780.0
2022-01-08,11,PT1H,MC-Choco,31066.74,29570.0
2022-01-08,14,PT1H,MC-Choco,32458.06,29630.0
2022-01-08,9,PT1H,MC-Choco,27999.07,27530.0
2022-01-08,8,PT1H,MC-Choco,24637.05,24930.0
2022-01-08,7,PT1H,MC-Choco,22188.28,22580.0
2022-01-08,6,PT1H,MC-Choco,21681.05,22730.0
2022-01-08,5,PT1H,MC-Choco,21504.0,21690.0
2022-01-08,4,PT1H,MC-Choco,21634.3,22580.0
2022-01-08,15,PT1H,MC-Choco,32130.64,28790.0
2022-01-08,16,PT1H,MC-Choco,23733.98,27550.0
2022-01-08,17,PT1H,MC-Choco,36932.14,27070.0
2022-01-08,12,PT1H,MC-Choco,32579.22,31210.0
2022-01-08,18,PT1H,MC-Choco,30642.17,28170.0
2022-01-08,20,PT1H,MC-Choco,35214.69,34770.0
