Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Codensa,1112935.75,1126000.0
2022-01-01,21,PT1H,MC-Codensa,1363460.88,1426000.0
2022-01-01,20,PT1H,MC-Codensa,1396549.63,1476000.0
2022-01-01,19,PT1H,MC-Codensa,1362821.75,1431000.0
2022-01-01,18,PT1H,MC-Codensa,1217001.75,1233000.0
2022-01-01,17,PT1H,MC-Codensa,1193571.75,1197000.0
2022-01-01,16,PT1H,MC-Codensa,1209795.38,1212000.0
2022-01-01,15,PT1H,MC-Codensa,1244111.0,1243000.0
2022-01-01,14,PT1H,MC-Codensa,1276059.25,1281000.0
2022-01-01,13,PT1H,MC-Codensa,1278788.75,1284000.0
2022-01-01,12,PT1H,MC-Codensa,1240269.75,1244000.0
2022-01-01,11,PT1H,MC-Codensa,1176168.5,1192000.0
2022-01-01,10,PT1H,MC-Codensa,1098626.25,1115000.0
2022-01-01,9,PT1H,MC-Codensa,1023896.25,1028000.0
2022-01-01,8,PT1H,MC-Codensa,957269.5,948000.0
2022-01-01,7,PT1H,MC-Codensa,919820.63,907000.0
2022-01-01,6,PT1H,MC-Codensa,973982.31,966000.0
2022-01-01,5,PT1H,MC-Codensa,998849.5,994000.0
2022-01-01,4,PT1H,MC-Codensa,1023844.56,1022000.0
2022-01-01,3,PT1H,MC-Codensa,1069110.13,1074000.0
2022-01-01,23,PT1H,MC-Codensa,1198848.38,1221000.0
2022-01-01,2,PT1H,MC-Codensa,1135752.38,1147000.0
2022-01-01,22,PT1H,MC-Codensa,1291526.75,1327000.0
2022-01-01,1,PT1H,MC-Codensa,1203704.0,1229000.0
2022-01-02,1,PT1H,MC-Codensa,1044093.5,996000.0
2022-01-02,22,PT1H,MC-Codensa,1420074.75,1479000.0
2022-01-02,2,PT1H,MC-Codensa,999125.13,947000.0
2022-01-02,3,PT1H,MC-Codensa,970942.31,925000.0
2022-01-02,4,PT1H,MC-Codensa,953303.63,925000.0
2022-01-02,5,PT1H,MC-Codensa,969369.88,960000.0
2022-01-02,6,PT1H,MC-Codensa,979723.69,1015000.0
2022-01-02,7,PT1H,MC-Codensa,983371.38,1069000.0
2022-01-02,8,PT1H,MC-Codensa,1071385.38,1190000.0
2022-01-02,9,PT1H,MC-Codensa,1182632.88,1323000.0
2022-01-02,10,PT1H,MC-Codensa,1284231.13,1429000.0
2022-01-02,24,PT1H,MC-Codensa,1211371.38,1205000.0
2022-01-02,11,PT1H,MC-Codensa,1373711.38,1512000.0
2022-01-02,13,PT1H,MC-Codensa,1450949.63,1586000.0
2022-01-02,14,PT1H,MC-Codensa,1433499.5,1562000.0
2022-01-02,15,PT1H,MC-Codensa,1396387.5,1506000.0
2022-01-02,16,PT1H,MC-Codensa,1358608.0,1470000.0
2022-01-02,17,PT1H,MC-Codensa,1344494.5,1450000.0
2022-01-02,18,PT1H,MC-Codensa,1372960.13,1474000.0
2022-01-02,19,PT1H,MC-Codensa,1536768.88,1634000.0
2022-01-02,20,PT1H,MC-Codensa,1559889.13,1654000.0
2022-01-02,21,PT1H,MC-Codensa,1515273.88,1599000.0
2022-01-02,12,PT1H,MC-Codensa,1428975.38,1562000.0
2022-01-02,23,PT1H,MC-Codensa,1312251.63,1337000.0
2022-01-03,24,PT1H,MC-Codensa,1337460.0,1404421.5
2022-01-03,22,PT1H,MC-Codensa,1632822.38,1751680.88
2022-01-03,20,PT1H,MC-Codensa,1844799.63,1986414.0
2022-01-03,19,PT1H,MC-Codensa,1827030.88,1976658.13
2022-01-03,18,PT1H,MC-Codensa,1677689.38,1838511.38
2022-01-03,17,PT1H,MC-Codensa,1679398.5,1837551.63
2022-01-03,16,PT1H,MC-Codensa,1714674.25,1870173.0
2022-01-03,15,PT1H,MC-Codensa,1739050.63,1899097.63
2022-01-03,14,PT1H,MC-Codensa,1771949.63,1927799.0
2022-01-03,13,PT1H,MC-Codensa,1800024.88,1959356.5
2022-01-03,12,PT1H,MC-Codensa,1773878.75,1937040.5
2022-01-03,23,PT1H,MC-Codensa,1472948.5,1564287.63
2022-01-03,11,PT1H,MC-Codensa,1725676.5,1881565.63
2022-01-03,9,PT1H,MC-Codensa,1553068.38,1720654.13
2022-01-03,8,PT1H,MC-Codensa,1429149.5,1575281.38
2022-01-03,7,PT1H,MC-Codensa,1277558.25,1385438.5
2022-01-03,6,PT1H,MC-Codensa,1171604.88,1251543.0
2022-01-03,5,PT1H,MC-Codensa,1097607.0,1163295.63
2022-01-03,4,PT1H,MC-Codensa,1042693.75,1101476.13
2022-01-03,3,PT1H,MC-Codensa,1040741.31,1093026.25
2022-01-03,2,PT1H,MC-Codensa,1062741.13,1119929.5
2022-01-03,1,PT1H,MC-Codensa,1117048.75,1175171.13
2022-01-03,10,PT1H,MC-Codensa,1650249.63,1805963.75
2022-01-03,21,PT1H,MC-Codensa,1774167.5,1905983.88
2022-01-04,22,PT1H,MC-Codensa,1695798.13,1742961.63
2022-01-04,1,PT1H,MC-Codensa,1255480.25,1287061.88
2022-01-04,21,PT1H,MC-Codensa,1848603.13,1904819.13
2022-01-04,20,PT1H,MC-Codensa,1921413.25,2006243.63
2022-01-04,19,PT1H,MC-Codensa,1909124.88,2012520.88
2022-01-04,18,PT1H,MC-Codensa,1760847.5,1896969.13
2022-01-04,17,PT1H,MC-Codensa,1776849.75,1874471.0
2022-01-04,16,PT1H,MC-Codensa,1815335.88,1908823.75
2022-01-04,15,PT1H,MC-Codensa,1833550.63,1933620.25
2022-01-04,14,PT1H,MC-Codensa,1844978.0,1966934.13
2022-01-04,12,PT1H,MC-Codensa,1874165.88,1996268.0
2022-01-04,11,PT1H,MC-Codensa,1825851.88,1924597.25
2022-01-04,10,PT1H,MC-Codensa,1753880.0,1854871.13
2022-01-04,9,PT1H,MC-Codensa,1678776.5,1774013.13
2022-01-04,8,PT1H,MC-Codensa,1557996.0,1642820.88
2022-01-04,7,PT1H,MC-Codensa,1411397.38,1462359.75
2022-01-04,6,PT1H,MC-Codensa,1291392.5,1328306.88
2022-01-04,5,PT1H,MC-Codensa,1210611.25,1250814.38
2022-01-04,4,PT1H,MC-Codensa,1161916.63,1195320.0
2022-01-04,3,PT1H,MC-Codensa,1163209.13,1189887.63
2022-01-04,2,PT1H,MC-Codensa,1198231.88,1221611.88
2022-01-04,23,PT1H,MC-Codensa,1525096.0,1557425.63
2022-01-04,24,PT1H,MC-Codensa,1390068.63,1407371.5
2022-01-04,13,PT1H,MC-Codensa,1891185.13,2004108.38
2022-01-05,5,PT1H,MC-Codensa,1264972.25,1246000.0
2022-01-05,23,PT1H,MC-Codensa,1547461.75,1555000.0
2022-01-05,22,PT1H,MC-Codensa,1723184.75,1747000.0
2022-01-05,21,PT1H,MC-Codensa,1876373.25,1899000.0
2022-01-05,20,PT1H,MC-Codensa,1959722.5,1997000.0
2022-01-05,19,PT1H,MC-Codensa,1946264.63,1985000.0
2022-01-05,18,PT1H,MC-Codensa,1818504.25,1832000.0
2022-01-05,17,PT1H,MC-Codensa,1829853.0,1846000.0
2022-01-05,16,PT1H,MC-Codensa,1863712.5,1890000.0
2022-01-05,15,PT1H,MC-Codensa,1884153.25,1913000.0
2022-01-05,3,PT1H,MC-Codensa,1205552.38,1173000.0
2022-01-05,14,PT1H,MC-Codensa,1914398.5,1942000.0
2022-01-05,12,PT1H,MC-Codensa,1929657.0,1977000.0
2022-01-05,11,PT1H,MC-Codensa,1880415.5,1920000.0
2022-01-05,10,PT1H,MC-Codensa,1817634.0,1844000.0
2022-01-05,9,PT1H,MC-Codensa,1745485.75,1772000.0
2022-01-05,8,PT1H,MC-Codensa,1619929.0,1643000.0
2022-01-05,7,PT1H,MC-Codensa,1464640.0,1467000.0
2022-01-05,6,PT1H,MC-Codensa,1339126.25,1334000.0
2022-01-05,2,PT1H,MC-Codensa,1240176.25,1201000.0
2022-01-05,1,PT1H,MC-Codensa,1291101.5,1247000.0
2022-01-05,13,PT1H,MC-Codensa,1945602.63,1991000.0
2022-01-05,4,PT1H,MC-Codensa,1209119.75,1184000.0
2022-01-05,24,PT1H,MC-Codensa,1419839.38,1395000.0
2022-01-06,16,PT1H,MC-Codensa,1882934.0,1891000.0
2022-01-06,7,PT1H,MC-Codensa,1489861.5,1482000.0
2022-01-06,4,PT1H,MC-Codensa,1231669.25,1204000.0
2022-01-06,8,PT1H,MC-Codensa,1649079.0,1666000.0
2022-01-06,9,PT1H,MC-Codensa,1767739.13,1801000.0
2022-01-06,10,PT1H,MC-Codensa,1837655.63,1869000.0
2022-01-06,11,PT1H,MC-Codensa,1905259.0,1933000.0
2022-01-06,12,PT1H,MC-Codensa,1956405.5,1986000.0
