Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-CordobaSucre,428496.81,436456.78
2022-01-01,1,PT1H,MC-CordobaSucre,382877.16,420053.13
2022-01-01,2,PT1H,MC-CordobaSucre,390916.5,409728.16
2022-01-01,3,PT1H,MC-CordobaSucre,393884.69,398553.13
2022-01-01,4,PT1H,MC-CordobaSucre,386924.41,388640.66
2022-01-01,5,PT1H,MC-CordobaSucre,380942.56,381878.16
2022-01-01,6,PT1H,MC-CordobaSucre,373294.47,373240.63
2022-01-01,7,PT1H,MC-CordobaSucre,343477.19,340320.91
2022-01-01,8,PT1H,MC-CordobaSucre,329796.28,328214.16
2022-01-01,9,PT1H,MC-CordobaSucre,328740.09,323801.63
2022-01-01,10,PT1H,MC-CordobaSucre,322742.94,328953.88
2022-01-01,11,PT1H,MC-CordobaSucre,317602.44,335466.41
2022-01-01,23,PT1H,MC-CordobaSucre,436621.75,449446.81
2022-01-01,13,PT1H,MC-CordobaSucre,327589.44,348763.19
2022-01-01,14,PT1H,MC-CordobaSucre,334145.56,361590.25
2022-01-01,15,PT1H,MC-CordobaSucre,336410.16,361910.44
2022-01-01,16,PT1H,MC-CordobaSucre,338137.0,351246.75
2022-01-01,17,PT1H,MC-CordobaSucre,339441.19,353131.09
2022-01-01,18,PT1H,MC-CordobaSucre,341040.81,361743.59
2022-01-01,19,PT1H,MC-CordobaSucre,402752.56,432842.59
2022-01-01,20,PT1H,MC-CordobaSucre,420508.94,444055.13
2022-01-01,21,PT1H,MC-CordobaSucre,430290.28,447867.63
2022-01-01,12,PT1H,MC-CordobaSucre,323434.88,341218.47
2022-01-01,22,PT1H,MC-CordobaSucre,438632.88,451871.78
2022-01-02,15,PT1H,MC-CordobaSucre,347131.22,361847.13
2022-01-02,16,PT1H,MC-CordobaSucre,344467.47,353191.13
2022-01-02,17,PT1H,MC-CordobaSucre,340251.91,353661.53
2022-01-02,21,PT1H,MC-CordobaSucre,440931.63,451225.78
2022-01-02,19,PT1H,MC-CordobaSucre,411966.22,436363.88
2022-01-02,20,PT1H,MC-CordobaSucre,432474.09,446368.56
2022-01-02,14,PT1H,MC-CordobaSucre,342820.22,361961.19
2022-01-02,22,PT1H,MC-CordobaSucre,447825.16,452846.75
2022-01-02,18,PT1H,MC-CordobaSucre,347292.91,362131.94
2022-01-02,13,PT1H,MC-CordobaSucre,336442.0,350797.78
2022-01-02,7,PT1H,MC-CordobaSucre,341040.09,342081.19
2022-01-02,11,PT1H,MC-CordobaSucre,320129.06,332656.5
2022-01-02,10,PT1H,MC-CordobaSucre,313393.69,325689.56
2022-01-02,9,PT1H,MC-CordobaSucre,319345.44,324262.41
2022-01-02,8,PT1H,MC-CordobaSucre,323328.31,327584.59
2022-01-02,6,PT1H,MC-CordobaSucre,364787.13,372644.31
2022-01-02,5,PT1H,MC-CordobaSucre,371448.34,381496.63
2022-01-02,4,PT1H,MC-CordobaSucre,381478.0,388771.59
2022-01-02,3,PT1H,MC-CordobaSucre,392200.31,397508.47
2022-01-02,23,PT1H,MC-CordobaSucre,447820.91,448687.38
2022-01-02,1,PT1H,MC-CordobaSucre,416815.94,417845.97
2022-01-02,12,PT1H,MC-CordobaSucre,330098.47,342069.66
2022-01-02,2,PT1H,MC-CordobaSucre,403484.06,406908.47
2022-01-02,24,PT1H,MC-CordobaSucre,437184.13,438331.13
2022-01-03,14,PT1H,MC-CordobaSucre,386255.66,390094.63
2022-01-03,23,PT1H,MC-CordobaSucre,470772.66,467855.81
2022-01-03,22,PT1H,MC-CordobaSucre,476658.91,472293.31
2022-01-03,21,PT1H,MC-CordobaSucre,468597.0,471305.81
2022-01-03,20,PT1H,MC-CordobaSucre,462692.91,467385.19
2022-01-03,19,PT1H,MC-CordobaSucre,443756.75,459810.19
2022-01-03,18,PT1H,MC-CordobaSucre,386906.88,395533.94
2022-01-03,17,PT1H,MC-CordobaSucre,391707.63,391798.81
2022-01-03,16,PT1H,MC-CordobaSucre,406829.31,405021.47
2022-01-03,15,PT1H,MC-CordobaSucre,401758.63,404757.03
2022-01-03,24,PT1H,MC-CordobaSucre,449109.19,452893.31
2022-01-03,13,PT1H,MC-CordobaSucre,374172.06,376307.13
2022-01-03,1,PT1H,MC-CordobaSucre,422246.22,428903.78
2022-01-03,11,PT1H,MC-CordobaSucre,359748.59,366582.03
2022-01-03,10,PT1H,MC-CordobaSucre,353558.03,359182.13
2022-01-03,9,PT1H,MC-CordobaSucre,351751.59,351019.53
2022-01-03,8,PT1H,MC-CordobaSucre,348576.84,344554.53
2022-01-03,7,PT1H,MC-CordobaSucre,347490.06,350729.53
2022-01-03,6,PT1H,MC-CordobaSucre,378837.22,376673.0
2022-01-03,5,PT1H,MC-CordobaSucre,382117.38,380161.72
2022-01-03,4,PT1H,MC-CordobaSucre,387941.66,389736.69
2022-01-03,3,PT1H,MC-CordobaSucre,397228.31,401745.69
2022-01-03,2,PT1H,MC-CordobaSucre,408366.97,414203.78
2022-01-03,12,PT1H,MC-CordobaSucre,375580.09,376594.53
2022-01-04,24,PT1H,MC-CordobaSucre,448802.16,452829.16
2022-01-04,23,PT1H,MC-CordobaSucre,468550.81,466404.19
2022-01-04,22,PT1H,MC-CordobaSucre,476002.28,470141.66
2022-01-04,1,PT1H,MC-CordobaSucre,430512.03,429027.56
2022-01-04,12,PT1H,MC-CordobaSucre,367659.5,377077.56
2022-01-04,21,PT1H,MC-CordobaSucre,468632.94,470254.16
2022-01-04,18,PT1H,MC-CordobaSucre,386457.25,394654.19
2022-01-04,17,PT1H,MC-CordobaSucre,392627.06,390298.75
2022-01-04,16,PT1H,MC-CordobaSucre,401165.09,403698.72
2022-01-04,15,PT1H,MC-CordobaSucre,396980.16,403961.41
2022-01-04,14,PT1H,MC-CordobaSucre,380533.16,390202.72
2022-01-04,13,PT1H,MC-CordobaSucre,366771.66,377165.06
2022-01-04,11,PT1H,MC-CordobaSucre,354397.56,368815.06
2022-01-04,19,PT1H,MC-CordobaSucre,443492.09,456941.66
2022-01-04,10,PT1H,MC-CordobaSucre,346974.97,360452.72
2022-01-04,8,PT1H,MC-CordobaSucre,347835.5,348118.69
2022-01-04,7,PT1H,MC-CordobaSucre,354719.78,354243.69
2022-01-04,6,PT1H,MC-CordobaSucre,381596.53,378377.56
2022-01-04,5,PT1H,MC-CordobaSucre,384022.34,384927.56
2022-01-04,4,PT1H,MC-CordobaSucre,390782.63,391415.06
2022-01-04,3,PT1H,MC-CordobaSucre,400199.41,401615.06
2022-01-04,2,PT1H,MC-CordobaSucre,415859.28,414952.56
2022-01-04,9,PT1H,MC-CordobaSucre,349385.13,352493.69
2022-01-04,20,PT1H,MC-CordobaSucre,461540.41,465866.66
2022-01-05,21,PT1H,MC-CordobaSucre,466617.63,470347.31
2022-01-05,12,PT1H,MC-CordobaSucre,374758.13,378753.09
