Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Drummond,2088.0,2433.33
2022-01-01,1,PT1H,MC-Drummond,1116.0,2433.33
2022-01-01,2,PT1H,MC-Drummond,1152.0,2433.33
2022-01-01,3,PT1H,MC-Drummond,1116.0,2433.33
2022-01-01,4,PT1H,MC-Drummond,1116.0,2433.33
2022-01-01,5,PT1H,MC-Drummond,1116.0,2433.33
2022-01-01,6,PT1H,MC-Drummond,1116.0,2433.33
2022-01-01,7,PT1H,MC-Drummond,1296.0,1733.33
2022-01-01,8,PT1H,MC-Drummond,1224.0,1733.33
2022-01-01,9,PT1H,MC-Drummond,1368.0,1733.33
2022-01-01,10,PT1H,MC-Drummond,1404.0,1733.33
2022-01-01,11,PT1H,MC-Drummond,1476.0,1733.33
2022-01-01,23,PT1H,MC-Drummond,2124.0,2433.33
2022-01-01,13,PT1H,MC-Drummond,1512.0,1733.33
2022-01-01,14,PT1H,MC-Drummond,1512.0,1733.33
2022-01-01,15,PT1H,MC-Drummond,1512.0,1733.33
2022-01-01,16,PT1H,MC-Drummond,1584.0,1733.33
2022-01-01,17,PT1H,MC-Drummond,1692.0,1733.33
2022-01-01,18,PT1H,MC-Drummond,1692.0,1733.33
2022-01-01,19,PT1H,MC-Drummond,2268.0,2433.33
2022-01-01,20,PT1H,MC-Drummond,2196.0,2433.33
2022-01-01,21,PT1H,MC-Drummond,2160.0,2433.33
2022-01-01,12,PT1H,MC-Drummond,1476.0,1733.33
2022-01-01,22,PT1H,MC-Drummond,2124.0,2433.33
2022-01-02,15,PT1H,MC-Drummond,10008.0,7095.0
2022-01-02,16,PT1H,MC-Drummond,10512.0,7095.0
2022-01-02,17,PT1H,MC-Drummond,10836.0,7095.0
2022-01-02,21,PT1H,MC-Drummond,9504.0,3547.5
2022-01-02,19,PT1H,MC-Drummond,10080.0,3547.5
2022-01-02,20,PT1H,MC-Drummond,11556.0,3547.5
2022-01-02,14,PT1H,MC-Drummond,9720.0,7095.0
2022-01-02,22,PT1H,MC-Drummond,10620.0,3547.5
2022-01-02,18,PT1H,MC-Drummond,10224.0,7095.0
2022-01-02,13,PT1H,MC-Drummond,8388.0,7095.0
2022-01-02,7,PT1H,MC-Drummond,1584.0,7095.0
2022-01-02,11,PT1H,MC-Drummond,5364.0,7095.0
2022-01-02,10,PT1H,MC-Drummond,4320.0,7095.0
2022-01-02,9,PT1H,MC-Drummond,2340.0,7095.0
