Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-GM,371740.31,392500.0
2022-01-01,1,PT1H,MC-GM,336437.38,365700.0
2022-01-01,2,PT1H,MC-GM,340189.5,366000.0
2022-01-01,3,PT1H,MC-GM,343887.47,364400.0
2022-01-01,4,PT1H,MC-GM,339903.41,360900.0
2022-01-01,5,PT1H,MC-GM,333534.38,353800.0
2022-01-01,6,PT1H,MC-GM,326157.0,345200.0
2022-01-01,7,PT1H,MC-GM,306286.16,324700.0
2022-01-01,8,PT1H,MC-GM,301827.19,320900.0
2022-01-01,9,PT1H,MC-GM,306633.97,324200.0
2022-01-01,10,PT1H,MC-GM,313369.59,330200.0
2022-01-01,11,PT1H,MC-GM,317295.38,335900.0
2022-01-01,23,PT1H,MC-GM,377058.25,398300.0
2022-01-01,13,PT1H,MC-GM,325898.19,350800.0
2022-01-01,14,PT1H,MC-GM,330860.84,354700.0
2022-01-01,15,PT1H,MC-GM,331273.13,358100.0
2022-01-01,16,PT1H,MC-GM,330869.16,354200.0
2022-01-01,17,PT1H,MC-GM,325709.47,343900.0
2022-01-01,18,PT1H,MC-GM,325389.63,343300.0
2022-01-01,19,PT1H,MC-GM,358681.63,377700.0
2022-01-01,20,PT1H,MC-GM,367105.84,385700.0
2022-01-01,21,PT1H,MC-GM,372034.63,393000.0
2022-01-01,12,PT1H,MC-GM,322664.41,343400.0
2022-01-01,22,PT1H,MC-GM,377132.56,398200.0
2022-01-02,15,PT1H,MC-GM,344468.44,369700.0
2022-01-02,16,PT1H,MC-GM,341414.66,364100.0
2022-01-02,17,PT1H,MC-GM,332979.13,351400.0
2022-01-02,21,PT1H,MC-GM,380200.38,398300.0
2022-01-02,19,PT1H,MC-GM,362841.53,383500.0
2022-01-02,20,PT1H,MC-GM,373835.38,391400.0
2022-01-02,14,PT1H,MC-GM,339568.97,364700.0
2022-01-02,22,PT1H,MC-GM,387537.38,404300.0
2022-01-02,18,PT1H,MC-GM,328036.19,347500.0
2022-01-02,13,PT1H,MC-GM,331596.81,356900.0
2022-01-02,7,PT1H,MC-GM,299853.06,320300.0
2022-01-02,11,PT1H,MC-GM,316868.03,338200.0
2022-01-02,10,PT1H,MC-GM,313476.0,331600.0
2022-01-02,9,PT1H,MC-GM,309990.53,327700.0
2022-01-02,8,PT1H,MC-GM,301425.0,321700.0
2022-01-02,6,PT1H,MC-GM,314702.03,337000.0
2022-01-02,5,PT1H,MC-GM,321886.41,343200.0
2022-01-02,4,PT1H,MC-GM,330625.31,349700.0
2022-01-02,3,PT1H,MC-GM,340212.06,359400.0
2022-01-02,23,PT1H,MC-GM,388636.25,407000.0
2022-01-02,1,PT1H,MC-GM,362305.66,380500.0
2022-01-02,12,PT1H,MC-GM,324137.66,345700.0
2022-01-02,2,PT1H,MC-GM,351003.25,369500.0
2022-01-02,24,PT1H,MC-GM,381140.53,400400.0
2022-01-03,14,PT1H,MC-GM,376720.72,391500.0
2022-01-03,23,PT1H,MC-GM,402422.13,418300.0
2022-01-03,22,PT1H,MC-GM,407307.06,417400.0
2022-01-03,21,PT1H,MC-GM,400537.94,412700.0
2022-01-03,20,PT1H,MC-GM,393032.66,408400.0
2022-01-03,19,PT1H,MC-GM,385322.0,405000.0
2022-01-03,18,PT1H,MC-GM,355385.03,375100.0
2022-01-03,17,PT1H,MC-GM,374948.53,384700.0
2022-01-03,16,PT1H,MC-GM,390725.88,398400.0
2022-01-03,15,PT1H,MC-GM,392097.06,401400.0
2022-01-03,24,PT1H,MC-GM,391970.22,407500.0
2022-01-03,13,PT1H,MC-GM,358137.84,372600.0
2022-01-03,1,PT1H,MC-GM,367515.88,384200.0
2022-01-03,11,PT1H,MC-GM,338718.09,352000.0
2022-01-03,10,PT1H,MC-GM,332564.56,343200.0
2022-01-03,9,PT1H,MC-GM,324840.69,334100.0
2022-01-03,8,PT1H,MC-GM,308210.97,316600.0
2022-01-03,7,PT1H,MC-GM,303014.78,312100.0
2022-01-03,6,PT1H,MC-GM,319251.44,327200.0
2022-01-03,5,PT1H,MC-GM,326434.63,337100.0
2022-01-03,4,PT1H,MC-GM,333190.22,343700.0
2022-01-03,3,PT1H,MC-GM,343580.72,356000.0
2022-01-03,2,PT1H,MC-GM,355400.25,368800.0
2022-01-03,12,PT1H,MC-GM,348677.69,364600.0
2022-01-04,24,PT1H,MC-GM,382218.34,409100.0
2022-01-04,23,PT1H,MC-GM,396714.5,420200.0
2022-01-04,22,PT1H,MC-GM,404930.03,419700.0
2022-01-04,1,PT1H,MC-GM,377021.66,387300.0
2022-01-04,12,PT1H,MC-GM,353779.81,366400.0
2022-01-04,21,PT1H,MC-GM,398800.88,415500.0
2022-01-04,18,PT1H,MC-GM,352263.56,375700.0
2022-01-04,17,PT1H,MC-GM,374244.41,384200.0
2022-01-04,16,PT1H,MC-GM,393583.91,399200.0
2022-01-04,15,PT1H,MC-GM,396057.72,403500.0
2022-01-04,14,PT1H,MC-GM,383137.69,393400.0
2022-01-04,13,PT1H,MC-GM,365248.56,375400.0
2022-01-04,11,PT1H,MC-GM,341428.41,354600.0
2022-01-04,19,PT1H,MC-GM,386391.41,405400.0
2022-01-04,10,PT1H,MC-GM,334823.81,345000.0
2022-01-04,8,PT1H,MC-GM,312117.09,318400.0
2022-01-04,7,PT1H,MC-GM,307847.03,314400.0
2022-01-04,6,PT1H,MC-GM,322162.22,331000.0
2022-01-04,5,PT1H,MC-GM,329407.69,339500.0
2022-01-04,4,PT1H,MC-GM,336195.94,346200.0
2022-01-04,3,PT1H,MC-GM,348132.78,358800.0
2022-01-04,2,PT1H,MC-GM,358775.47,371800.0
2022-01-04,9,PT1H,MC-GM,326097.56,335900.0
2022-01-04,20,PT1H,MC-GM,393947.41,411600.0
2022-01-05,21,PT1H,MC-GM,389548.81,411700.0
2022-01-05,12,PT1H,MC-GM,345960.47,364400.0
2022-01-05,20,PT1H,MC-GM,388320.44,405900.0
2022-01-05,11,PT1H,MC-GM,336616.53,351600.0
2022-01-05,10,PT1H,MC-GM,328094.16,342500.0
2022-01-05,9,PT1H,MC-GM,319849.31,333000.0
2022-01-05,8,PT1H,MC-GM,302792.56,316600.0
2022-01-05,7,PT1H,MC-GM,302558.25,311100.0
2022-01-05,22,PT1H,MC-GM,392523.75,417000.0
2022-01-05,5,PT1H,MC-GM,323626.38,336500.0
2022-01-05,4,PT1H,MC-GM,331154.75,343800.0
2022-01-05,13,PT1H,MC-GM,353813.0,372700.0
2022-01-05,3,PT1H,MC-GM,342969.69,355900.0
2022-01-05,1,PT1H,MC-GM,371749.0,383900.0
2022-01-05,14,PT1H,MC-GM,370972.56,391100.0
2022-01-05,15,PT1H,MC-GM,386235.03,400900.0
2022-01-05,16,PT1H,MC-GM,384767.78,397800.0
2022-01-05,23,PT1H,MC-GM,393514.28,416900.0
2022-01-05,17,PT1H,MC-GM,366961.28,381700.0
2022-01-05,18,PT1H,MC-GM,350143.69,372400.0
2022-01-05,19,PT1H,MC-GM,380887.5,403700.0
2022-01-05,2,PT1H,MC-GM,355600.16,368500.0
2022-01-05,6,PT1H,MC-GM,317300.91,328300.0
2022-01-05,24,PT1H,MC-GM,379337.34,406300.0
2022-01-06,2,PT1H,MC-GM,349175.41,365600.0
2022-01-06,24,PT1H,MC-GM,383562.13,404300.0
2022-01-06,23,PT1H,MC-GM,398610.72,415900.0
2022-01-06,22,PT1H,MC-GM,402600.19,415800.0
2022-01-06,21,PT1H,MC-GM,396981.34,409200.0
2022-01-06,20,PT1H,MC-GM,390974.75,403200.0
2022-01-06,19,PT1H,MC-GM,386400.0,399800.0
2022-01-06,18,PT1H,MC-GM,357315.75,368800.0
2022-01-06,17,PT1H,MC-GM,372673.03,377700.0
2022-01-06,16,PT1H,MC-GM,389176.97,392400.0
2022-01-06,15,PT1H,MC-GM,392296.66,396000.0
2022-01-06,14,PT1H,MC-GM,379936.44,385700.0
2022-01-06,1,PT1H,MC-GM,364265.09,380000.0
2022-01-06,12,PT1H,MC-GM,351307.63,361800.0
2022-01-06,11,PT1H,MC-GM,338404.06,348600.0
2022-01-06,10,PT1H,MC-GM,327459.16,339200.0
2022-01-06,9,PT1H,MC-GM,317028.19,328400.0
2022-01-06,8,PT1H,MC-GM,299697.69,311500.0
2022-01-06,7,PT1H,MC-GM,294541.81,308300.0
2022-01-06,6,PT1H,MC-GM,310012.78,325300.0
2022-01-06,5,PT1H,MC-GM,317284.28,334400.0
2022-01-06,4,PT1H,MC-GM,323947.22,341300.0
2022-01-06,3,PT1H,MC-GM,335767.47,353300.0
2022-01-06,13,PT1H,MC-GM,363305.66,368300.0
2022-01-07,15,PT1H,MC-GM,394508.19,396300.0
2022-01-07,16,PT1H,MC-GM,390949.25,392800.0
2022-01-07,17,PT1H,MC-GM,374756.19,378100.0
2022-01-07,18,PT1H,MC-GM,362027.25,368000.0
2022-01-07,23,PT1H,MC-GM,403932.31,413100.0
2022-01-07,20,PT1H,MC-GM,397964.34,403600.0
2022-01-07,21,PT1H,MC-GM,405545.78,406800.0
2022-01-07,22,PT1H,MC-GM,408500.09,411100.0
2022-01-07,14,PT1H,MC-GM,383121.78,387200.0
2022-01-07,19,PT1H,MC-GM,391157.59,400400.0
2022-01-07,13,PT1H,MC-GM,362782.94,367700.0
2022-01-07,8,PT1H,MC-GM,299415.09,312400.0
2022-01-07,11,PT1H,MC-GM,336802.22,346100.0
2022-01-07,10,PT1H,MC-GM,326245.41,338300.0
2022-01-07,9,PT1H,MC-GM,315086.63,330000.0
2022-01-07,7,PT1H,MC-GM,296001.03,308700.0
2022-01-07,6,PT1H,MC-GM,310132.47,324800.0
2022-01-07,5,PT1H,MC-GM,318098.28,332800.0
2022-01-07,4,PT1H,MC-GM,326296.41,340700.0
2022-01-07,3,PT1H,MC-GM,336900.44,353000.0
2022-01-07,24,PT1H,MC-GM,390908.16,401600.0
2022-01-07,1,PT1H,MC-GM,365447.94,380500.0
2022-01-07,12,PT1H,MC-GM,347723.97,359000.0
2022-01-07,2,PT1H,MC-GM,350943.88,365800.0
2022-01-08,3,PT1H,MC-GM,344228.28,350400.0
2022-01-08,2,PT1H,MC-GM,359324.06,363200.0
2022-01-08,10,PT1H,MC-GM,324184.84,318100.0
2022-01-08,11,PT1H,MC-GM,329432.19,325800.0
2022-01-08,14,PT1H,MC-GM,362158.47,349900.0
2022-01-08,9,PT1H,MC-GM,316082.19,313000.0
2022-01-08,8,PT1H,MC-GM,304523.0,304600.0
2022-01-08,7,PT1H,MC-GM,302513.84,299400.0
2022-01-08,6,PT1H,MC-GM,295171.22,322000.0
2022-01-08,5,PT1H,MC-GM,324114.81,329800.0
2022-01-08,4,PT1H,MC-GM,333313.88,337900.0
2022-01-08,15,PT1H,MC-GM,364719.47,354300.0
2022-01-08,16,PT1H,MC-GM,362388.72,350400.0
2022-01-08,17,PT1H,MC-GM,350823.28,334000.0
2022-01-08,12,PT1H,MC-GM,344080.06,334400.0
2022-01-08,18,PT1H,MC-GM,343963.53,344300.0
2022-01-08,20,PT1H,MC-GM,383379.41,381100.0
2022-01-08,21,PT1H,MC-GM,385571.03,385500.0
2022-01-08,22,PT1H,MC-GM,386688.97,389800.0
2022-01-08,23,PT1H,MC-GM,384226.28,387800.0
2022-01-08,24,PT1H,MC-GM,374719.81,381900.0
2022-01-08,1,PT1H,MC-GM,374506.78,377000.0
2022-01-08,19,PT1H,MC-GM,378028.72,377000.0
2022-01-08,13,PT1H,MC-GM,353135.91,342900.0
2022-01-09,1,PT1H,MC-GM,361553.59,365300.0
2022-01-09,22,PT1H,MC-GM,377504.06,387500.0
2022-01-09,21,PT1H,MC-GM,373018.88,381000.0
2022-01-09,20,PT1H,MC-GM,367926.56,375500.0
2022-01-09,19,PT1H,MC-GM,358592.72,366800.0
2022-01-09,5,PT1H,MC-GM,314094.19,325700.0
2022-01-09,23,PT1H,MC-GM,375786.28,390800.0
