Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Guaviare,8231.03,7567.0
2022-01-01,1,PT1H,MC-Guaviare,8453.19,7482.0
2022-01-01,2,PT1H,MC-Guaviare,8164.38,7025.0
2022-01-01,3,PT1H,MC-Guaviare,8059.36,6729.0
2022-01-01,4,PT1H,MC-Guaviare,7899.81,6642.0
2022-01-01,5,PT1H,MC-Guaviare,7644.32,6576.0
2022-01-01,6,PT1H,MC-Guaviare,7445.39,6570.0
2022-01-01,7,PT1H,MC-Guaviare,7163.65,6560.0
2022-01-01,8,PT1H,MC-Guaviare,7450.44,7178.0
2022-01-01,9,PT1H,MC-Guaviare,7826.09,7943.0
2022-01-01,10,PT1H,MC-Guaviare,8136.1,8653.0
2022-01-01,11,PT1H,MC-Guaviare,8329.99,9160.0
2022-01-01,23,PT1H,MC-Guaviare,8741.99,8175.0
2022-01-01,13,PT1H,MC-Guaviare,8630.91,9509.0
2022-01-01,14,PT1H,MC-Guaviare,8176.5,9428.0
2022-01-01,15,PT1H,MC-Guaviare,8300.7,9345.0
2022-01-01,16,PT1H,MC-Guaviare,8214.87,9250.0
2022-01-01,17,PT1H,MC-Guaviare,8046.23,9037.0
2022-01-01,18,PT1H,MC-Guaviare,8274.45,8950.0
2022-01-01,19,PT1H,MC-Guaviare,9331.73,9754.0
2022-01-01,20,PT1H,MC-Guaviare,9572.06,9635.0
2022-01-01,21,PT1H,MC-Guaviare,9595.29,9236.0
2022-01-01,12,PT1H,MC-Guaviare,8505.7,9547.0
2022-01-01,22,PT1H,MC-Guaviare,9114.62,8784.0
2022-01-02,15,PT1H,MC-Guaviare,8311.81,8694.0
2022-01-02,16,PT1H,MC-Guaviare,8286.57,8618.0
2022-01-02,17,PT1H,MC-Guaviare,8157.31,8477.0
2022-01-02,21,PT1H,MC-Guaviare,9208.53,9075.0
2022-01-02,19,PT1H,MC-Guaviare,9043.93,9397.0
2022-01-02,20,PT1H,MC-Guaviare,9357.98,9361.0
2022-01-02,14,PT1H,MC-Guaviare,8394.62,8826.0
2022-01-02,22,PT1H,MC-Guaviare,8882.36,8706.0
2022-01-02,18,PT1H,MC-Guaviare,8108.84,8611.0
2022-01-02,13,PT1H,MC-Guaviare,8368.36,8701.0
2022-01-02,7,PT1H,MC-Guaviare,6119.5,6285.0
2022-01-02,11,PT1H,MC-Guaviare,8115.91,8473.0
2022-01-02,10,PT1H,MC-Guaviare,7688.75,7994.0
2022-01-02,9,PT1H,MC-Guaviare,7125.27,7521.0
2022-01-02,8,PT1H,MC-Guaviare,6595.12,6781.0
2022-01-02,6,PT1H,MC-Guaviare,6307.32,6315.0
2022-01-02,5,PT1H,MC-Guaviare,6425.47,6401.0
2022-01-02,4,PT1H,MC-Guaviare,6583.0,6454.0
2022-01-02,3,PT1H,MC-Guaviare,6769.82,6651.0
2022-01-02,23,PT1H,MC-Guaviare,8350.18,8141.0
2022-01-02,1,PT1H,MC-Guaviare,7264.63,7124.0
2022-01-02,12,PT1H,MC-Guaviare,8262.33,8706.0
2022-01-02,2,PT1H,MC-Guaviare,6952.6,6799.0
2022-01-02,24,PT1H,MC-Guaviare,7789.74,7450.0
2022-01-03,14,PT1H,MC-Guaviare,10153.72,10474.0
2022-01-03,23,PT1H,MC-Guaviare,8693.52,8914.0
2022-01-03,22,PT1H,MC-Guaviare,9409.48,9697.0
