Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2024-06-03,24,PT1H,MC-MagdalenaEcop,0.0,23019.9
2024-06-03,1,PT1H,MC-MagdalenaEcop,0.0,17422.1
2024-06-03,3,PT1H,MC-MagdalenaEcop,0.0,20851.6
2024-06-03,4,PT1H,MC-MagdalenaEcop,0.0,22835.6
2024-06-03,5,PT1H,MC-MagdalenaEcop,0.0,25436.8
2024-06-03,6,PT1H,MC-MagdalenaEcop,0.0,24763.9
2024-06-03,7,PT1H,MC-MagdalenaEcop,0.0,21953.4
2024-06-03,8,PT1H,MC-MagdalenaEcop,0.0,21451.1
2024-06-03,9,PT1H,MC-MagdalenaEcop,0.0,20005.4
2024-06-03,10,PT1H,MC-MagdalenaEcop,0.0,23362.7
2024-06-03,11,PT1H,MC-MagdalenaEcop,0.0,24146.0
2024-06-03,12,PT1H,MC-MagdalenaEcop,0.0,23721.2
2024-06-03,2,PT1H,MC-MagdalenaEcop,0.0,19618.8
2024-06-03,14,PT1H,MC-MagdalenaEcop,0.0,24409.9
2024-06-03,15,PT1H,MC-MagdalenaEcop,0.0,24846.2
2024-06-03,16,PT1H,MC-MagdalenaEcop,0.0,24904.3
2024-06-03,17,PT1H,MC-MagdalenaEcop,0.0,24674.3
2024-06-03,18,PT1H,MC-MagdalenaEcop,0.0,24445.4
2024-06-03,19,PT1H,MC-MagdalenaEcop,0.0,24419.7
2024-06-03,20,PT1H,MC-MagdalenaEcop,0.0,24593.3
2024-06-03,21,PT1H,MC-MagdalenaEcop,0.0,24208.3
2024-06-03,22,PT1H,MC-MagdalenaEcop,0.0,23698.7
2024-06-03,23,PT1H,MC-MagdalenaEcop,0.0,22988.6
2024-06-03,13,PT1H,MC-MagdalenaEcop,0.0,24144.5
2024-06-04,15,PT1H,MC-MagdalenaEcop,25910.32,23856.3
2024-06-04,16,PT1H,MC-MagdalenaEcop,26490.32,23889.3
2024-06-04,17,PT1H,MC-MagdalenaEcop,25958.94,24373.9
2024-06-04,21,PT1H,MC-MagdalenaEcop,25064.91,24570.8
2024-06-04,19,PT1H,MC-MagdalenaEcop,24665.5,24708.6
2024-06-04,20,PT1H,MC-MagdalenaEcop,24521.88,24951.6
2024-06-04,14,PT1H,MC-MagdalenaEcop,25668.44,23510.4
2024-06-04,18,PT1H,MC-MagdalenaEcop,24919.89,24555.9
2024-06-04,13,PT1H,MC-MagdalenaEcop,26074.0,23946.3
2024-06-04,6,PT1H,MC-MagdalenaEcop,21155.55,24564.3
2024-06-04,10,PT1H,MC-MagdalenaEcop,25656.11,23958.7
2024-06-04,1,PT1H,MC-MagdalenaEcop,23329.73,23044.1
2024-06-04,8,PT1H,MC-MagdalenaEcop,23555.66,23020.6
2024-06-04,7,PT1H,MC-MagdalenaEcop,22623.91,23845.3
2024-06-04,5,PT1H,MC-MagdalenaEcop,22508.82,24720.1
2024-06-04,4,PT1H,MC-MagdalenaEcop,23701.11,24965.8
2024-06-04,3,PT1H,MC-MagdalenaEcop,25027.59,24754.5
2024-06-04,2,PT1H,MC-MagdalenaEcop,24478.39,24286.5
2024-06-04,22,PT1H,MC-MagdalenaEcop,25583.88,24203.5
