Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Nariño,69991.4,72299.55
2022-01-01,1,PT1H,MC-Nariño,91244.53,94875.31
2022-01-01,2,PT1H,MC-Nariño,83888.69,87027.7
2022-01-01,3,PT1H,MC-Nariño,77230.1,78782.44
2022-01-01,4,PT1H,MC-Nariño,71053.52,73130.69
2022-01-01,5,PT1H,MC-Nariño,67644.66,69274.38
2022-01-01,6,PT1H,MC-Nariño,65735.29,66725.79
2022-01-01,7,PT1H,MC-Nariño,60621.24,61180.16
2022-01-01,8,PT1H,MC-Nariño,64270.38,62387.74
2022-01-01,9,PT1H,MC-Nariño,72392.47,69947.43
2022-01-01,10,PT1H,MC-Nariño,79138.45,76113.66
2022-01-01,11,PT1H,MC-Nariño,84593.25,81183.25
2022-01-01,23,PT1H,MC-Nariño,80161.92,82723.57
2022-01-01,13,PT1H,MC-Nariño,91262.16,85279.08
2022-01-01,14,PT1H,MC-Nariño,87791.43,84109.9
2022-01-01,15,PT1H,MC-Nariño,85172.49,81631.0
2022-01-01,16,PT1H,MC-Nariño,83875.37,81055.5
2022-01-01,17,PT1H,MC-Nariño,82655.05,82051.92
2022-01-01,18,PT1H,MC-Nariño,81780.52,84638.91
2022-01-01,19,PT1H,MC-Nariño,100285.17,108046.12
2022-01-01,20,PT1H,MC-Nariño,111484.3,120096.55
2022-01-01,21,PT1H,MC-Nariño,104098.4,110544.13
2022-01-01,12,PT1H,MC-Nariño,89312.43,85275.09
2022-01-01,22,PT1H,MC-Nariño,92817.98,96170.07
2022-01-02,15,PT1H,MC-Nariño,92215.83,91929.27
2022-01-02,16,PT1H,MC-Nariño,89234.91,90146.97
2022-01-02,17,PT1H,MC-Nariño,87906.6,88703.99
2022-01-02,21,PT1H,MC-Nariño,113334.73,113064.01
2022-01-02,19,PT1H,MC-Nariño,107857.82,115016.66
2022-01-02,20,PT1H,MC-Nariño,119857.76,120920.66
2022-01-02,14,PT1H,MC-Nariño,97087.17,96147.47
2022-01-02,22,PT1H,MC-Nariño,102027.55,99821.01
2022-01-02,18,PT1H,MC-Nariño,89900.81,93128.7
2022-01-02,13,PT1H,MC-Nariño,101635.77,102757.0
2022-01-02,7,PT1H,MC-Nariño,62917.45,68355.25
2022-01-02,11,PT1H,MC-Nariño,101156.61,101579.86
2022-01-02,10,PT1H,MC-Nariño,96652.45,97654.84
2022-01-02,9,PT1H,MC-Nariño,88751.09,90670.74
2022-01-02,8,PT1H,MC-Nariño,75743.53,79745.43
2022-01-02,6,PT1H,MC-Nariño,60326.53,62281.56
2022-01-02,5,PT1H,MC-Nariño,57231.57,58585.33
2022-01-02,4,PT1H,MC-Nariño,55968.2,57724.81
2022-01-02,3,PT1H,MC-Nariño,57122.68,59369.04
2022-01-02,23,PT1H,MC-Nariño,88536.6,84186.16
2022-01-02,1,PT1H,MC-Nariño,63751.88,67625.97
2022-01-02,12,PT1H,MC-Nariño,104195.18,104418.48
2022-01-02,2,PT1H,MC-Nariño,59648.3,62348.04
2022-01-02,24,PT1H,MC-Nariño,75053.13,71551.55
2022-01-03,14,PT1H,MC-Nariño,102056.06,100163.84
2022-01-03,23,PT1H,MC-Nariño,91198.93,89311.95
2022-01-03,22,PT1H,MC-Nariño,108537.08,110454.05
2022-01-03,21,PT1H,MC-Nariño,122407.8,128621.84
2022-01-03,20,PT1H,MC-Nariño,132034.36,139618.97
2022-01-03,19,PT1H,MC-Nariño,122106.6,133264.8
2022-01-03,18,PT1H,MC-Nariño,103561.87,109391.29
2022-01-03,17,PT1H,MC-Nariño,101032.34,103587.26
2022-01-03,16,PT1H,MC-Nariño,101338.38,100898.38
2022-01-03,15,PT1H,MC-Nariño,101309.98,99940.94
2022-01-03,24,PT1H,MC-Nariño,75884.88,71628.17
2022-01-03,13,PT1H,MC-Nariño,106888.55,106207.27
2022-01-03,1,PT1H,MC-Nariño,65762.59,63276.23
2022-01-03,11,PT1H,MC-Nariño,104080.27,106493.59
2022-01-03,10,PT1H,MC-Nariño,98832.16,103564.73
2022-01-03,9,PT1H,MC-Nariño,93287.32,98769.38
2022-01-03,8,PT1H,MC-Nariño,84457.9,93641.1
2022-01-03,7,PT1H,MC-Nariño,73895.68,85619.63
2022-01-03,6,PT1H,MC-Nariño,66064.44,69448.18
2022-01-03,5,PT1H,MC-Nariño,59277.35,60193.12
2022-01-03,4,PT1H,MC-Nariño,57600.61,55912.99
2022-01-03,3,PT1H,MC-Nariño,58142.24,56092.1
2022-01-03,2,PT1H,MC-Nariño,60587.06,58110.38
2022-01-03,12,PT1H,MC-Nariño,108499.98,110299.02
2022-01-04,24,PT1H,MC-Nariño,77592.62,73964.12
2022-01-04,23,PT1H,MC-Nariño,91201.64,89169.93
2022-01-04,22,PT1H,MC-Nariño,107957.98,108773.59
2022-01-04,1,PT1H,MC-Nariño,66527.8,65870.24
2022-01-04,12,PT1H,MC-Nariño,111415.42,112029.86
2022-01-04,21,PT1H,MC-Nariño,122352.87,124734.34
2022-01-04,18,PT1H,MC-Nariño,106227.55,104212.13
2022-01-04,17,PT1H,MC-Nariño,100929.55,102494.37
2022-01-04,16,PT1H,MC-Nariño,101374.77,104606.08
2022-01-04,15,PT1H,MC-Nariño,102024.1,104161.11
2022-01-04,14,PT1H,MC-Nariño,103092.91,103539.63
2022-01-04,13,PT1H,MC-Nariño,109523.57,106804.52
2022-01-04,11,PT1H,MC-Nariño,107147.75,108322.37
2022-01-04,19,PT1H,MC-Nariño,124603.76,127198.59
2022-01-04,10,PT1H,MC-Nariño,103711.48,105045.23
2022-01-04,8,PT1H,MC-Nariño,88995.56,92185.77
2022-01-04,7,PT1H,MC-Nariño,77404.75,82638.82
2022-01-04,6,PT1H,MC-Nariño,68037.8,70402.51
2022-01-04,5,PT1H,MC-Nariño,60844.46,61187.68
