Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-NorSantander,189378.88,188938.69
2022-01-01,1,PT1H,MC-NorSantander,174770.36,186298.64
2022-01-01,2,PT1H,MC-NorSantander,173354.48,186256.31
2022-01-01,3,PT1H,MC-NorSantander,172167.81,184565.69
2022-01-01,4,PT1H,MC-NorSantander,169102.97,182234.8
2022-01-01,5,PT1H,MC-NorSantander,167828.28,179167.41
2022-01-01,6,PT1H,MC-NorSantander,163998.13,175462.44
2022-01-01,7,PT1H,MC-NorSantander,153373.05,164893.95
2022-01-01,8,PT1H,MC-NorSantander,155227.67,163724.69
2022-01-01,9,PT1H,MC-NorSantander,161830.41,166305.41
2022-01-01,10,PT1H,MC-NorSantander,168925.94,169625.95
2022-01-01,11,PT1H,MC-NorSantander,174443.66,171477.5
2022-01-01,23,PT1H,MC-NorSantander,196375.66,195450.75
2022-01-01,13,PT1H,MC-NorSantander,182126.66,174802.48
2022-01-01,14,PT1H,MC-NorSantander,181139.73,173250.95
2022-01-01,15,PT1H,MC-NorSantander,180826.72,171351.73
2022-01-01,16,PT1H,MC-NorSantander,179472.45,170831.7
2022-01-01,17,PT1H,MC-NorSantander,177841.38,171822.53
2022-01-01,18,PT1H,MC-NorSantander,182871.63,176573.97
2022-01-01,19,PT1H,MC-NorSantander,207663.7,203387.08
2022-01-01,20,PT1H,MC-NorSantander,211085.27,207334.48
2022-01-01,21,PT1H,MC-NorSantander,208662.47,204177.67
2022-01-01,12,PT1H,MC-NorSantander,178964.3,173630.09
2022-01-01,22,PT1H,MC-NorSantander,202848.81,202036.19
2022-01-02,15,PT1H,MC-NorSantander,198905.39,192185.56
2022-01-02,16,PT1H,MC-NorSantander,195097.91,193343.66
2022-01-02,17,PT1H,MC-NorSantander,193713.14,192110.11
2022-01-02,21,PT1H,MC-NorSantander,225326.91,216221.33
2022-01-02,19,PT1H,MC-NorSantander,224755.05,219461.81
2022-01-02,20,PT1H,MC-NorSantander,227451.22,220647.09
2022-01-02,14,PT1H,MC-NorSantander,198644.09,189510.08
2022-01-02,22,PT1H,MC-NorSantander,219541.36,211599.38
2022-01-02,18,PT1H,MC-NorSantander,198170.86,194745.56
2022-01-02,13,PT1H,MC-NorSantander,198962.5,189207.06
2022-01-02,7,PT1H,MC-NorSantander,158058.69,163801.55
2022-01-02,11,PT1H,MC-NorSantander,191727.63,185344.28
2022-01-02,10,PT1H,MC-NorSantander,182325.95,183034.72
2022-01-02,9,PT1H,MC-NorSantander,170697.22,177363.73
2022-01-02,8,PT1H,MC-NorSantander,162401.48,168966.16
2022-01-02,6,PT1H,MC-NorSantander,164428.97,170594.27
2022-01-02,5,PT1H,MC-NorSantander,166086.14,171738.67
2022-01-02,4,PT1H,MC-NorSantander,168697.56,173409.28
2022-01-02,3,PT1H,MC-NorSantander,173032.55,176133.73
2022-01-02,23,PT1H,MC-NorSantander,211781.72,203062.73
2022-01-02,1,PT1H,MC-NorSantander,185325.03,185014.98
2022-01-02,12,PT1H,MC-NorSantander,198029.0,188348.61
2022-01-02,2,PT1H,MC-NorSantander,179200.56,179051.83
2022-01-02,24,PT1H,MC-NorSantander,200576.0,194305.45
2022-01-03,14,PT1H,MC-NorSantander,235984.98,228738.64
2022-01-03,23,PT1H,MC-NorSantander,219197.86,219751.19
2022-01-03,22,PT1H,MC-NorSantander,233217.66,232543.63
2022-01-03,21,PT1H,MC-NorSantander,242003.2,241422.95
2022-01-03,20,PT1H,MC-NorSantander,247245.38,247830.83
2022-01-03,19,PT1H,MC-NorSantander,249904.31,249376.38
2022-01-03,18,PT1H,MC-NorSantander,233932.28,226803.45
2022-01-03,17,PT1H,MC-NorSantander,239727.8,231109.7
2022-01-03,16,PT1H,MC-NorSantander,246197.56,237133.89
2022-01-03,15,PT1H,MC-NorSantander,245780.02,239767.14
2022-01-03,24,PT1H,MC-NorSantander,201348.98,205355.67
2022-01-03,13,PT1H,MC-NorSantander,228681.8,220608.41
2022-01-03,1,PT1H,MC-NorSantander,190449.42,189340.5
