Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Oxy,86006.9,84000.0
2022-01-01,1,PT1H,MC-Oxy,85772.38,84000.0
2022-01-01,2,PT1H,MC-Oxy,85616.67,84000.0
2022-01-01,3,PT1H,MC-Oxy,85335.62,84000.0
2022-01-01,4,PT1H,MC-Oxy,85940.03,84000.0
2022-01-01,5,PT1H,MC-Oxy,85981.73,84000.0
2022-01-01,6,PT1H,MC-Oxy,85910.71,84000.0
2022-01-01,7,PT1H,MC-Oxy,85730.39,84000.0
2022-01-01,8,PT1H,MC-Oxy,85985.05,84000.0
2022-01-01,9,PT1H,MC-Oxy,86242.35,84000.0
2022-01-01,10,PT1H,MC-Oxy,86560.43,84000.0
2022-01-01,11,PT1H,MC-Oxy,86630.16,84000.0
2022-01-01,23,PT1H,MC-Oxy,86001.97,84000.0
2022-01-01,13,PT1H,MC-Oxy,87233.89,84000.0
2022-01-01,14,PT1H,MC-Oxy,86778.86,84000.0
2022-01-01,15,PT1H,MC-Oxy,86478.02,84000.0
2022-01-01,16,PT1H,MC-Oxy,87107.73,84000.0
2022-01-01,17,PT1H,MC-Oxy,86646.05,84000.0
2022-01-01,18,PT1H,MC-Oxy,86892.77,84000.0
2022-01-01,19,PT1H,MC-Oxy,86802.4,84000.0
2022-01-01,20,PT1H,MC-Oxy,87052.94,84000.0
2022-01-01,21,PT1H,MC-Oxy,86524.98,84000.0
2022-01-01,12,PT1H,MC-Oxy,87084.46,84000.0
2022-01-01,22,PT1H,MC-Oxy,86279.55,84000.0
2022-01-02,15,PT1H,MC-Oxy,86514.98,84000.0
2022-01-02,16,PT1H,MC-Oxy,86271.5,84000.0
2022-01-02,17,PT1H,MC-Oxy,86150.66,84000.0
2022-01-02,21,PT1H,MC-Oxy,85181.38,84000.0
2022-01-02,19,PT1H,MC-Oxy,85659.05,84000.0
2022-01-02,20,PT1H,MC-Oxy,85741.13,84000.0
2022-01-02,14,PT1H,MC-Oxy,86299.55,84000.0
2022-01-02,22,PT1H,MC-Oxy,84897.52,84000.0
2022-01-02,18,PT1H,MC-Oxy,85599.83,84000.0
2022-01-02,13,PT1H,MC-Oxy,85717.27,84000.0
2022-01-02,7,PT1H,MC-Oxy,85069.23,84000.0
2022-01-02,11,PT1H,MC-Oxy,85926.02,84000.0
2022-01-02,10,PT1H,MC-Oxy,85599.31,84000.0
2022-01-02,9,PT1H,MC-Oxy,85397.95,84000.0
