Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,24,PT1H,MC-Quindio,47959.19,45614.98
2022-01-01,1,PT1H,MC-Quindio,52915.28,47988.75
2022-01-01,2,PT1H,MC-Quindio,49575.57,44586.3
2022-01-01,3,PT1H,MC-Quindio,46217.76,41545.42
2022-01-01,4,PT1H,MC-Quindio,43353.55,39545.04
2022-01-01,5,PT1H,MC-Quindio,41506.6,38178.98
2022-01-01,6,PT1H,MC-Quindio,40531.38,37674.14
2022-01-01,7,PT1H,MC-Quindio,36363.72,34488.96
2022-01-01,8,PT1H,MC-Quindio,38021.6,36688.6
2022-01-01,9,PT1H,MC-Quindio,41757.28,40720.2
2022-01-01,10,PT1H,MC-Quindio,46200.3,46392.66
2022-01-01,11,PT1H,MC-Quindio,50477.26,51219.4
2022-01-01,23,PT1H,MC-Quindio,54145.95,51680.96
2022-01-01,13,PT1H,MC-Quindio,56455.05,56947.9
2022-01-01,14,PT1H,MC-Quindio,57229.83,56919.62
2022-01-01,15,PT1H,MC-Quindio,57200.84,56006.15
2022-01-01,16,PT1H,MC-Quindio,56205.65,55096.65
2022-01-01,17,PT1H,MC-Quindio,55594.4,54438.15
2022-01-01,18,PT1H,MC-Quindio,56740.46,54946.83
2022-01-01,19,PT1H,MC-Quindio,64763.72,64261.66
2022-01-01,20,PT1H,MC-Quindio,67212.85,65615.57
2022-01-01,21,PT1H,MC-Quindio,64936.84,62133.2
2022-01-01,12,PT1H,MC-Quindio,53684.17,54747.13
2022-01-01,22,PT1H,MC-Quindio,60558.7,57735.64
2022-01-02,15,PT1H,MC-Quindio,59659.47,59482.96
2022-01-02,16,PT1H,MC-Quindio,58713.56,59067.62
2022-01-02,17,PT1H,MC-Quindio,58394.03,57817.1
2022-01-02,21,PT1H,MC-Quindio,69671.49,69588.35
2022-01-02,19,PT1H,MC-Quindio,69359.25,66098.77
2022-01-02,20,PT1H,MC-Quindio,71797.79,69855.98
2022-01-02,14,PT1H,MC-Quindio,61744.09,60298.7
2022-01-02,22,PT1H,MC-Quindio,65315.44,65849.56
2022-01-02,18,PT1H,MC-Quindio,59250.39,59004.8
2022-01-02,13,PT1H,MC-Quindio,63071.63,60866.0
2022-01-02,7,PT1H,MC-Quindio,36903.73,37401.29
2022-01-02,11,PT1H,MC-Quindio,57287.61,55732.64
2022-01-02,10,PT1H,MC-Quindio,53154.46,51827.29
2022-01-02,9,PT1H,MC-Quindio,47913.14,47192.88
2022-01-02,8,PT1H,MC-Quindio,41893.41,41840.36
2022-01-02,6,PT1H,MC-Quindio,38164.18,33707.88
2022-01-02,5,PT1H,MC-Quindio,37333.16,37381.55
2022-01-02,4,PT1H,MC-Quindio,37298.17,37267.25
2022-01-02,3,PT1H,MC-Quindio,38078.19,38772.61
2022-01-02,23,PT1H,MC-Quindio,58684.62,56567.85
2022-01-02,1,PT1H,MC-Quindio,42881.64,45064.59
2022-01-02,12,PT1H,MC-Quindio,61331.43,59512.39
2022-01-02,2,PT1H,MC-Quindio,39895.03,41085.01
2022-01-02,24,PT1H,MC-Quindio,51090.73,49120.49
