Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-Antioquia,813476.69,799000.0
2022-01-01,2,PT1H,MC-Antioquia,778861.13,750000.0
2022-01-01,3,PT1H,MC-Antioquia,738098.81,712000.0
2022-01-01,4,PT1H,MC-Antioquia,709221.25,694000.0
2022-01-01,5,PT1H,MC-Antioquia,696444.81,689000.0
2022-01-01,6,PT1H,MC-Antioquia,702465.13,687000.0
2022-01-01,7,PT1H,MC-Antioquia,663939.69,673000.0
2022-01-01,8,PT1H,MC-Antioquia,671510.31,702000.0
2022-01-01,9,PT1H,MC-Antioquia,706989.19,758000.0
2022-01-01,10,PT1H,MC-Antioquia,753854.31,812000.0
2022-01-01,11,PT1H,MC-Antioquia,804743.5,854000.0
2022-01-01,12,PT1H,MC-Antioquia,849440.88,892000.0
2022-01-01,13,PT1H,MC-Antioquia,883721.13,928000.0
2022-01-01,14,PT1H,MC-Antioquia,895352.0,928000.0
2022-01-01,15,PT1H,MC-Antioquia,888783.5,905000.0
2022-01-01,16,PT1H,MC-Antioquia,875519.69,896000.0
2022-01-01,17,PT1H,MC-Antioquia,867644.75,883000.0
2022-01-01,18,PT1H,MC-Antioquia,870184.69,886000.0
2022-01-01,19,PT1H,MC-Antioquia,976939.25,1001000.0
2022-01-01,20,PT1H,MC-Antioquia,993019.63,1011000.0
2022-01-01,21,PT1H,MC-Antioquia,964259.06,973000.0
2022-01-01,22,PT1H,MC-Antioquia,933525.81,917000.0
2022-01-01,23,PT1H,MC-Antioquia,871947.25,852000.0
2022-01-01,24,PT1H,MC-Antioquia,798489.69,784000.0
2022-01-02,1,PT1H,MC-Antioquia,741636.75,791000.0
2022-01-02,2,PT1H,MC-Antioquia,707205.0,750000.0
2022-01-02,3,PT1H,MC-Antioquia,683923.5,720000.0
2022-01-02,4,PT1H,MC-Antioquia,678404.0,709000.0
2022-01-02,5,PT1H,MC-Antioquia,690044.81,717000.0
2022-01-02,6,PT1H,MC-Antioquia,711910.13,734000.0
2022-01-02,7,PT1H,MC-Antioquia,709132.19,737000.0
2022-01-02,8,PT1H,MC-Antioquia,743414.25,798000.0
2022-01-02,9,PT1H,MC-Antioquia,797939.56,867000.0
2022-01-02,10,PT1H,MC-Antioquia,854887.69,932000.0
2022-01-02,11,PT1H,MC-Antioquia,908272.0,987000.0
2022-01-02,12,PT1H,MC-Antioquia,955002.5,1037000.0
2022-01-02,13,PT1H,MC-Antioquia,991706.31,1068000.0
2022-01-02,14,PT1H,MC-Antioquia,997024.0,1060000.0
2022-01-02,15,PT1H,MC-Antioquia,981139.63,1032000.0
2022-01-02,16,PT1H,MC-Antioquia,962754.44,1018000.0
2022-01-02,17,PT1H,MC-Antioquia,954748.44,1002000.0
2022-01-02,18,PT1H,MC-Antioquia,966429.19,1014000.0
2022-01-02,19,PT1H,MC-Antioquia,1065395.63,1123000.0
2022-01-02,20,PT1H,MC-Antioquia,1072591.13,1127000.0
2022-01-02,21,PT1H,MC-Antioquia,1029843.25,1092000.0
2022-01-02,22,PT1H,MC-Antioquia,975208.31,1039000.0
2022-01-02,23,PT1H,MC-Antioquia,917060.31,972000.0
2022-01-02,24,PT1H,MC-Antioquia,842717.44,901000.0
2022-01-03,1,PT1H,MC-Antioquia,782240.69,872000.0
2022-01-03,2,PT1H,MC-Antioquia,742947.56,837000.0
2022-01-03,3,PT1H,MC-Antioquia,726975.69,814000.0
2022-01-03,4,PT1H,MC-Antioquia,725880.5,814000.0
2022-01-03,5,PT1H,MC-Antioquia,766799.25,857000.0
2022-01-03,6,PT1H,MC-Antioquia,835375.56,933000.0
2022-01-03,7,PT1H,MC-Antioquia,900779.44,1007000.0
2022-01-03,8,PT1H,MC-Antioquia,993209.69,1116000.0
2022-01-03,9,PT1H,MC-Antioquia,1077959.25,1203000.0
2022-01-03,10,PT1H,MC-Antioquia,1133782.63,1252000.0
2022-01-03,11,PT1H,MC-Antioquia,1201617.63,1309000.0
2022-01-03,12,PT1H,MC-Antioquia,1253764.13,1358000.0
2022-01-03,13,PT1H,MC-Antioquia,1286492.38,1374000.0
2022-01-03,14,PT1H,MC-Antioquia,1274884.63,1353000.0
2022-01-03,15,PT1H,MC-Antioquia,1272119.75,1345000.0
2022-01-03,16,PT1H,MC-Antioquia,1264247.5,1342000.0
2022-01-03,17,PT1H,MC-Antioquia,1234232.13,1316000.0
2022-01-03,18,PT1H,MC-Antioquia,1194162.75,1286000.0
2022-01-03,19,PT1H,MC-Antioquia,1278338.63,1359000.0
2022-01-03,20,PT1H,MC-Antioquia,1289310.88,1343000.0
2022-01-03,21,PT1H,MC-Antioquia,1227056.0,1280000.0
2022-01-03,22,PT1H,MC-Antioquia,1127695.0,1190000.0
2022-01-03,23,PT1H,MC-Antioquia,1025443.38,1069000.0
2022-01-03,24,PT1H,MC-Antioquia,930983.31,968000.0
2022-01-04,1,PT1H,MC-Antioquia,865070.44,891000.0
2022-01-04,2,PT1H,MC-Antioquia,828320.88,848000.0
2022-01-04,3,PT1H,MC-Antioquia,805769.19,828000.0
2022-01-04,4,PT1H,MC-Antioquia,805636.06,827000.0
2022-01-04,5,PT1H,MC-Antioquia,849870.19,874000.0
2022-01-04,6,PT1H,MC-Antioquia,910960.25,944000.0
2022-01-04,7,PT1H,MC-Antioquia,964212.38,1022000.0
2022-01-04,8,PT1H,MC-Antioquia,1054422.75,1120000.0
2022-01-04,9,PT1H,MC-Antioquia,1134293.63,1200000.0
2022-01-04,10,PT1H,MC-Antioquia,1191379.63,1243000.0
2022-01-04,11,PT1H,MC-Antioquia,1244054.25,1299000.0
2022-01-04,12,PT1H,MC-Antioquia,1295308.75,1347000.0
2022-01-04,13,PT1H,MC-Antioquia,1323848.5,1363000.0
2022-01-04,14,PT1H,MC-Antioquia,1304274.38,1338000.0
2022-01-04,15,PT1H,MC-Antioquia,1306583.63,1333000.0
2022-01-04,16,PT1H,MC-Antioquia,1303155.0,1333000.0
2022-01-04,17,PT1H,MC-Antioquia,1285466.13,1308000.0
2022-01-04,18,PT1H,MC-Antioquia,1250267.25,1280000.0
2022-01-04,19,PT1H,MC-Antioquia,1334463.75,1362000.0
2022-01-04,20,PT1H,MC-Antioquia,1340828.25,1349000.0
2022-01-04,21,PT1H,MC-Antioquia,1272739.88,1285000.0
2022-01-04,22,PT1H,MC-Antioquia,1179290.5,1196000.0
2022-01-04,23,PT1H,MC-Antioquia,1069245.38,1081000.0
2022-01-04,24,PT1H,MC-Antioquia,970952.81,978000.0
2022-01-05,1,PT1H,MC-Antioquia,902278.75,914000.0
2022-01-05,2,PT1H,MC-Antioquia,858732.06,871000.0
2022-01-05,3,PT1H,MC-Antioquia,839586.94,850000.0
2022-01-05,4,PT1H,MC-Antioquia,838431.13,853000.0
2022-01-05,5,PT1H,MC-Antioquia,875553.25,901000.0
2022-01-05,6,PT1H,MC-Antioquia,934407.0,979000.0
2022-01-05,7,PT1H,MC-Antioquia,989079.63,1058000.0
2022-01-05,8,PT1H,MC-Antioquia,1081088.88,1163000.0
2022-01-05,9,PT1H,MC-Antioquia,1159080.38,1243000.0
2022-01-05,10,PT1H,MC-Antioquia,1208730.75,1289000.0
2022-01-05,11,PT1H,MC-Antioquia,1272537.38,1347000.0
2022-01-05,12,PT1H,MC-Antioquia,1330118.25,1398000.0
2022-01-05,13,PT1H,MC-Antioquia,1356019.5,1411000.0
2022-01-05,14,PT1H,MC-Antioquia,1337206.0,1385000.0
2022-01-05,15,PT1H,MC-Antioquia,1336123.13,1385000.0
2022-01-05,16,PT1H,MC-Antioquia,1336083.25,1379000.0
2022-01-05,17,PT1H,MC-Antioquia,1311521.63,1348000.0
2022-01-05,18,PT1H,MC-Antioquia,1279305.5,1312000.0
2022-01-05,19,PT1H,MC-Antioquia,1359304.38,1401000.0
2022-01-05,20,PT1H,MC-Antioquia,1350412.25,1390000.0
2022-01-05,21,PT1H,MC-Antioquia,1283161.38,1335000.0
2022-01-05,22,PT1H,MC-Antioquia,1186995.75,1246000.0
2022-01-05,23,PT1H,MC-Antioquia,1079400.63,1126000.0
2022-01-05,24,PT1H,MC-Antioquia,980182.25,1018000.0
2022-01-06,1,PT1H,MC-Antioquia,908915.38,892800.0
2022-01-06,2,PT1H,MC-Antioquia,869750.75,848640.0
2022-01-06,3,PT1H,MC-Antioquia,850449.69,828480.0
2022-01-06,4,PT1H,MC-Antioquia,840835.31,827520.0
2022-01-06,5,PT1H,MC-Antioquia,878224.25,870720.0
2022-01-06,6,PT1H,MC-Antioquia,945135.38,942720.0
2022-01-06,7,PT1H,MC-Antioquia,1012941.13,1018560.0
2022-01-06,8,PT1H,MC-Antioquia,1092684.5,1110720.0
2022-01-06,9,PT1H,MC-Antioquia,1167971.0,1188480.0
2022-01-06,10,PT1H,MC-Antioquia,1214352.5,1235520.0
2022-01-06,11,PT1H,MC-Antioquia,1274023.25,1287360.0
2022-01-06,12,PT1H,MC-Antioquia,1328430.13,1326720.0
2022-01-06,13,PT1H,MC-Antioquia,1351218.25,1334400.0
2022-01-06,14,PT1H,MC-Antioquia,1340193.0,1306560.0
2022-01-06,15,PT1H,MC-Antioquia,1331281.38,1301760.0
2022-01-06,16,PT1H,MC-Antioquia,1316465.38,1303680.0
2022-01-06,17,PT1H,MC-Antioquia,1281592.75,1272960.0
2022-01-06,18,PT1H,MC-Antioquia,1256054.75,1231680.0
2022-01-06,19,PT1H,MC-Antioquia,1334144.0,1313280.0
2022-01-06,20,PT1H,MC-Antioquia,1318550.25,1299840.0
2022-01-06,21,PT1H,MC-Antioquia,1243287.63,1246080.0
2022-01-06,22,PT1H,MC-Antioquia,1134536.63,1165440.0
2022-01-06,23,PT1H,MC-Antioquia,1024737.56,1056960.0
2022-01-06,24,PT1H,MC-Antioquia,926963.81,955200.0
2022-01-07,1,PT1H,MC-Antioquia,901685.94,924705.63
2022-01-07,2,PT1H,MC-Antioquia,869835.81,874108.81
2022-01-07,3,PT1H,MC-Antioquia,854697.63,863066.88
2022-01-07,4,PT1H,MC-Antioquia,849015.69,846605.75
2022-01-07,5,PT1H,MC-Antioquia,883796.5,888140.13
2022-01-07,6,PT1H,MC-Antioquia,941071.0,969546.25
2022-01-07,7,PT1H,MC-Antioquia,1012601.19,1037681.25
2022-01-07,8,PT1H,MC-Antioquia,1089008.88,1153689.63
2022-01-07,9,PT1H,MC-Antioquia,1164769.63,1214904.88
2022-01-07,10,PT1H,MC-Antioquia,1223158.0,1266297.63
2022-01-07,11,PT1H,MC-Antioquia,1272570.25,1301937.63
2022-01-07,12,PT1H,MC-Antioquia,1327842.75,1358400.0
2022-01-07,13,PT1H,MC-Antioquia,1354819.5,1384343.0
2022-01-07,14,PT1H,MC-Antioquia,1333913.88,1352816.63
2022-01-07,15,PT1H,MC-Antioquia,1323185.75,1337577.63
2022-01-07,16,PT1H,MC-Antioquia,1309877.13,1340597.75
2022-01-07,17,PT1H,MC-Antioquia,1287592.5,1327795.13
2022-01-07,18,PT1H,MC-Antioquia,1260284.38,1293152.63
2022-01-07,19,PT1H,MC-Antioquia,1336984.5,1348611.88
2022-01-07,20,PT1H,MC-Antioquia,1329449.75,1317476.25
2022-01-07,21,PT1H,MC-Antioquia,1261830.63,1253525.75
2022-01-07,22,PT1H,MC-Antioquia,1164438.63,1192281.63
2022-01-07,23,PT1H,MC-Antioquia,1060211.38,1067411.5
2022-01-07,24,PT1H,MC-Antioquia,968521.44,967691.5
2022-01-08,1,PT1H,MC-Antioquia,866767.88,860390.0
2022-01-08,2,PT1H,MC-Antioquia,813051.56,818680.0
2022-01-08,3,PT1H,MC-Antioquia,785368.5,793460.0
2022-01-08,4,PT1H,MC-Antioquia,789176.38,790550.0
2022-01-08,5,PT1H,MC-Antioquia,816085.38,822560.0
2022-01-08,6,PT1H,MC-Antioquia,864329.25,868150.0
2022-01-08,7,PT1H,MC-Antioquia,920138.06,935080.0
2022-01-08,8,PT1H,MC-Antioquia,1002076.75,1030140.0
2022-01-08,9,PT1H,MC-Antioquia,1079438.0,1111620.0
2022-01-08,10,PT1H,MC-Antioquia,1128477.0,1161090.0
2022-01-08,11,PT1H,MC-Antioquia,1194659.88,1214440.0
2022-01-08,12,PT1H,MC-Antioquia,1243815.5,1254210.0
2022-01-08,13,PT1H,MC-Antioquia,1254149.75,1254210.0
2022-01-08,14,PT1H,MC-Antioquia,1219204.0,1216380.0
2022-01-08,15,PT1H,MC-Antioquia,1180803.0,1180490.0
2022-01-08,16,PT1H,MC-Antioquia,1157141.5,1153330.0
2022-01-08,17,PT1H,MC-Antioquia,1148452.38,1130050.0
2022-01-08,18,PT1H,MC-Antioquia,1144848.13,1143630.0
2022-01-08,19,PT1H,MC-Antioquia,1226571.63,1218320.0
2022-01-08,20,PT1H,MC-Antioquia,1225899.25,1191160.0
2022-01-08,21,PT1H,MC-Antioquia,1168432.5,1130050.0
2022-01-08,22,PT1H,MC-Antioquia,1073946.0,1029170.06
2022-01-08,23,PT1H,MC-Antioquia,975783.06,926350.0
2022-01-08,24,PT1H,MC-Antioquia,896259.25,840990.0
2022-01-09,1,PT1H,MC-Antioquia,830324.13,802000.0
2022-01-09,2,PT1H,MC-Antioquia,787637.75,758000.0
2022-01-09,3,PT1H,MC-Antioquia,760756.13,728000.0
2022-01-09,4,PT1H,MC-Antioquia,751825.63,714000.0
2022-01-09,5,PT1H,MC-Antioquia,754816.38,720000.0
2022-01-09,6,PT1H,MC-Antioquia,772209.44,730000.0
2022-01-09,7,PT1H,MC-Antioquia,777737.31,739000.0
2022-01-09,8,PT1H,MC-Antioquia,820417.19,807000.0
2022-01-09,9,PT1H,MC-Antioquia,887495.63,881000.0
