Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-Caqueta,32853.41,28448.87
2022-01-01,2,PT1H,MC-Caqueta,31748.67,27087.9
2022-01-01,3,PT1H,MC-Caqueta,30458.13,25961.47
2022-01-01,4,PT1H,MC-Caqueta,29321.07,25498.08
2022-01-01,5,PT1H,MC-Caqueta,28343.57,25178.31
2022-01-01,6,PT1H,MC-Caqueta,27521.58,25643.17
2022-01-01,7,PT1H,MC-Caqueta,25578.69,25848.09
2022-01-01,8,PT1H,MC-Caqueta,26380.48,28921.34
2022-01-01,9,PT1H,MC-Caqueta,28513.22,32917.39
2022-01-01,10,PT1H,MC-Caqueta,30817.62,36260.23
2022-01-01,11,PT1H,MC-Caqueta,32574.7,38927.2
2022-01-01,12,PT1H,MC-Caqueta,33849.09,41016.55
2022-01-01,13,PT1H,MC-Caqueta,34495.38,40485.34
2022-01-01,14,PT1H,MC-Caqueta,34517.59,39485.91
2022-01-01,15,PT1H,MC-Caqueta,34168.2,38274.42
2022-01-01,16,PT1H,MC-Caqueta,34073.27,37990.34
2022-01-01,17,PT1H,MC-Caqueta,33899.59,37583.0
2022-01-01,18,PT1H,MC-Caqueta,34259.08,37587.0
2022-01-01,19,PT1H,MC-Caqueta,38556.87,40110.56
2022-01-01,20,PT1H,MC-Caqueta,40202.87,40784.96
2022-01-01,21,PT1H,MC-Caqueta,38932.52,39124.98
2022-01-01,22,PT1H,MC-Caqueta,36822.0,36335.19
2022-01-01,23,PT1H,MC-Caqueta,34339.87,33168.71
2022-01-01,24,PT1H,MC-Caqueta,31863.79,30124.44
2022-01-02,1,PT1H,MC-Caqueta,30175.38,29202.3
2022-01-02,2,PT1H,MC-Caqueta,28864.63,27694.8
2022-01-02,3,PT1H,MC-Caqueta,27467.05,26675.35
2022-01-02,4,PT1H,MC-Caqueta,27048.98,26035.11
2022-01-02,5,PT1H,MC-Caqueta,26943.96,25865.15
2022-01-02,6,PT1H,MC-Caqueta,26970.22,26286.0
2022-01-02,7,PT1H,MC-Caqueta,26237.09,27244.99
2022-01-02,8,PT1H,MC-Caqueta,28533.41,29714.46
2022-01-02,9,PT1H,MC-Caqueta,31171.06,32236.84
2022-01-02,10,PT1H,MC-Caqueta,33364.38,33975.96
2022-01-02,11,PT1H,MC-Caqueta,35890.95,35750.79
2022-01-02,12,PT1H,MC-Caqueta,37635.91,37312.89
2022-01-02,13,PT1H,MC-Caqueta,38072.15,37635.39
2022-01-02,14,PT1H,MC-Caqueta,36906.82,36819.18
2022-01-02,15,PT1H,MC-Caqueta,33085.67,36309.0
2022-01-02,16,PT1H,MC-Caqueta,35682.92,36512.51
2022-01-02,17,PT1H,MC-Caqueta,36040.4,36562.2
2022-01-02,18,PT1H,MC-Caqueta,36306.99,37135.05
2022-01-02,19,PT1H,MC-Caqueta,40346.26,40501.35
2022-01-02,20,PT1H,MC-Caqueta,42693.08,42343.05
2022-01-02,21,PT1H,MC-Caqueta,41717.6,41710.64
2022-01-02,22,PT1H,MC-Caqueta,39203.15,39528.88
2022-01-02,23,PT1H,MC-Caqueta,36044.44,35718.8
2022-01-02,24,PT1H,MC-Caqueta,32958.44,32497.19
2022-01-03,1,PT1H,MC-Caqueta,30855.99,29835.12
2022-01-03,2,PT1H,MC-Caqueta,29482.64,28271.04
2022-01-03,3,PT1H,MC-Caqueta,28337.51,27286.47
2022-01-03,4,PT1H,MC-Caqueta,27594.28,26480.91
2022-01-03,5,PT1H,MC-Caqueta,27273.16,26401.2
2022-01-03,6,PT1H,MC-Caqueta,27539.75,27044.08
2022-01-03,7,PT1H,MC-Caqueta,27339.81,27647.11
2022-01-03,8,PT1H,MC-Caqueta,30965.05,31911.41
