Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-Cartago,15801.01,18035.71
2022-01-01,2,PT1H,MC-Cartago,15097.74,16184.9
2022-01-01,3,PT1H,MC-Cartago,14479.57,15370.85
2022-01-01,4,PT1H,MC-Cartago,13887.06,14732.93
2022-01-01,5,PT1H,MC-Cartago,13520.69,14335.01
2022-01-01,6,PT1H,MC-Cartago,13369.61,13933.21
2022-01-01,7,PT1H,MC-Cartago,12402.2,12229.64
2022-01-01,8,PT1H,MC-Cartago,12576.05,12353.89
2022-01-01,9,PT1H,MC-Cartago,13223.02,13066.91
2022-01-01,10,PT1H,MC-Cartago,14227.62,14004.82
2022-01-01,11,PT1H,MC-Cartago,15451.28,14756.93
2022-01-01,12,PT1H,MC-Cartago,16338.2,15942.58
2022-01-01,13,PT1H,MC-Cartago,16972.34,16709.02
2022-01-01,14,PT1H,MC-Cartago,17317.15,16986.55
2022-01-01,15,PT1H,MC-Cartago,17343.11,16561.54
2022-01-01,16,PT1H,MC-Cartago,17386.7,16703.21
2022-01-01,17,PT1H,MC-Cartago,17513.66,16691.21
2022-01-01,18,PT1H,MC-Cartago,17598.05,16848.75
2022-01-01,19,PT1H,MC-Cartago,19033.28,19573.07
2022-01-01,20,PT1H,MC-Cartago,19364.9,20524.15
2022-01-01,21,PT1H,MC-Cartago,19312.11,20103.0
2022-01-01,22,PT1H,MC-Cartago,18461.28,19046.25
2022-01-01,23,PT1H,MC-Cartago,17330.18,17493.25
2022-01-01,24,PT1H,MC-Cartago,16107.78,15895.74
2022-01-02,1,PT1H,MC-Cartago,14616.63,14265.2
2022-01-02,2,PT1H,MC-Cartago,13800.34,14064.93
2022-01-02,3,PT1H,MC-Cartago,13229.67,14865.19
2022-01-02,4,PT1H,MC-Cartago,12954.09,14376.76
2022-01-02,5,PT1H,MC-Cartago,12892.49,13246.2
2022-01-02,6,PT1H,MC-Cartago,13035.45,12136.0
2022-01-02,7,PT1H,MC-Cartago,12916.29,10919.89
2022-01-02,8,PT1H,MC-Cartago,14269.4,12445.49
2022-01-02,9,PT1H,MC-Cartago,15744.06,14596.5
2022-01-02,10,PT1H,MC-Cartago,17573.44,16597.07
2022-01-02,11,PT1H,MC-Cartago,18765.62,17506.84
2022-01-02,12,PT1H,MC-Cartago,19796.32,19056.61
2022-01-02,13,PT1H,MC-Cartago,20296.49,20360.94
2022-01-02,14,PT1H,MC-Cartago,20425.03,19818.7
2022-01-02,15,PT1H,MC-Cartago,20457.26,19546.89
2022-01-02,16,PT1H,MC-Cartago,20397.5,19853.83
2022-01-02,17,PT1H,MC-Cartago,20447.58,19230.51
2022-01-02,18,PT1H,MC-Cartago,20698.79,19541.97
2022-01-02,19,PT1H,MC-Cartago,22441.18,21736.17
2022-01-02,20,PT1H,MC-Cartago,23000.98,22392.46
2022-01-02,21,PT1H,MC-Cartago,22724.41,22355.19
2022-01-02,22,PT1H,MC-Cartago,22045.73,21050.44
2022-01-02,23,PT1H,MC-Cartago,19844.06,20268.36
2022-01-02,24,PT1H,MC-Cartago,19027.71,18883.27
2022-01-03,1,PT1H,MC-Cartago,17877.58,18088.56
2022-01-03,2,PT1H,MC-Cartago,17274.18,17332.42
2022-01-03,3,PT1H,MC-Cartago,17214.02,16597.96
2022-01-03,4,PT1H,MC-Cartago,16920.64,16193.75
2022-01-03,5,PT1H,MC-Cartago,16863.79,16538.46
2022-01-03,6,PT1H,MC-Cartago,17683.04,17226.22
2022-01-03,7,PT1H,MC-Cartago,18711.31,17271.26
2022-01-03,8,PT1H,MC-Cartago,21140.46,19901.09
2022-01-03,9,PT1H,MC-Cartago,21909.14,21905.43
2022-01-03,10,PT1H,MC-Cartago,23519.8,23956.48
2022-01-03,11,PT1H,MC-Cartago,25270.85,25807.37
2022-01-03,12,PT1H,MC-Cartago,27111.09,27167.31
2022-01-03,13,PT1H,MC-Cartago,25454.72,25863.52
2022-01-03,14,PT1H,MC-Cartago,26787.51,26179.32
2022-01-03,15,PT1H,MC-Cartago,28032.99,27225.7
2022-01-03,16,PT1H,MC-Cartago,28602.66,27335.78
2022-01-03,17,PT1H,MC-Cartago,27807.17,27172.32
2022-01-03,18,PT1H,MC-Cartago,27102.72,26659.7
2022-01-03,19,PT1H,MC-Cartago,26882.02,28144.74
2022-01-03,20,PT1H,MC-Cartago,27304.31,29476.89
2022-01-03,21,PT1H,MC-Cartago,26033.41,28061.35
2022-01-03,22,PT1H,MC-Cartago,24751.29,26692.5
2022-01-03,23,PT1H,MC-Cartago,22009.24,23943.69
2022-01-03,24,PT1H,MC-Cartago,20274.69,21242.69
2022-01-04,1,PT1H,MC-Cartago,18096.28,18619.91
2022-01-04,2,PT1H,MC-Cartago,17235.56,17718.27
2022-01-04,3,PT1H,MC-Cartago,16637.74,17353.76
2022-01-04,4,PT1H,MC-Cartago,16631.55,17194.71
2022-01-04,5,PT1H,MC-Cartago,16990.08,17237.72
2022-01-04,6,PT1H,MC-Cartago,17554.93,17815.05
2022-01-04,7,PT1H,MC-Cartago,18712.83,18430.3
2022-01-04,8,PT1H,MC-Cartago,21211.02,20936.58
2022-01-04,9,PT1H,MC-Cartago,22705.35,22925.52
2022-01-04,10,PT1H,MC-Cartago,24647.96,24837.49
2022-01-04,11,PT1H,MC-Cartago,26946.17,26836.06
2022-01-04,12,PT1H,MC-Cartago,28325.77,27919.96
2022-01-04,13,PT1H,MC-Cartago,27016.72,26421.36
2022-01-04,14,PT1H,MC-Cartago,27635.94,27145.67
2022-01-04,15,PT1H,MC-Cartago,27940.46,28207.5
2022-01-04,16,PT1H,MC-Cartago,27608.0,28269.76
2022-01-04,17,PT1H,MC-Cartago,27280.25,28247.12
2022-01-04,18,PT1H,MC-Cartago,26697.48,27008.69
2022-01-04,19,PT1H,MC-Cartago,26897.85,27516.97
2022-01-04,20,PT1H,MC-Cartago,27015.14,28037.13
2022-01-04,21,PT1H,MC-Cartago,25423.89,26977.0
2022-01-04,22,PT1H,MC-Cartago,24224.31,25875.55
2022-01-04,23,PT1H,MC-Cartago,21797.19,23360.78
2022-01-04,24,PT1H,MC-Cartago,20169.86,21006.76
2022-01-05,1,PT1H,MC-Cartago,18512.29,18998.86
2022-01-05,2,PT1H,MC-Cartago,17906.32,18326.93
2022-01-05,3,PT1H,MC-Cartago,16959.26,17619.61
2022-01-05,4,PT1H,MC-Cartago,17122.84,17609.34
2022-01-05,5,PT1H,MC-Cartago,18057.85,17581.94
2022-01-05,6,PT1H,MC-Cartago,18602.47,18251.01
2022-01-05,7,PT1H,MC-Cartago,19228.01,18194.86
2022-01-05,8,PT1H,MC-Cartago,21717.43,20849.08
2022-01-05,9,PT1H,MC-Cartago,22458.8,22713.57
2022-01-05,10,PT1H,MC-Cartago,24459.0,24505.84
2022-01-05,11,PT1H,MC-Cartago,26202.33,26787.36
2022-01-05,12,PT1H,MC-Cartago,27301.06,27984.5
2022-01-05,13,PT1H,MC-Cartago,25901.75,26633.8
2022-01-05,14,PT1H,MC-Cartago,27273.9,27304.01
2022-01-05,15,PT1H,MC-Cartago,28120.42,28072.41
2022-01-05,16,PT1H,MC-Cartago,27997.61,28535.39
2022-01-05,17,PT1H,MC-Cartago,28486.16,28197.43
2022-01-05,18,PT1H,MC-Cartago,27579.89,27077.94
2022-01-05,19,PT1H,MC-Cartago,28076.28,27679.08
2022-01-05,20,PT1H,MC-Cartago,28449.18,28057.0
2022-01-05,21,PT1H,MC-Cartago,27146.32,27293.73
2022-01-05,22,PT1H,MC-Cartago,25294.95,26152.55
2022-01-05,23,PT1H,MC-Cartago,22836.11,23865.6
2022-01-05,24,PT1H,MC-Cartago,19696.06,21480.47
2022-01-06,1,PT1H,MC-Cartago,18864.37,19347.46
2022-01-06,2,PT1H,MC-Cartago,18155.34,18232.89
2022-01-06,3,PT1H,MC-Cartago,17405.68,17430.97
2022-01-06,4,PT1H,MC-Cartago,16848.67,17711.58
2022-01-06,5,PT1H,MC-Cartago,17619.77,17930.55
2022-01-06,6,PT1H,MC-Cartago,18776.45,18460.51
2022-01-06,7,PT1H,MC-Cartago,19640.51,19113.35
2022-01-06,8,PT1H,MC-Cartago,22130.97,21395.65
2022-01-06,9,PT1H,MC-Cartago,23595.42,23329.7
2022-01-06,10,PT1H,MC-Cartago,25683.01,25443.7
2022-01-06,11,PT1H,MC-Cartago,26482.76,27233.9
2022-01-06,12,PT1H,MC-Cartago,27565.32,28492.4
2022-01-06,13,PT1H,MC-Cartago,25621.01,27187.89
2022-01-06,14,PT1H,MC-Cartago,25927.44,28046.89
2022-01-06,15,PT1H,MC-Cartago,27482.96,29477.77
2022-01-06,16,PT1H,MC-Cartago,27178.58,30010.05
2022-01-06,17,PT1H,MC-Cartago,26747.83,29594.82
2022-01-06,18,PT1H,MC-Cartago,26149.29,28066.69
2022-01-06,19,PT1H,MC-Cartago,26898.03,28028.25
2022-01-06,20,PT1H,MC-Cartago,26669.86,28544.81
2022-01-06,21,PT1H,MC-Cartago,25278.39,27523.34
2022-01-06,22,PT1H,MC-Cartago,23568.52,26097.12
2022-01-06,23,PT1H,MC-Cartago,20583.21,23308.9
2022-01-06,24,PT1H,MC-Cartago,18548.85,21452.14
2022-01-07,1,PT1H,MC-Cartago,16905.23,19117.76
2022-01-07,2,PT1H,MC-Cartago,16566.79,18142.84
2022-01-07,3,PT1H,MC-Cartago,15688.62,17730.37
2022-01-07,4,PT1H,MC-Cartago,15727.28,17612.2
2022-01-07,5,PT1H,MC-Cartago,16542.7,17745.14
2022-01-07,6,PT1H,MC-Cartago,17665.29,18305.89
2022-01-07,7,PT1H,MC-Cartago,18445.26,18795.62
2022-01-07,8,PT1H,MC-Cartago,21328.18,20971.58
2022-01-07,9,PT1H,MC-Cartago,23011.3,22578.84
2022-01-07,10,PT1H,MC-Cartago,24481.69,24348.58
2022-01-07,11,PT1H,MC-Cartago,25503.68,26495.56
2022-01-07,12,PT1H,MC-Cartago,26337.92,27963.05
