Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-Cauca,97421.21,85913.83
2022-01-01,2,PT1H,MC-Cauca,92227.25,81990.57
2022-01-01,3,PT1H,MC-Cauca,86745.3,77981.41
2022-01-01,4,PT1H,MC-Cauca,80678.84,73906.09
2022-01-01,5,PT1H,MC-Cauca,77316.13,71601.88
2022-01-01,6,PT1H,MC-Cauca,76244.66,69793.85
2022-01-01,7,PT1H,MC-Cauca,69565.15,68229.11
2022-01-01,8,PT1H,MC-Cauca,72682.13,72349.32
2022-01-01,9,PT1H,MC-Cauca,73927.27,73808.58
2022-01-01,10,PT1H,MC-Cauca,81107.59,79643.22
2022-01-01,11,PT1H,MC-Cauca,81875.61,83115.75
2022-01-01,12,PT1H,MC-Cauca,86140.64,85687.2
2022-01-01,13,PT1H,MC-Cauca,90004.12,85800.45
2022-01-01,14,PT1H,MC-Cauca,88579.44,84733.43
2022-01-01,15,PT1H,MC-Cauca,87051.2,82464.13
2022-01-01,16,PT1H,MC-Cauca,86487.07,82622.09
2022-01-01,17,PT1H,MC-Cauca,89229.04,84714.56
2022-01-01,18,PT1H,MC-Cauca,92074.8,88708.59
2022-01-01,19,PT1H,MC-Cauca,107679.27,106497.56
2022-01-01,20,PT1H,MC-Cauca,114545.8,118946.4
2022-01-01,21,PT1H,MC-Cauca,108375.42,111757.74
2022-01-01,22,PT1H,MC-Cauca,99751.48,100992.26
2022-01-01,23,PT1H,MC-Cauca,91744.25,88206.27
2022-01-01,24,PT1H,MC-Cauca,85184.31,79724.96
2022-01-02,1,PT1H,MC-Cauca,78518.61,87441.84
2022-01-02,2,PT1H,MC-Cauca,74146.0,83985.88
2022-01-02,3,PT1H,MC-Cauca,72069.86,81660.98
2022-01-02,4,PT1H,MC-Cauca,70887.14,79751.96
2022-01-02,5,PT1H,MC-Cauca,70876.8,79713.35
2022-01-02,6,PT1H,MC-Cauca,72947.1,80021.52
2022-01-02,7,PT1H,MC-Cauca,73884.88,81833.49
2022-01-02,8,PT1H,MC-Cauca,81175.02,89276.71
2022-01-02,9,PT1H,MC-Cauca,88755.78,94327.2
2022-01-02,10,PT1H,MC-Cauca,92319.16,96346.78
2022-01-02,11,PT1H,MC-Cauca,92975.09,97796.58
2022-01-02,12,PT1H,MC-Cauca,96583.18,100624.08
2022-01-02,13,PT1H,MC-Cauca,96632.95,100764.8
2022-01-02,14,PT1H,MC-Cauca,93361.92,98535.98
2022-01-02,15,PT1H,MC-Cauca,92324.87,97070.71
2022-01-02,16,PT1H,MC-Cauca,94046.3,96059.94
2022-01-02,17,PT1H,MC-Cauca,95892.45,98243.32
2022-01-02,18,PT1H,MC-Cauca,96730.62,101804.01
2022-01-02,19,PT1H,MC-Cauca,115943.42,120449.97
2022-01-02,20,PT1H,MC-Cauca,119879.91,126022.51
2022-01-02,21,PT1H,MC-Cauca,115071.22,119808.09
2022-01-02,22,PT1H,MC-Cauca,105691.0,109572.87
2022-01-02,23,PT1H,MC-Cauca,97139.69,98663.35
2022-01-02,24,PT1H,MC-Cauca,89440.14,89872.85
2022-01-03,1,PT1H,MC-Cauca,81486.2,85323.48
2022-01-03,2,PT1H,MC-Cauca,78039.03,82860.05
2022-01-03,3,PT1H,MC-Cauca,77476.8,80934.56
2022-01-03,4,PT1H,MC-Cauca,76324.46,81497.63
2022-01-03,5,PT1H,MC-Cauca,78001.48,84746.57
2022-01-03,6,PT1H,MC-Cauca,84183.52,93859.41
2022-01-03,7,PT1H,MC-Cauca,88739.09,101786.83
2022-01-03,8,PT1H,MC-Cauca,94911.66,107328.59
2022-01-03,9,PT1H,MC-Cauca,100333.8,111129.48
2022-01-03,10,PT1H,MC-Cauca,104496.0,113457.93
2022-01-03,11,PT1H,MC-Cauca,108885.65,117587.66
2022-01-03,12,PT1H,MC-Cauca,113800.62,121525.59
2022-01-03,13,PT1H,MC-Cauca,115123.97,119512.0
2022-01-03,14,PT1H,MC-Cauca,111452.28,118430.25
2022-01-03,15,PT1H,MC-Cauca,107175.18,119114.81
2022-01-03,16,PT1H,MC-Cauca,108151.06,121455.43
2022-01-03,17,PT1H,MC-Cauca,114442.27,123958.6
2022-01-03,18,PT1H,MC-Cauca,122973.14,124981.15
2022-01-03,19,PT1H,MC-Cauca,139606.31,142398.75
2022-01-03,20,PT1H,MC-Cauca,144878.44,147037.8
2022-01-03,21,PT1H,MC-Cauca,136576.14,138171.98
2022-01-03,22,PT1H,MC-Cauca,124724.13,124527.17
2022-01-03,23,PT1H,MC-Cauca,108970.66,110448.2
2022-01-03,24,PT1H,MC-Cauca,98816.2,98820.53
2022-01-04,1,PT1H,MC-Cauca,90668.79,92633.05
2022-01-04,2,PT1H,MC-Cauca,88027.88,90145.28
2022-01-04,3,PT1H,MC-Cauca,87194.06,88699.75
2022-01-04,4,PT1H,MC-Cauca,85843.89,88809.67
2022-01-04,5,PT1H,MC-Cauca,90607.52,93555.89
2022-01-04,6,PT1H,MC-Cauca,96961.06,103298.32
2022-01-04,7,PT1H,MC-Cauca,101417.91,109129.45
2022-01-04,8,PT1H,MC-Cauca,108498.07,113847.47
2022-01-04,9,PT1H,MC-Cauca,112746.07,115575.52
2022-01-04,10,PT1H,MC-Cauca,114581.53,116846.31
2022-01-04,11,PT1H,MC-Cauca,117500.59,120594.7
2022-01-04,12,PT1H,MC-Cauca,120351.64,123252.12
2022-01-04,13,PT1H,MC-Cauca,119584.2,121165.6
2022-01-04,14,PT1H,MC-Cauca,118478.95,120012.2
2022-01-04,15,PT1H,MC-Cauca,118768.56,120424.65
2022-01-04,16,PT1H,MC-Cauca,123292.41,123142.85
2022-01-04,17,PT1H,MC-Cauca,124246.2,125807.55
