Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-Cerromatoso,153779.63,148795.25
2022-01-01,2,PT1H,MC-Cerromatoso,157404.03,148795.25
2022-01-01,3,PT1H,MC-Cerromatoso,157607.69,148795.25
2022-01-01,4,PT1H,MC-Cerromatoso,157684.0,148795.25
2022-01-01,5,PT1H,MC-Cerromatoso,154904.8,148795.25
2022-01-01,6,PT1H,MC-Cerromatoso,161515.98,148795.25
2022-01-01,7,PT1H,MC-Cerromatoso,161564.89,148795.25
2022-01-01,8,PT1H,MC-Cerromatoso,156713.48,148795.25
2022-01-01,9,PT1H,MC-Cerromatoso,159673.06,148795.25
2022-01-01,10,PT1H,MC-Cerromatoso,160606.42,148795.25
2022-01-01,11,PT1H,MC-Cerromatoso,147106.44,148795.25
2022-01-01,12,PT1H,MC-Cerromatoso,149728.31,148795.25
2022-01-01,13,PT1H,MC-Cerromatoso,149333.5,148795.25
2022-01-01,14,PT1H,MC-Cerromatoso,154676.86,148795.25
2022-01-01,15,PT1H,MC-Cerromatoso,152914.69,148795.25
2022-01-01,16,PT1H,MC-Cerromatoso,151896.56,148795.25
2022-01-01,17,PT1H,MC-Cerromatoso,150289.39,148795.25
2022-01-01,18,PT1H,MC-Cerromatoso,137421.98,148795.25
2022-01-01,19,PT1H,MC-Cerromatoso,156746.91,148795.25
2022-01-01,20,PT1H,MC-Cerromatoso,158496.77,148795.25
2022-01-01,21,PT1H,MC-Cerromatoso,154457.58,148795.25
2022-01-01,22,PT1H,MC-Cerromatoso,164169.38,148795.25
2022-01-01,23,PT1H,MC-Cerromatoso,163039.36,148795.25
2022-01-01,24,PT1H,MC-Cerromatoso,163603.64,148795.25
2022-01-02,1,PT1H,MC-Cerromatoso,157777.94,148795.25
2022-01-02,2,PT1H,MC-Cerromatoso,112965.56,148795.25
2022-01-02,3,PT1H,MC-Cerromatoso,154521.98,148795.25
2022-01-02,4,PT1H,MC-Cerromatoso,157761.97,148795.25
2022-01-02,5,PT1H,MC-Cerromatoso,148450.8,148795.25
2022-01-02,6,PT1H,MC-Cerromatoso,161690.39,148795.25
2022-01-02,7,PT1H,MC-Cerromatoso,148417.17,148795.25
2022-01-02,8,PT1H,MC-Cerromatoso,154490.3,148795.25
2022-01-02,9,PT1H,MC-Cerromatoso,156899.8,148795.25
2022-01-02,10,PT1H,MC-Cerromatoso,133071.28,148795.25
2022-01-02,11,PT1H,MC-Cerromatoso,147257.34,148795.25
2022-01-02,12,PT1H,MC-Cerromatoso,144186.42,148795.25
2022-01-02,13,PT1H,MC-Cerromatoso,150546.36,148795.25
2022-01-02,14,PT1H,MC-Cerromatoso,153195.44,148795.25
2022-01-02,15,PT1H,MC-Cerromatoso,153701.72,148795.25
2022-01-02,16,PT1H,MC-Cerromatoso,153015.47,148795.25
2022-01-02,17,PT1H,MC-Cerromatoso,154068.69,148795.25
2022-01-02,18,PT1H,MC-Cerromatoso,153623.92,148795.25
2022-01-02,19,PT1H,MC-Cerromatoso,155915.28,148795.25
2022-01-02,20,PT1H,MC-Cerromatoso,151080.47,148795.25
2022-01-02,21,PT1H,MC-Cerromatoso,154701.39,148795.25
2022-01-02,22,PT1H,MC-Cerromatoso,149311.67,148795.25
2022-01-02,23,PT1H,MC-Cerromatoso,155118.73,148795.25
2022-01-02,24,PT1H,MC-Cerromatoso,152473.22,148795.25
2022-01-03,1,PT1H,MC-Cerromatoso,155063.17,148795.25
2022-01-03,2,PT1H,MC-Cerromatoso,159702.45,148795.25
2022-01-03,3,PT1H,MC-Cerromatoso,160545.97,148795.25
2022-01-03,4,PT1H,MC-Cerromatoso,155365.78,148795.25
2022-01-03,5,PT1H,MC-Cerromatoso,145623.42,148795.25
2022-01-03,6,PT1H,MC-Cerromatoso,148163.31,148795.25
2022-01-03,7,PT1H,MC-Cerromatoso,152376.2,148795.25
2022-01-03,8,PT1H,MC-Cerromatoso,154842.67,148795.25
2022-01-03,9,PT1H,MC-Cerromatoso,153358.77,148795.25
2022-01-03,10,PT1H,MC-Cerromatoso,120964.05,148795.25
2022-01-03,11,PT1H,MC-Cerromatoso,117649.98,148795.25
2022-01-03,12,PT1H,MC-Cerromatoso,136259.33,148795.25
2022-01-03,13,PT1H,MC-Cerromatoso,133529.63,148795.25
2022-01-03,14,PT1H,MC-Cerromatoso,143920.53,148795.25
2022-01-03,15,PT1H,MC-Cerromatoso,150615.72,148795.25
2022-01-03,16,PT1H,MC-Cerromatoso,146718.05,148795.25
2022-01-03,17,PT1H,MC-Cerromatoso,151705.64,148795.25
2022-01-03,18,PT1H,MC-Cerromatoso,150831.17,148795.25
2022-01-03,19,PT1H,MC-Cerromatoso,154593.92,148795.25
2022-01-03,20,PT1H,MC-Cerromatoso,148239.75,148795.25
2022-01-03,21,PT1H,MC-Cerromatoso,146154.14,148795.25
2022-01-03,22,PT1H,MC-Cerromatoso,149163.14,148795.25
2022-01-03,23,PT1H,MC-Cerromatoso,145339.42,148795.25
2022-01-03,24,PT1H,MC-Cerromatoso,147345.95,148795.25
2022-01-04,1,PT1H,MC-Cerromatoso,150837.3,148795.25
2022-01-04,2,PT1H,MC-Cerromatoso,153499.16,148795.25
2022-01-04,3,PT1H,MC-Cerromatoso,157034.0,148795.25
2022-01-04,4,PT1H,MC-Cerromatoso,155872.0,148795.25
2022-01-04,5,PT1H,MC-Cerromatoso,145367.77,148795.25
2022-01-04,6,PT1H,MC-Cerromatoso,149258.38,148795.25
2022-01-04,7,PT1H,MC-Cerromatoso,148776.92,148795.25
2022-01-04,8,PT1H,MC-Cerromatoso,155541.42,148795.25
2022-01-04,9,PT1H,MC-Cerromatoso,152776.38,148795.25
2022-01-04,10,PT1H,MC-Cerromatoso,150270.64,148795.25
2022-01-04,11,PT1H,MC-Cerromatoso,140985.42,148795.25
2022-01-04,12,PT1H,MC-Cerromatoso,159452.56,148795.25
2022-01-04,13,PT1H,MC-Cerromatoso,132649.17,148795.25
2022-01-04,14,PT1H,MC-Cerromatoso,152568.5,148795.25
2022-01-04,15,PT1H,MC-Cerromatoso,141333.47,148795.25
2022-01-04,16,PT1H,MC-Cerromatoso,138203.38,148795.25
2022-01-04,17,PT1H,MC-Cerromatoso,149651.92,148795.25
2022-01-04,18,PT1H,MC-Cerromatoso,144244.3,148795.25
2022-01-04,19,PT1H,MC-Cerromatoso,146366.94,148795.25
2022-01-04,20,PT1H,MC-Cerromatoso,149241.73,148795.25
2022-01-04,21,PT1H,MC-Cerromatoso,149702.72,148795.25
2022-01-04,22,PT1H,MC-Cerromatoso,155377.47,148795.25
2022-01-04,23,PT1H,MC-Cerromatoso,142373.39,148795.25
2022-01-04,24,PT1H,MC-Cerromatoso,134075.58,148795.25
2022-01-05,1,PT1H,MC-Cerromatoso,139255.09,148795.25
2022-01-05,2,PT1H,MC-Cerromatoso,112171.06,148795.25
2022-01-05,3,PT1H,MC-Cerromatoso,130508.53,148795.25
2022-01-05,4,PT1H,MC-Cerromatoso,128888.19,148795.25
2022-01-05,5,PT1H,MC-Cerromatoso,137829.38,148795.25
2022-01-05,6,PT1H,MC-Cerromatoso,138209.0,148795.25
2022-01-05,7,PT1H,MC-Cerromatoso,131857.22,148795.25
2022-01-05,8,PT1H,MC-Cerromatoso,79257.53,148795.25
2022-01-05,9,PT1H,MC-Cerromatoso,70512.96,148795.25
2022-01-05,10,PT1H,MC-Cerromatoso,71821.97,148795.25
2022-01-05,11,PT1H,MC-Cerromatoso,80716.97,148795.25
2022-01-05,12,PT1H,MC-Cerromatoso,81523.16,148795.25
2022-01-05,13,PT1H,MC-Cerromatoso,35413.0,148795.25
2022-01-05,14,PT1H,MC-Cerromatoso,18023.23,148795.25
2022-01-05,15,PT1H,MC-Cerromatoso,62488.77,148795.25
