Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-12-30,1,PT1H,MC-DrummondLoma,0.0,47777.82
2022-12-30,2,PT1H,MC-DrummondLoma,0.0,53750.05
2022-12-30,3,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,4,PT1H,MC-DrummondLoma,0.0,59722.27
2022-12-30,5,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,6,PT1H,MC-DrummondLoma,0.0,52555.6
2022-12-30,7,PT1H,MC-DrummondLoma,0.0,50166.71
2022-12-30,8,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,9,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,10,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,11,PT1H,MC-DrummondLoma,0.0,59722.27
2022-12-30,12,PT1H,MC-DrummondLoma,0.0,56138.93
2022-12-30,13,PT1H,MC-DrummondLoma,0.0,40611.14
2022-12-30,14,PT1H,MC-DrummondLoma,0.0,56138.93
2022-12-30,15,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,16,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,17,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,18,PT1H,MC-DrummondLoma,0.0,52555.6
2022-12-30,19,PT1H,MC-DrummondLoma,0.0,51361.15
2022-12-30,20,PT1H,MC-DrummondLoma,0.0,57333.38
2022-12-30,21,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,22,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,23,PT1H,MC-DrummondLoma,0.0,58527.83
2022-12-30,24,PT1H,MC-DrummondLoma,0.0,53750.05
2022-12-31,1,PT1H,MC-DrummondLoma,0.0,9555.56
2022-12-31,2,PT1H,MC-DrummondLoma,0.0,10750.01
2022-12-31,3,PT1H,MC-DrummondLoma,0.0,11705.57
2022-12-31,4,PT1H,MC-DrummondLoma,0.0,11944.45
2022-12-31,5,PT1H,MC-DrummondLoma,0.0,11705.57
2022-12-31,6,PT1H,MC-DrummondLoma,0.0,10511.12
2022-12-31,7,PT1H,MC-DrummondLoma,0.0,10033.34
2022-12-31,8,PT1H,MC-DrummondLoma,0.0,11705.57
2022-12-31,9,PT1H,MC-DrummondLoma,0.0,11705.57
2022-12-31,10,PT1H,MC-DrummondLoma,0.0,11705.57
2022-12-31,11,PT1H,MC-DrummondLoma,0.0,11944.45
2022-12-31,12,PT1H,MC-DrummondLoma,185.11,11227.79
2022-12-31,13,PT1H,MC-DrummondLoma,219.96,8122.23
2022-12-31,14,PT1H,MC-DrummondLoma,2638.93,11227.79
2022-12-31,15,PT1H,MC-DrummondLoma,7474.58,11705.57
2022-12-31,16,PT1H,MC-DrummondLoma,8160.55,11705.57
2022-12-31,17,PT1H,MC-DrummondLoma,8374.22,11705.57
2022-12-31,18,PT1H,MC-DrummondLoma,7514.43,10511.12
2022-12-31,19,PT1H,MC-DrummondLoma,7958.19,10272.23
2022-12-31,20,PT1H,MC-DrummondLoma,7994.97,11466.68
2022-12-31,21,PT1H,MC-DrummondLoma,9040.55,11705.57
2022-12-31,22,PT1H,MC-DrummondLoma,9542.6,11705.57
2022-12-31,23,PT1H,MC-DrummondLoma,9145.86,11705.57
2022-12-31,24,PT1H,MC-DrummondLoma,8771.08,10750.01
2023-01-01,1,PT1H,MC-DrummondLoma,8248.05,9304.83
2023-01-01,2,PT1H,MC-DrummondLoma,9150.1,10467.93
2023-01-01,3,PT1H,MC-DrummondLoma,9074.1,11398.42
2023-01-01,4,PT1H,MC-DrummondLoma,8241.19,11631.04
2023-01-01,5,PT1H,MC-DrummondLoma,7755.73,11398.42
2023-01-01,6,PT1H,MC-DrummondLoma,7688.04,10235.31
2023-01-01,7,PT1H,MC-DrummondLoma,6835.66,9770.07
2023-01-01,8,PT1H,MC-DrummondLoma,7269.31,11398.42
2023-01-01,9,PT1H,MC-DrummondLoma,7358.52,11398.42
2023-01-01,10,PT1H,MC-DrummondLoma,6422.69,11398.42
2023-01-01,11,PT1H,MC-DrummondLoma,7290.5,11631.04
2023-01-01,12,PT1H,MC-DrummondLoma,7502.73,10933.17
2023-01-01,13,PT1H,MC-DrummondLoma,9392.83,7909.11
2023-01-01,14,PT1H,MC-DrummondLoma,9784.14,10933.17
2023-01-01,15,PT1H,MC-DrummondLoma,9757.45,11398.42
2023-01-01,16,PT1H,MC-DrummondLoma,9339.25,11398.42
2023-01-01,17,PT1H,MC-DrummondLoma,9448.36,11398.42
2023-01-01,18,PT1H,MC-DrummondLoma,8600.13,10235.31
2023-01-01,19,PT1H,MC-DrummondLoma,8974.84,10002.69
2023-01-01,20,PT1H,MC-DrummondLoma,9612.51,11165.8
2023-01-01,21,PT1H,MC-DrummondLoma,8847.16,11398.42
2023-01-01,22,PT1H,MC-DrummondLoma,9130.8,11398.42
2023-01-01,23,PT1H,MC-DrummondLoma,9181.22,11398.42
2023-01-01,24,PT1H,MC-DrummondLoma,8699.61,10467.93
2023-01-02,1,PT1H,MC-DrummondLoma,8282.53,6433.75
2023-01-02,2,PT1H,MC-DrummondLoma,9375.63,6433.75
2023-01-02,3,PT1H,MC-DrummondLoma,8575.13,7926.75
2023-01-02,4,PT1H,MC-DrummondLoma,7772.85,8422.25
2023-01-02,5,PT1H,MC-DrummondLoma,8038.99,8793.5
2023-01-02,6,PT1H,MC-DrummondLoma,8791.15,8814.75
2023-01-02,7,PT1H,MC-DrummondLoma,24796.29,20226.0
