Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-Emec,506.7,655.0
2022-01-01,2,PT1H,MC-Emec,519.34,639.0
2022-01-01,3,PT1H,MC-Emec,502.02,623.0
2022-01-01,4,PT1H,MC-Emec,525.23,618.0
2022-01-01,5,PT1H,MC-Emec,450.23,579.0
2022-01-01,6,PT1H,MC-Emec,430.77,580.0
2022-01-01,7,PT1H,MC-Emec,396.7,554.0
2022-01-01,8,PT1H,MC-Emec,414.05,544.0
2022-01-01,9,PT1H,MC-Emec,437.37,564.0
2022-01-01,10,PT1H,MC-Emec,449.54,621.0
2022-01-01,11,PT1H,MC-Emec,474.67,646.0
2022-01-01,12,PT1H,MC-Emec,493.55,648.0
2022-01-01,13,PT1H,MC-Emec,484.33,684.0
2022-01-01,14,PT1H,MC-Emec,504.49,674.0
2022-01-01,15,PT1H,MC-Emec,498.68,664.0
2022-01-01,16,PT1H,MC-Emec,495.36,641.0
2022-01-01,17,PT1H,MC-Emec,489.39,652.0
2022-01-01,18,PT1H,MC-Emec,527.55,697.0
2022-01-01,19,PT1H,MC-Emec,580.3,809.0
2022-01-01,20,PT1H,MC-Emec,664.59,850.0
2022-01-01,21,PT1H,MC-Emec,497.37,830.0
2022-01-01,22,PT1H,MC-Emec,552.71,797.0
2022-01-01,23,PT1H,MC-Emec,550.45,756.0
2022-01-01,24,PT1H,MC-Emec,585.55,723.0
2022-01-02,1,PT1H,MC-Emec,473.1,694.0
2022-01-02,2,PT1H,MC-Emec,462.41,627.0
2022-01-02,3,PT1H,MC-Emec,482.21,621.0
2022-01-02,4,PT1H,MC-Emec,429.79,581.0
2022-01-02,5,PT1H,MC-Emec,426.05,580.0
2022-01-02,6,PT1H,MC-Emec,442.22,589.0
2022-01-02,7,PT1H,MC-Emec,412.08,556.0
2022-01-02,8,PT1H,MC-Emec,441.63,567.0
2022-01-02,9,PT1H,MC-Emec,447.23,635.0
2022-01-02,10,PT1H,MC-Emec,460.04,668.0
2022-01-02,11,PT1H,MC-Emec,489.66,694.0
2022-01-02,12,PT1H,MC-Emec,524.95,748.0
2022-01-02,13,PT1H,MC-Emec,530.95,692.0
2022-01-02,14,PT1H,MC-Emec,528.95,629.0
2022-01-02,15,PT1H,MC-Emec,518.95,639.0
2022-01-02,16,PT1H,MC-Emec,494.16,650.0
2022-01-02,17,PT1H,MC-Emec,484.77,618.0
2022-01-02,18,PT1H,MC-Emec,559.36,699.0
2022-01-02,19,PT1H,MC-Emec,635.74,723.0
2022-01-02,20,PT1H,MC-Emec,639.44,785.0
2022-01-02,21,PT1H,MC-Emec,645.61,733.0
2022-01-02,22,PT1H,MC-Emec,638.8,777.0
2022-01-02,23,PT1H,MC-Emec,631.58,791.0
2022-01-02,24,PT1H,MC-Emec,585.29,774.0
2022-01-03,1,PT1H,MC-Emec,608.9,525.44
2022-01-03,2,PT1H,MC-Emec,594.51,501.27
2022-01-03,3,PT1H,MC-Emec,595.6,516.18
2022-01-03,4,PT1H,MC-Emec,583.25,556.05
2022-01-03,5,PT1H,MC-Emec,581.41,595.91
2022-01-03,6,PT1H,MC-Emec,645.19,671.5
2022-01-03,7,PT1H,MC-Emec,700.29,625.94
2022-01-03,8,PT1H,MC-Emec,712.98,673.18
2022-01-03,9,PT1H,MC-Emec,704.12,705.71
2022-01-03,10,PT1H,MC-Emec,799.49,741.85
2022-01-03,11,PT1H,MC-Emec,907.35,795.76
2022-01-03,12,PT1H,MC-Emec,849.23,799.93
2022-01-03,13,PT1H,MC-Emec,793.61,796.36
2022-01-03,14,PT1H,MC-Emec,751.48,792.79
2022-01-03,15,PT1H,MC-Emec,823.26,789.24
2022-01-03,16,PT1H,MC-Emec,796.61,786.34
2022-01-03,17,PT1H,MC-Emec,821.51,760.01
2022-01-03,18,PT1H,MC-Emec,820.58,733.68
2022-01-03,19,PT1H,MC-Emec,859.18,823.44
2022-01-03,20,PT1H,MC-Emec,945.43,907.86
2022-01-03,21,PT1H,MC-Emec,895.27,759.86
2022-01-03,22,PT1H,MC-Emec,734.83,709.0
2022-01-03,23,PT1H,MC-Emec,631.32,617.15
2022-01-03,24,PT1H,MC-Emec,647.36,521.59
2022-01-04,1,PT1H,MC-Emec,752.67,689.0
2022-01-04,2,PT1H,MC-Emec,548.64,614.0
2022-01-04,3,PT1H,MC-Emec,566.8,633.0
2022-01-04,4,PT1H,MC-Emec,617.26,649.0
2022-01-04,5,PT1H,MC-Emec,527.66,618.0
2022-01-04,6,PT1H,MC-Emec,643.6,728.0
2022-01-04,7,PT1H,MC-Emec,663.6,754.0
2022-01-04,8,PT1H,MC-Emec,716.54,833.0
2022-01-04,9,PT1H,MC-Emec,736.64,869.0
2022-01-04,10,PT1H,MC-Emec,841.72,941.0
2022-01-04,11,PT1H,MC-Emec,791.75,984.0
2022-01-04,12,PT1H,MC-Emec,878.85,905.0
2022-01-04,13,PT1H,MC-Emec,729.83,845.0
2022-01-04,14,PT1H,MC-Emec,796.97,967.0
2022-01-04,15,PT1H,MC-Emec,807.13,1023.0
2022-01-04,16,PT1H,MC-Emec,775.64,1040.0
2022-01-04,17,PT1H,MC-Emec,779.97,1086.0
2022-01-04,18,PT1H,MC-Emec,740.16,901.0
2022-01-04,19,PT1H,MC-Emec,841.75,1014.0
2022-01-04,20,PT1H,MC-Emec,898.01,994.0
2022-01-04,21,PT1H,MC-Emec,726.23,889.0
2022-01-04,22,PT1H,MC-Emec,641.03,821.0
2022-01-04,23,PT1H,MC-Emec,728.02,754.0
2022-01-04,24,PT1H,MC-Emec,668.59,703.0
2022-01-05,1,PT1H,MC-Emec,287.0,499.0
2022-01-05,2,PT1H,MC-Emec,599.29,437.0
2022-01-05,3,PT1H,MC-Emec,616.29,534.0
2022-01-05,4,PT1H,MC-Emec,597.96,824.0
2022-01-05,5,PT1H,MC-Emec,599.8,896.0
2022-01-05,6,PT1H,MC-Emec,648.26,1006.0
2022-01-05,7,PT1H,MC-Emec,727.04,901.0
2022-01-05,8,PT1H,MC-Emec,746.36,877.0
2022-01-05,9,PT1H,MC-Emec,784.52,983.0
2022-01-05,10,PT1H,MC-Emec,851.3,1059.0
2022-01-05,11,PT1H,MC-Emec,904.6,985.0
2022-01-05,12,PT1H,MC-Emec,923.08,920.0
2022-01-05,13,PT1H,MC-Emec,867.63,1058.0
2022-01-05,14,PT1H,MC-Emec,823.49,1010.0
2022-01-05,15,PT1H,MC-Emec,860.3,1056.0
2022-01-05,16,PT1H,MC-Emec,849.98,923.0
2022-01-05,17,PT1H,MC-Emec,871.63,789.0
2022-01-05,18,PT1H,MC-Emec,815.17,722.0
2022-01-05,19,PT1H,MC-Emec,847.46,810.0
2022-01-05,20,PT1H,MC-Emec,923.39,294.0
2022-01-05,21,PT1H,MC-Emec,883.61,1202.0
2022-01-05,22,PT1H,MC-Emec,751.82,946.0
2022-01-05,23,PT1H,MC-Emec,713.52,1028.0
2022-01-05,24,PT1H,MC-Emec,668.88,950.0
2022-01-06,1,PT1H,MC-Emec,543.9,771.0
2022-01-06,2,PT1H,MC-Emec,574.96,722.0
2022-01-06,3,PT1H,MC-Emec,583.64,744.0
2022-01-06,4,PT1H,MC-Emec,586.86,720.0
2022-01-06,5,PT1H,MC-Emec,570.05,642.0
2022-01-06,6,PT1H,MC-Emec,681.96,764.0
2022-01-06,7,PT1H,MC-Emec,714.2,768.0
2022-01-06,8,PT1H,MC-Emec,822.33,825.0
2022-01-06,9,PT1H,MC-Emec,877.11,832.0
2022-01-06,10,PT1H,MC-Emec,902.41,953.0
2022-01-06,11,PT1H,MC-Emec,976.94,899.0
2022-01-06,12,PT1H,MC-Emec,901.73,954.0
