Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-Intercor,8794.66,7586.86
2022-01-01,2,PT1H,MC-Intercor,8608.9,7540.29
2022-01-01,3,PT1H,MC-Intercor,8565.83,7539.43
2022-01-01,4,PT1H,MC-Intercor,8509.09,7479.32
2022-01-01,5,PT1H,MC-Intercor,8593.57,7584.22
2022-01-01,6,PT1H,MC-Intercor,8044.18,7628.75
2022-01-01,7,PT1H,MC-Intercor,5107.61,5309.23
2022-01-01,8,PT1H,MC-Intercor,3330.51,4965.14
2022-01-01,9,PT1H,MC-Intercor,2020.95,5256.46
2022-01-01,10,PT1H,MC-Intercor,1910.68,5567.91
2022-01-01,11,PT1H,MC-Intercor,1829.7,5850.36
2022-01-01,12,PT1H,MC-Intercor,2874.67,6054.84
2022-01-01,13,PT1H,MC-Intercor,6584.08,6211.64
2022-01-01,14,PT1H,MC-Intercor,6406.19,6210.44
2022-01-01,15,PT1H,MC-Intercor,6293.47,6158.1
2022-01-01,16,PT1H,MC-Intercor,6289.68,6170.16
2022-01-01,17,PT1H,MC-Intercor,6397.85,6034.78
2022-01-01,18,PT1H,MC-Intercor,6781.53,6102.57
2022-01-01,19,PT1H,MC-Intercor,7924.67,7325.57
2022-01-01,20,PT1H,MC-Intercor,8068.69,8461.93
2022-01-01,21,PT1H,MC-Intercor,8585.39,11276.53
2022-01-01,22,PT1H,MC-Intercor,9912.05,11423.62
2022-01-01,23,PT1H,MC-Intercor,10145.06,11679.63
2022-01-01,24,PT1H,MC-Intercor,10113.95,11518.42
2022-01-02,1,PT1H,MC-Intercor,10124.69,11560.14
2022-01-02,2,PT1H,MC-Intercor,10067.91,11273.55
2022-01-02,3,PT1H,MC-Intercor,9922.85,11149.68
2022-01-02,4,PT1H,MC-Intercor,9877.72,11277.07
2022-01-02,5,PT1H,MC-Intercor,10202.57,11273.82
2022-01-02,6,PT1H,MC-Intercor,10218.25,11415.91
2022-01-02,7,PT1H,MC-Intercor,13123.9,13714.51
