Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-PSTN,141795.75,125000.0
2022-01-01,2,PT1H,MC-PSTN,138632.0,125000.0
2022-01-01,3,PT1H,MC-PSTN,138588.08,125000.0
2022-01-01,4,PT1H,MC-PSTN,115146.27,125000.0
2022-01-01,5,PT1H,MC-PSTN,113604.79,125000.0
2022-01-01,6,PT1H,MC-PSTN,113690.2,125000.0
2022-01-01,7,PT1H,MC-PSTN,99609.4,125000.0
2022-01-01,8,PT1H,MC-PSTN,84232.75,125000.0
2022-01-01,9,PT1H,MC-PSTN,81215.59,125000.0
2022-01-01,10,PT1H,MC-PSTN,82821.8,125000.0
2022-01-01,11,PT1H,MC-PSTN,80414.4,125000.0
2022-01-01,12,PT1H,MC-PSTN,91057.1,125000.0
2022-01-01,13,PT1H,MC-PSTN,105138.65,125000.0
2022-01-01,14,PT1H,MC-PSTN,111893.4,125000.0
2022-01-01,15,PT1H,MC-PSTN,109157.75,125000.0
2022-01-01,16,PT1H,MC-PSTN,113754.93,125000.0
2022-01-01,17,PT1H,MC-PSTN,108396.17,125000.0
2022-01-01,18,PT1H,MC-PSTN,97599.19,125000.0
2022-01-01,19,PT1H,MC-PSTN,103459.14,125000.0
2022-01-01,20,PT1H,MC-PSTN,105419.04,125000.0
2022-01-01,21,PT1H,MC-PSTN,103803.72,125000.0
2022-01-01,22,PT1H,MC-PSTN,108665.01,125000.0
2022-01-01,23,PT1H,MC-PSTN,114614.68,125000.0
2022-01-01,24,PT1H,MC-PSTN,107129.85,125000.0
2022-01-02,1,PT1H,MC-PSTN,106700.66,125000.0
2022-01-02,2,PT1H,MC-PSTN,110172.4,125000.0
2022-01-02,3,PT1H,MC-PSTN,113798.38,125000.0
2022-01-02,4,PT1H,MC-PSTN,118373.23,125000.0
2022-01-02,5,PT1H,MC-PSTN,107385.05,125000.0
2022-01-02,6,PT1H,MC-PSTN,108496.48,125000.0
2022-01-02,7,PT1H,MC-PSTN,91884.23,125000.0
