Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-Rubiales,148542.2,159417.89
2022-01-01,2,PT1H,MC-Rubiales,152063.41,158016.5
2022-01-01,3,PT1H,MC-Rubiales,157160.3,157194.31
2022-01-01,4,PT1H,MC-Rubiales,158744.5,157578.8
2022-01-01,5,PT1H,MC-Rubiales,158553.61,161015.5
2022-01-01,6,PT1H,MC-Rubiales,158197.91,161202.8
2022-01-01,7,PT1H,MC-Rubiales,157375.31,159995.11
2022-01-01,8,PT1H,MC-Rubiales,158279.3,159878.91
2022-01-01,9,PT1H,MC-Rubiales,158794.8,154371.59
2022-01-01,10,PT1H,MC-Rubiales,159991.81,154095.59
2022-01-01,11,PT1H,MC-Rubiales,160006.81,154044.69
2022-01-01,12,PT1H,MC-Rubiales,159868.0,160522.2
2022-01-01,13,PT1H,MC-Rubiales,160316.8,157847.11
2022-01-01,14,PT1H,MC-Rubiales,157274.09,160734.89
2022-01-01,15,PT1H,MC-Rubiales,157309.5,160158.3
2022-01-01,16,PT1H,MC-Rubiales,157566.61,161969.41
2022-01-01,17,PT1H,MC-Rubiales,157025.09,161483.31
2022-01-01,18,PT1H,MC-Rubiales,156647.91,162261.09
2022-01-01,19,PT1H,MC-Rubiales,157054.59,158401.0
2022-01-01,20,PT1H,MC-Rubiales,156461.39,158312.89
2022-01-01,21,PT1H,MC-Rubiales,155619.91,158843.2
2022-01-01,22,PT1H,MC-Rubiales,156835.0,157959.5
2022-01-01,23,PT1H,MC-Rubiales,157234.2,157784.11
2022-01-01,24,PT1H,MC-Rubiales,156257.5,157938.5
2022-01-02,1,PT1H,MC-Rubiales,155644.89,157417.89
2022-01-02,2,PT1H,MC-Rubiales,155891.0,156016.5
2022-01-02,3,PT1H,MC-Rubiales,156157.89,155194.31
2022-01-02,4,PT1H,MC-Rubiales,156372.0,155578.8
2022-01-02,5,PT1H,MC-Rubiales,156246.0,159015.5
2022-01-02,6,PT1H,MC-Rubiales,155988.3,159202.8
2022-01-02,7,PT1H,MC-Rubiales,155002.39,157995.11
2022-01-02,8,PT1H,MC-Rubiales,156122.19,157878.91
2022-01-02,9,PT1H,MC-Rubiales,159648.41,152371.59
2022-01-02,10,PT1H,MC-Rubiales,161021.81,152095.59
2022-01-02,11,PT1H,MC-Rubiales,160832.0,152044.69
2022-01-02,12,PT1H,MC-Rubiales,160534.39,158522.2
2022-01-02,13,PT1H,MC-Rubiales,160638.7,155847.11
2022-01-02,14,PT1H,MC-Rubiales,161396.3,158734.89
2022-01-02,15,PT1H,MC-Rubiales,160637.69,158158.3
2022-01-02,16,PT1H,MC-Rubiales,159900.3,159969.41
2022-01-02,17,PT1H,MC-Rubiales,159322.2,159483.31
2022-01-02,18,PT1H,MC-Rubiales,158321.2,160261.09
2022-01-02,19,PT1H,MC-Rubiales,158452.0,156401.0
2022-01-02,20,PT1H,MC-Rubiales,159131.61,156312.89
2022-01-02,21,PT1H,MC-Rubiales,158117.0,156843.2
2022-01-02,22,PT1H,MC-Rubiales,157515.2,155959.5
2022-01-02,23,PT1H,MC-Rubiales,156187.7,155784.11
2022-01-02,24,PT1H,MC-Rubiales,155915.2,155938.5
2022-01-03,1,PT1H,MC-Rubiales,155074.09,154312.59
2022-01-03,2,PT1H,MC-Rubiales,156062.81,156167.95
2022-01-03,3,PT1H,MC-Rubiales,157063.59,155868.56
2022-01-03,4,PT1H,MC-Rubiales,158223.2,156303.48
2022-01-03,5,PT1H,MC-Rubiales,157004.5,156806.83
2022-01-03,6,PT1H,MC-Rubiales,157812.3,155711.42
2022-01-03,7,PT1H,MC-Rubiales,158694.91,153962.67
2022-01-03,8,PT1H,MC-Rubiales,159502.0,152942.14
2022-01-03,9,PT1H,MC-Rubiales,159411.0,153672.83
2022-01-03,10,PT1H,MC-Rubiales,160131.3,153705.81
2022-01-03,11,PT1H,MC-Rubiales,155929.91,154841.36
2022-01-03,12,PT1H,MC-Rubiales,155871.5,155283.34
2022-01-03,13,PT1H,MC-Rubiales,155862.8,155818.7
2022-01-03,14,PT1H,MC-Rubiales,157150.2,155360.92
2022-01-03,15,PT1H,MC-Rubiales,158114.3,154416.17
2022-01-03,16,PT1H,MC-Rubiales,158307.69,153877.61
2022-01-03,17,PT1H,MC-Rubiales,154582.39,153325.59
2022-01-03,18,PT1H,MC-Rubiales,155052.0,154283.34
2022-01-03,19,PT1H,MC-Rubiales,157271.11,154367.52
2022-01-03,20,PT1H,MC-Rubiales,157774.2,154544.64
2022-01-03,21,PT1H,MC-Rubiales,157374.41,153868.53
2022-01-03,22,PT1H,MC-Rubiales,157928.8,153545.66
2022-01-03,23,PT1H,MC-Rubiales,157184.41,152808.41
2022-01-03,24,PT1H,MC-Rubiales,156238.09,152744.72
2022-01-04,1,PT1H,MC-Rubiales,158112.0,154312.59
2022-01-04,2,PT1H,MC-Rubiales,157844.7,156167.95
2022-01-04,3,PT1H,MC-Rubiales,157015.2,155868.56
2022-01-04,4,PT1H,MC-Rubiales,158613.41,156303.48
2022-01-04,5,PT1H,MC-Rubiales,158639.3,156806.83
2022-01-04,6,PT1H,MC-Rubiales,157191.5,155711.42
2022-01-04,7,PT1H,MC-Rubiales,154993.19,153962.67
