Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-SanFernando,56917.8,57227.75
2022-01-01,2,PT1H,MC-SanFernando,57270.24,58232.04
2022-01-01,3,PT1H,MC-SanFernando,57124.69,57879.38
2022-01-01,4,PT1H,MC-SanFernando,56390.86,59299.91
2022-01-01,5,PT1H,MC-SanFernando,55476.06,59548.82
2022-01-01,6,PT1H,MC-SanFernando,55597.25,59075.16
2022-01-01,7,PT1H,MC-SanFernando,51664.98,53831.18
2022-01-01,8,PT1H,MC-SanFernando,44224.14,35034.59
2022-01-01,9,PT1H,MC-SanFernando,39942.25,21910.37
2022-01-01,10,PT1H,MC-SanFernando,33752.77,9402.78
2022-01-01,11,PT1H,MC-SanFernando,16505.3,11780.59
2022-01-01,12,PT1H,MC-SanFernando,13965.27,16939.58
2022-01-01,13,PT1H,MC-SanFernando,23136.99,18629.31
2022-01-01,14,PT1H,MC-SanFernando,20590.52,27378.79
2022-01-01,15,PT1H,MC-SanFernando,31290.58,30340.46
2022-01-01,16,PT1H,MC-SanFernando,37592.86,45678.29
2022-01-01,17,PT1H,MC-SanFernando,46314.86,51563.88
2022-01-01,18,PT1H,MC-SanFernando,56371.57,57766.04
2022-01-01,19,PT1H,MC-SanFernando,54804.48,58395.87
2022-01-01,20,PT1H,MC-SanFernando,58821.95,57789.89
2022-01-01,21,PT1H,MC-SanFernando,58299.25,58048.83
2022-01-01,22,PT1H,MC-SanFernando,56963.92,58176.32
2022-01-01,23,PT1H,MC-SanFernando,56388.52,57861.75
2022-01-01,24,PT1H,MC-SanFernando,55104.35,57610.29
2022-01-02,1,PT1H,MC-SanFernando,54722.77,57107.38
2022-01-02,2,PT1H,MC-SanFernando,55364.88,58111.67
2022-01-02,3,PT1H,MC-SanFernando,54960.9,57759.01
2022-01-02,4,PT1H,MC-SanFernando,54469.73,59179.55
2022-01-02,5,PT1H,MC-SanFernando,53645.35,59428.46
2022-01-02,6,PT1H,MC-SanFernando,53115.15,58954.79
2022-01-02,7,PT1H,MC-SanFernando,47484.84,53710.81
2022-01-02,8,PT1H,MC-SanFernando,36259.6,34914.22
2022-01-02,9,PT1H,MC-SanFernando,15825.9,21790.0
2022-01-02,10,PT1H,MC-SanFernando,8828.38,9710.24
2022-01-02,11,PT1H,MC-SanFernando,2870.13,11769.59
2022-01-02,12,PT1H,MC-SanFernando,13364.27,17140.88
2022-01-02,13,PT1H,MC-SanFernando,15510.19,18508.95
2022-01-02,14,PT1H,MC-SanFernando,16574.34,27258.43
2022-01-02,15,PT1H,MC-SanFernando,25750.93,30220.09
2022-01-02,16,PT1H,MC-SanFernando,40701.56,45557.91
2022-01-02,17,PT1H,MC-SanFernando,49515.69,51443.5
2022-01-02,18,PT1H,MC-SanFernando,58882.35,57645.67
2022-01-02,19,PT1H,MC-SanFernando,59284.29,58275.5
2022-01-02,20,PT1H,MC-SanFernando,58929.75,57669.52
2022-01-02,21,PT1H,MC-SanFernando,58138.05,57928.46
2022-01-02,22,PT1H,MC-SanFernando,57499.14,58055.95
2022-01-02,23,PT1H,MC-SanFernando,57053.12,57741.38
2022-01-02,24,PT1H,MC-SanFernando,54961.53,57489.92
2022-01-03,1,PT1H,MC-SanFernando,55024.98,57009.02
2022-01-03,2,PT1H,MC-SanFernando,52389.27,58013.3
2022-01-03,3,PT1H,MC-SanFernando,56376.22,57660.64
