Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2024-02-10,1,PT1H,MC-Ternium,6397.91,6438.0
2024-02-10,2,PT1H,MC-Ternium,6976.45,6486.0
2024-02-10,3,PT1H,MC-Ternium,7458.34,6322.0
2024-02-10,4,PT1H,MC-Ternium,6707.47,6231.0
2024-02-10,5,PT1H,MC-Ternium,5676.31,3731.0
2024-02-10,6,PT1H,MC-Ternium,4960.55,5164.0
2024-02-10,7,PT1H,MC-Ternium,7837.09,3557.0
2024-02-10,8,PT1H,MC-Ternium,7319.67,1757.0
2024-02-10,9,PT1H,MC-Ternium,7196.54,1164.0
2024-02-10,10,PT1H,MC-Ternium,6146.5,1051.0
2024-02-10,11,PT1H,MC-Ternium,5967.44,1037.0
2024-02-10,12,PT1H,MC-Ternium,7015.16,1051.0
2024-02-10,13,PT1H,MC-Ternium,5972.32,1097.0
2024-02-10,14,PT1H,MC-Ternium,2841.48,1103.0
2024-02-10,15,PT1H,MC-Ternium,6366.74,1126.0
2024-02-10,16,PT1H,MC-Ternium,6626.31,1139.0
2024-02-10,17,PT1H,MC-Ternium,6972.65,1135.0
2024-02-10,18,PT1H,MC-Ternium,6721.43,1114.0
2024-02-10,19,PT1H,MC-Ternium,6778.89,1139.0
2024-02-10,20,PT1H,MC-Ternium,6736.94,1160.0
2024-02-10,21,PT1H,MC-Ternium,5743.94,1181.0
2024-02-10,22,PT1H,MC-Ternium,5728.62,1157.0
2024-02-10,23,PT1H,MC-Ternium,7003.86,1112.0
2024-02-10,24,PT1H,MC-Ternium,6017.36,1078.0
2024-02-11,1,PT1H,MC-Ternium,6394.24,833.0
2024-02-11,2,PT1H,MC-Ternium,6751.49,827.0
2024-02-11,3,PT1H,MC-Ternium,6789.98,814.0
2024-02-11,4,PT1H,MC-Ternium,4954.01,823.0
2024-02-11,5,PT1H,MC-Ternium,6319.61,834.0
2024-02-11,6,PT1H,MC-Ternium,6937.77,832.0
2024-02-11,7,PT1H,MC-Ternium,5825.06,840.0
2024-02-11,8,PT1H,MC-Ternium,6626.47,822.0
2024-02-11,9,PT1H,MC-Ternium,7168.36,944.0
2024-02-11,10,PT1H,MC-Ternium,6378.56,869.0
2024-02-11,11,PT1H,MC-Ternium,7108.02,874.0
2024-02-11,12,PT1H,MC-Ternium,6993.99,887.0
2024-02-11,13,PT1H,MC-Ternium,7108.01,890.0
2024-02-11,14,PT1H,MC-Ternium,6773.64,898.0
2024-02-11,15,PT1H,MC-Ternium,6960.36,894.0
2024-02-11,16,PT1H,MC-Ternium,6860.63,866.0
2024-02-11,17,PT1H,MC-Ternium,7034.12,887.0
2024-02-11,18,PT1H,MC-Ternium,6321.69,888.0
2024-02-11,19,PT1H,MC-Ternium,7177.7,900.0
2024-02-11,20,PT1H,MC-Ternium,7157.2,925.0
2024-02-11,21,PT1H,MC-Ternium,7148.33,891.0
2024-02-11,22,PT1H,MC-Ternium,7128.89,839.0
2024-02-11,23,PT1H,MC-Ternium,7009.64,837.0
2024-02-11,24,PT1H,MC-Ternium,7150.22,846.0
2024-02-12,1,PT1H,MC-Ternium,5701.8,828.0
2024-02-12,2,PT1H,MC-Ternium,5888.69,840.0
2024-02-12,3,PT1H,MC-Ternium,6950.82,838.0
2024-02-12,4,PT1H,MC-Ternium,7098.5,827.0
2024-02-12,5,PT1H,MC-Ternium,6877.68,833.0
2024-02-12,6,PT1H,MC-Ternium,7164.45,841.0
2024-02-12,7,PT1H,MC-Ternium,7105.39,823.0
2024-02-12,8,PT1H,MC-Ternium,6708.5,838.0
2024-02-12,9,PT1H,MC-Ternium,5205.25,899.0
2024-02-12,10,PT1H,MC-Ternium,6866.42,963.0
2024-02-12,11,PT1H,MC-Ternium,7078.21,974.0
2024-02-12,12,PT1H,MC-Ternium,7353.92,1013.0
2024-02-12,13,PT1H,MC-Ternium,6545.32,988.0
2024-02-12,14,PT1H,MC-Ternium,5260.29,988.0
2024-02-12,15,PT1H,MC-Ternium,5850.2,1061.0
2024-02-12,16,PT1H,MC-Ternium,6837.72,1062.0
2024-02-12,17,PT1H,MC-Ternium,2060.56,1148.0
2024-02-12,18,PT1H,MC-Ternium,1724.91,1069.0
2024-02-12,19,PT1H,MC-Ternium,1740.88,1096.0
2024-02-12,20,PT1H,MC-Ternium,2132.53,1075.0
2024-02-12,21,PT1H,MC-Ternium,3158.13,1043.0
2024-02-12,22,PT1H,MC-Ternium,2659.62,1013.0
2024-02-12,23,PT1H,MC-Ternium,4771.76,973.0
2024-02-12,24,PT1H,MC-Ternium,4291.4,966.0
2024-02-13,1,PT1H,MC-Ternium,5108.8,943.0
2024-02-13,2,PT1H,MC-Ternium,5760.33,920.0
2024-02-13,3,PT1H,MC-Ternium,5124.28,922.0
2024-02-13,4,PT1H,MC-Ternium,5499.26,945.0
2024-02-13,5,PT1H,MC-Ternium,4985.59,937.0
2024-02-13,6,PT1H,MC-Ternium,3320.76,938.0
2024-02-13,7,PT1H,MC-Ternium,4434.33,990.0
2024-02-13,8,PT1H,MC-Ternium,3500.04,1113.0
2024-02-13,9,PT1H,MC-Ternium,5317.43,1224.0
2024-02-13,10,PT1H,MC-Ternium,4193.27,2033.0
2024-02-13,11,PT1H,MC-Ternium,5553.16,2534.0
2024-02-13,12,PT1H,MC-Ternium,6449.18,2596.0
2024-02-13,13,PT1H,MC-Ternium,5919.72,2787.0
2024-02-13,14,PT1H,MC-Ternium,5554.7,4009.0
2024-02-13,15,PT1H,MC-Ternium,5913.84,3311.0
2024-02-13,16,PT1H,MC-Ternium,4703.47,5874.0
2024-02-13,17,PT1H,MC-Ternium,4455.26,5036.0
2024-02-13,18,PT1H,MC-Ternium,4605.22,6832.0
2024-02-13,19,PT1H,MC-Ternium,6578.79,6185.0
2024-02-13,20,PT1H,MC-Ternium,6922.43,6591.0
2024-02-13,21,PT1H,MC-Ternium,6076.91,4050.0
2024-02-13,22,PT1H,MC-Ternium,4228.17,4386.0
2024-02-13,23,PT1H,MC-Ternium,6066.37,6503.0
2024-02-13,24,PT1H,MC-Ternium,6711.44,6463.0
2024-02-14,1,PT1H,MC-Ternium,6252.18,5277.0
2024-02-14,2,PT1H,MC-Ternium,6223.4,6684.0
2024-02-14,3,PT1H,MC-Ternium,6588.39,8171.0
2024-02-14,4,PT1H,MC-Ternium,6100.38,6906.0
2024-02-14,5,PT1H,MC-Ternium,6044.82,5342.0
2024-02-14,6,PT1H,MC-Ternium,3549.72,7144.0
2024-02-14,7,PT1H,MC-Ternium,3875.44,7733.0
2024-02-14,8,PT1H,MC-Ternium,3119.29,4998.0
2024-02-14,9,PT1H,MC-Ternium,5830.75,6253.0
