Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2022-01-01,1,PT1H,MC-TubosCaribe,1669.08,2202.0
2022-01-01,2,PT1H,MC-TubosCaribe,1661.57,2188.8
2022-01-01,3,PT1H,MC-TubosCaribe,1651.16,2145.5
2022-01-01,4,PT1H,MC-TubosCaribe,1641.04,2138.4
2022-01-01,5,PT1H,MC-TubosCaribe,1637.69,2095.1
2022-01-01,6,PT1H,MC-TubosCaribe,1643.27,2139.4
2022-01-01,7,PT1H,MC-TubosCaribe,1536.76,2134.8
2022-01-01,8,PT1H,MC-TubosCaribe,1538.28,2066.4
2022-01-01,9,PT1H,MC-TubosCaribe,1549.86,2081.4
2022-01-01,10,PT1H,MC-TubosCaribe,1564.93,2074.7
2022-01-01,11,PT1H,MC-TubosCaribe,1580.42,2074.1
2022-01-01,12,PT1H,MC-TubosCaribe,1607.95,2052.0
2022-01-01,13,PT1H,MC-TubosCaribe,1620.42,2087.6
2022-01-01,14,PT1H,MC-TubosCaribe,1628.94,2030.1
2022-01-01,15,PT1H,MC-TubosCaribe,1632.83,1952.4
2022-01-01,16,PT1H,MC-TubosCaribe,1614.42,1859.0
2022-01-01,17,PT1H,MC-TubosCaribe,1610.02,1858.5
2022-01-01,18,PT1H,MC-TubosCaribe,1638.65,1805.7
2022-01-01,19,PT1H,MC-TubosCaribe,1722.85,1804.5
2022-01-01,20,PT1H,MC-TubosCaribe,1713.22,1852.8
2022-01-01,21,PT1H,MC-TubosCaribe,1696.93,1858.1
2022-01-01,22,PT1H,MC-TubosCaribe,1682.78,1844.0
2022-01-01,23,PT1H,MC-TubosCaribe,1668.51,1779.7
2022-01-01,24,PT1H,MC-TubosCaribe,1678.58,1824.8
2022-01-02,1,PT1H,MC-TubosCaribe,1678.88,3043.7
2022-01-02,2,PT1H,MC-TubosCaribe,1659.58,3065.4
2022-01-02,3,PT1H,MC-TubosCaribe,1672.55,3020.4
2022-01-02,4,PT1H,MC-TubosCaribe,1661.02,3051.0
2022-01-02,5,PT1H,MC-TubosCaribe,1642.62,3012.2
2022-01-02,6,PT1H,MC-TubosCaribe,2178.02,2984.9
2022-01-02,7,PT1H,MC-TubosCaribe,2505.84,3393.0
2022-01-02,8,PT1H,MC-TubosCaribe,2652.43,3404.5
2022-01-02,9,PT1H,MC-TubosCaribe,2688.75,3424.0
2022-01-02,10,PT1H,MC-TubosCaribe,2651.28,3444.3
2022-01-02,11,PT1H,MC-TubosCaribe,2645.05,3468.7
2022-01-02,12,PT1H,MC-TubosCaribe,2705.42,3427.0
2022-01-02,13,PT1H,MC-TubosCaribe,2730.37,3317.4
2022-01-02,14,PT1H,MC-TubosCaribe,2654.36,3081.8
2022-01-02,15,PT1H,MC-TubosCaribe,2707.75,2848.7
2022-01-02,16,PT1H,MC-TubosCaribe,2660.38,1995.9
2022-01-02,17,PT1H,MC-TubosCaribe,2642.43,1968.7
2022-01-02,18,PT1H,MC-TubosCaribe,2796.27,2033.9
2022-01-02,19,PT1H,MC-TubosCaribe,2914.81,2114.2
2022-01-02,20,PT1H,MC-TubosCaribe,2902.36,2112.2
2022-01-02,21,PT1H,MC-TubosCaribe,2945.56,2090.0
2022-01-02,22,PT1H,MC-TubosCaribe,2981.43,2036.0
2022-01-02,23,PT1H,MC-TubosCaribe,2981.7,1994.1
2022-01-02,24,PT1H,MC-TubosCaribe,2913.42,1999.2
2022-01-03,1,PT1H,MC-TubosCaribe,2893.91,2787.2
2022-01-03,2,PT1H,MC-TubosCaribe,2872.4,2782.0
2022-01-03,3,PT1H,MC-TubosCaribe,2809.49,2794.9
2022-01-03,4,PT1H,MC-TubosCaribe,2800.8,2763.1
2022-01-03,5,PT1H,MC-TubosCaribe,2758.26,2776.5
2022-01-03,6,PT1H,MC-TubosCaribe,2806.3,2883.2
2022-01-03,7,PT1H,MC-TubosCaribe,2654.8,3612.6
2022-01-03,8,PT1H,MC-TubosCaribe,2715.45,3632.3
2022-01-03,9,PT1H,MC-TubosCaribe,2849.35,3543.7
2022-01-03,10,PT1H,MC-TubosCaribe,2858.58,3669.6
2022-01-03,11,PT1H,MC-TubosCaribe,2960.68,3705.6
2022-01-03,12,PT1H,MC-TubosCaribe,3006.4,3623.8
2022-01-03,13,PT1H,MC-TubosCaribe,2905.96,3422.7
2022-01-03,14,PT1H,MC-TubosCaribe,2910.39,3572.3
2022-01-03,15,PT1H,MC-TubosCaribe,2855.38,3587.0
2022-01-03,16,PT1H,MC-TubosCaribe,3019.79,3513.0
2022-01-03,17,PT1H,MC-TubosCaribe,2926.74,3235.7
2022-01-03,18,PT1H,MC-TubosCaribe,2971.09,3284.5
2022-01-03,19,PT1H,MC-TubosCaribe,3022.74,3242.0
2022-01-03,20,PT1H,MC-TubosCaribe,3019.19,3234.1
2022-01-03,21,PT1H,MC-TubosCaribe,2983.75,3241.6
2022-01-03,22,PT1H,MC-TubosCaribe,2990.9,3215.7
2022-01-03,23,PT1H,MC-TubosCaribe,2851.35,3118.9
2022-01-03,24,PT1H,MC-TubosCaribe,2798.14,3105.3
2022-01-04,1,PT1H,MC-TubosCaribe,2962.68,3082.8
2022-01-04,2,PT1H,MC-TubosCaribe,3019.47,3089.8
2022-01-04,3,PT1H,MC-TubosCaribe,2954.14,3098.7
2022-01-04,4,PT1H,MC-TubosCaribe,2911.86,3138.5
2022-01-04,5,PT1H,MC-TubosCaribe,2873.76,3098.3
2022-01-04,6,PT1H,MC-TubosCaribe,2911.72,3129.2
2022-01-04,7,PT1H,MC-TubosCaribe,3005.85,3434.7
2022-01-04,8,PT1H,MC-TubosCaribe,3358.36,3558.1
2022-01-04,9,PT1H,MC-TubosCaribe,3504.77,3624.5
2022-01-04,10,PT1H,MC-TubosCaribe,3432.7,3647.2
2022-01-04,11,PT1H,MC-TubosCaribe,3074.48,3703.5
2022-01-04,12,PT1H,MC-TubosCaribe,3145.67,3629.8
2022-01-04,13,PT1H,MC-TubosCaribe,3220.99,3381.0
2022-01-04,14,PT1H,MC-TubosCaribe,3412.23,3527.7
2022-01-04,15,PT1H,MC-TubosCaribe,3286.33,3200.4
2022-01-04,16,PT1H,MC-TubosCaribe,3331.0,3208.2
2022-01-04,17,PT1H,MC-TubosCaribe,3290.07,3180.2
2022-01-04,18,PT1H,MC-TubosCaribe,3432.16,3188.6
2022-01-04,19,PT1H,MC-TubosCaribe,3332.81,3222.7
2022-01-04,20,PT1H,MC-TubosCaribe,3467.29,3214.6
2022-01-04,21,PT1H,MC-TubosCaribe,3468.5,3229.3
2022-01-04,22,PT1H,MC-TubosCaribe,3477.49,3252.1
2022-01-04,23,PT1H,MC-TubosCaribe,3061.98,3054.4
2022-01-04,24,PT1H,MC-TubosCaribe,3075.58,3084.4
2022-01-05,1,PT1H,MC-TubosCaribe,3031.06,2102.6
2022-01-05,2,PT1H,MC-TubosCaribe,3043.95,2117.6
2022-01-05,3,PT1H,MC-TubosCaribe,3061.7,2069.8
2022-01-05,4,PT1H,MC-TubosCaribe,3082.84,2112.0
2022-01-05,5,PT1H,MC-TubosCaribe,3008.0,2127.8
2022-01-05,6,PT1H,MC-TubosCaribe,2976.33,2786.2
2022-01-05,7,PT1H,MC-TubosCaribe,3302.91,3823.6
2022-01-05,8,PT1H,MC-TubosCaribe,3357.53,4291.6
2022-01-05,9,PT1H,MC-TubosCaribe,3645.18,4314.1
2022-01-05,10,PT1H,MC-TubosCaribe,3747.45,4329.5
2022-01-05,11,PT1H,MC-TubosCaribe,3742.18,4319.5
2022-01-05,12,PT1H,MC-TubosCaribe,3723.94,4327.6
2022-01-05,13,PT1H,MC-TubosCaribe,3507.72,3967.8
2022-01-05,14,PT1H,MC-TubosCaribe,3744.29,4231.6
2022-01-05,15,PT1H,MC-TubosCaribe,3752.08,3525.4
2022-01-05,16,PT1H,MC-TubosCaribe,3764.48,3456.0
2022-01-05,17,PT1H,MC-TubosCaribe,3394.13,3403.8
2022-01-05,18,PT1H,MC-TubosCaribe,3426.07,3420.0
2022-01-05,19,PT1H,MC-TubosCaribe,3353.45,3329.7
2022-01-05,20,PT1H,MC-TubosCaribe,3442.44,3396.9
2022-01-05,21,PT1H,MC-TubosCaribe,3419.03,3297.5
2022-01-05,22,PT1H,MC-TubosCaribe,3433.35,3249.9
2022-01-05,23,PT1H,MC-TubosCaribe,3004.85,3066.0
2022-01-05,24,PT1H,MC-TubosCaribe,2955.6,3109.2
2022-01-06,1,PT1H,MC-TubosCaribe,3200.43,2976.1
2022-01-06,2,PT1H,MC-TubosCaribe,3171.17,2983.5
2022-01-06,3,PT1H,MC-TubosCaribe,3118.68,2911.7
2022-01-06,4,PT1H,MC-TubosCaribe,3112.04,2955.2
2022-01-06,5,PT1H,MC-TubosCaribe,3036.9,2926.1
2022-01-06,6,PT1H,MC-TubosCaribe,2994.44,2977.3
2022-01-06,7,PT1H,MC-TubosCaribe,3299.14,3642.4
2022-01-06,8,PT1H,MC-TubosCaribe,3664.34,3923.0
2022-01-06,9,PT1H,MC-TubosCaribe,3731.29,4100.8
2022-01-06,10,PT1H,MC-TubosCaribe,3754.69,4105.4
2022-01-06,11,PT1H,MC-TubosCaribe,3833.44,4149.4
2022-01-06,12,PT1H,MC-TubosCaribe,3750.98,4149.4
2022-01-06,13,PT1H,MC-TubosCaribe,3457.58,3883.3
2022-01-06,14,PT1H,MC-TubosCaribe,3542.6,4038.5
2022-01-06,15,PT1H,MC-TubosCaribe,3682.78,3650.8
2022-01-06,16,PT1H,MC-TubosCaribe,3542.79,3506.0
2022-01-06,17,PT1H,MC-TubosCaribe,3270.8,3153.8
2022-01-06,18,PT1H,MC-TubosCaribe,3493.57,3186.2
2022-01-06,19,PT1H,MC-TubosCaribe,3408.95,3162.2
2022-01-06,20,PT1H,MC-TubosCaribe,3384.29,3238.3
2022-01-06,21,PT1H,MC-TubosCaribe,3471.27,3268.2
2022-01-06,22,PT1H,MC-TubosCaribe,3317.83,3192.0
2022-01-06,23,PT1H,MC-TubosCaribe,2888.76,2978.2
2022-01-06,24,PT1H,MC-TubosCaribe,2866.53,3060.6
2022-01-07,1,PT1H,MC-TubosCaribe,2885.2,2899.0
2022-01-07,2,PT1H,MC-TubosCaribe,3064.08,2909.8
2022-01-07,3,PT1H,MC-TubosCaribe,2920.43,2858.1
2022-01-07,4,PT1H,MC-TubosCaribe,2954.98,2909.5
2022-01-07,5,PT1H,MC-TubosCaribe,3040.73,2902.0
2022-01-07,6,PT1H,MC-TubosCaribe,2954.07,2966.5
2022-01-07,7,PT1H,MC-TubosCaribe,3215.47,3223.8
2022-01-07,8,PT1H,MC-TubosCaribe,3470.53,3285.8
2022-01-07,9,PT1H,MC-TubosCaribe,3768.1,3296.5
2022-01-07,10,PT1H,MC-TubosCaribe,3718.75,3089.9
2022-01-07,11,PT1H,MC-TubosCaribe,3783.03,3154.8
2022-01-07,12,PT1H,MC-TubosCaribe,3732.58,3134.7
2022-01-07,13,PT1H,MC-TubosCaribe,3634.32,2994.6
2022-01-07,14,PT1H,MC-TubosCaribe,3806.92,3159.5
2022-01-07,15,PT1H,MC-TubosCaribe,3773.9,2988.3
2022-01-07,16,PT1H,MC-TubosCaribe,3774.92,2990.0
2022-01-07,17,PT1H,MC-TubosCaribe,3526.31,3003.1
2022-01-07,18,PT1H,MC-TubosCaribe,3456.07,3008.6
2022-01-07,19,PT1H,MC-TubosCaribe,3236.81,3013.3
2022-01-07,20,PT1H,MC-TubosCaribe,3131.33,3026.0
2022-01-07,21,PT1H,MC-TubosCaribe,3024.3,3030.1
2022-01-07,22,PT1H,MC-TubosCaribe,3010.76,3026.9
2022-01-07,23,PT1H,MC-TubosCaribe,2714.07,2921.9
2022-01-07,24,PT1H,MC-TubosCaribe,2716.75,2937.0
2022-01-08,1,PT1H,MC-TubosCaribe,2699.5,2750.4
2022-01-08,2,PT1H,MC-TubosCaribe,2704.51,2736.4
2022-01-08,3,PT1H,MC-TubosCaribe,2652.75,2695.0
2022-01-08,4,PT1H,MC-TubosCaribe,2691.42,2688.9
2022-01-08,5,PT1H,MC-TubosCaribe,2643.28,2647.8
2022-01-08,6,PT1H,MC-TubosCaribe,2741.54,2688.3
2022-01-08,7,PT1H,MC-TubosCaribe,3256.21,3151.7
2022-01-08,8,PT1H,MC-TubosCaribe,3734.85,3370.8
2022-01-08,9,PT1H,MC-TubosCaribe,3710.35,3481.7
2022-01-08,10,PT1H,MC-TubosCaribe,3757.93,3472.7
2022-01-08,11,PT1H,MC-TubosCaribe,3587.42,3462.2
2022-01-08,12,PT1H,MC-TubosCaribe,3675.89,3440.3
2022-01-08,13,PT1H,MC-TubosCaribe,3357.9,3191.5
2022-01-08,14,PT1H,MC-TubosCaribe,3543.86,3326.5
2022-01-08,15,PT1H,MC-TubosCaribe,2969.99,2873.8
2022-01-08,16,PT1H,MC-TubosCaribe,2821.42,2886.4
2022-01-08,17,PT1H,MC-TubosCaribe,2974.8,2592.9
2022-01-08,18,PT1H,MC-TubosCaribe,2967.48,2637.9
2022-01-08,19,PT1H,MC-TubosCaribe,2878.95,2635.9
2022-01-08,20,PT1H,MC-TubosCaribe,3072.36,2680.6
2022-01-08,21,PT1H,MC-TubosCaribe,3048.68,2686.2
2022-01-08,22,PT1H,MC-TubosCaribe,2949.86,2673.0
2022-01-08,23,PT1H,MC-TubosCaribe,2731.25,2522.1
2022-01-08,24,PT1H,MC-TubosCaribe,2964.92,2566.8
2022-01-09,1,PT1H,MC-TubosCaribe,2762.99,2845.2
2022-01-09,2,PT1H,MC-TubosCaribe,2696.5,2857.2
2022-01-09,3,PT1H,MC-TubosCaribe,2599.61,2811.8
2022-01-09,4,PT1H,MC-TubosCaribe,2639.45,2842.1
2022-01-09,5,PT1H,MC-TubosCaribe,2630.39,2802.6
2022-01-09,6,PT1H,MC-TubosCaribe,2599.2,2774.9
2022-01-09,7,PT1H,MC-TubosCaribe,2722.45,2650.2
2022-01-09,8,PT1H,MC-TubosCaribe,2850.2,2661.5
2022-01-09,9,PT1H,MC-TubosCaribe,2763.96,2691.1
2022-01-09,10,PT1H,MC-TubosCaribe,2813.65,2711.0
2022-01-09,11,PT1H,MC-TubosCaribe,2653.58,2735.1
2022-01-09,12,PT1H,MC-TubosCaribe,2600.78,2703.6
2022-01-09,13,PT1H,MC-TubosCaribe,2513.58,2592.4
2022-01-09,14,PT1H,MC-TubosCaribe,2512.43,2546.4
2022-01-09,15,PT1H,MC-TubosCaribe,2359.06,2339.2
2022-01-09,16,PT1H,MC-TubosCaribe,2415.82,2285.7
2022-01-09,17,PT1H,MC-TubosCaribe,2347.57,2258.0
2022-01-09,18,PT1H,MC-TubosCaribe,2423.35,2324.0
2022-01-09,19,PT1H,MC-TubosCaribe,2506.49,2405.5
2022-01-09,20,PT1H,MC-TubosCaribe,2499.35,2403.3
2022-01-09,21,PT1H,MC-TubosCaribe,2425.07,2380.7
2022-01-09,22,PT1H,MC-TubosCaribe,2448.41,2326.5
2022-01-09,23,PT1H,MC-TubosCaribe,2525.44,2283.9
2022-01-09,24,PT1H,MC-TubosCaribe,2531.2,2288.8
2022-01-10,1,PT1H,MC-TubosCaribe,2531.39,2036.2
2022-01-10,2,PT1H,MC-TubosCaribe,2550.58,2031.0
2022-01-10,3,PT1H,MC-TubosCaribe,2539.1,2043.8
2022-01-10,4,PT1H,MC-TubosCaribe,2505.89,2012.2
2022-01-10,5,PT1H,MC-TubosCaribe,2490.17,2024.9
2022-01-10,6,PT1H,MC-TubosCaribe,2536.97,2327.7
2022-01-10,7,PT1H,MC-TubosCaribe,2988.53,3237.7
2022-01-10,8,PT1H,MC-TubosCaribe,3299.64,3653.9
2022-01-10,9,PT1H,MC-TubosCaribe,3486.03,3764.2
2022-01-10,10,PT1H,MC-TubosCaribe,3421.83,3789.7
2022-01-10,11,PT1H,MC-TubosCaribe,3527.09,3825.5
2022-01-10,12,PT1H,MC-TubosCaribe,3601.48,3843.4
2022-01-10,13,PT1H,MC-TubosCaribe,3095.22,3455.3
2022-01-10,14,PT1H,MC-TubosCaribe,3256.24,3702.8
2022-01-10,15,PT1H,MC-TubosCaribe,2879.23,3320.8
2022-01-10,16,PT1H,MC-TubosCaribe,2747.02,3247.2
2022-01-10,17,PT1H,MC-TubosCaribe,2751.11,2972.5
2022-01-10,18,PT1H,MC-TubosCaribe,2821.82,3011.1
2022-01-10,19,PT1H,MC-TubosCaribe,2782.89,2968.7
2022-01-10,20,PT1H,MC-TubosCaribe,2912.69,3060.0
2022-01-10,21,PT1H,MC-TubosCaribe,2902.92,3067.7
2022-01-10,22,PT1H,MC-TubosCaribe,3028.39,3042.1
