Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Demanda Energía SIN 2025,,,,,
,,,,,
Fecha,Demanda Energia SIN kWh,Generación kWh,Demanda No Atendida kWh,Exportaciones kWh,Importaciones kWh
2025-01-01,176782080.52,178819653.46,14790,2056154.41,3791.47
2025-01-02,202358508.12,207585682.86,14950,5242124.74,
2025-01-03,209932434.42,215503432.54,7870,5578868.12,
2025-01-04,204604614.16,209157707.43,25480,4578573.27,
2025-01-05,187896424.11,196702923.73,94660,8901159.62,
2025-01-06,192933134.14,200214640.68,44870,7327102.1,725.56
2025-01-07,217949046.76,224507757.4,15170,6575383.5,1502.86
2025-01-08,225020386.27,234942773.64,41290,9963677.37,
2025-01-09,226599678.07,234120215.66,35910,7556447.59,
2025-01-10,228762353.69,236570870.88,51100,7859617.19,
2025-01-11,219455514.56,226566622.94,23180,7134288.38,
2025-01-12,201561833.07,207777019.16,32630,6247816.09,
2025-01-13,226831815.32,232885507.19,19120,6072811.87,
2025-01-14,230651859.13,240329783.82,16090,9694014.69,
2025-01-15,230466378.990001,240106625.200001,42760,9683006.21,
2025-01-16,230850595.73,240785020.51,280490,10214914.78,
2025-01-17,232853777.689999,243132436.099999,44300,10322958.41,
2025-01-18,220893172.19,227852919.64,34700,6994447.45,
2025-01-19,203612542.87,210873703.28,495560,7756720.41,
2025-01-20,230549122.95,241119396.71,23540,10593813.76,
2025-01-21,234878052.879999,244219874.699999,28360,9370181.82,
2025-01-22,236023969.77,245451261.62,44650,9471941.85,
2025-01-23,236904129.67,246671304.35,51180,9818354.68,
2025-01-24,236608651.470001,246907703.090001,26730,10325781.62,
2025-01-25,225475347.63,234334431.7,24370,8883454.07,
2025-01-26,206044598.73,208736128.4,1008450,3714365.61,14385.94
2025-01-27,234066863.59,238558112.62,41960,4533209.03,
2025-01-28,235486244.31,240921680.56,288280,5723716.25,
2025-01-29,237550966.22,240944581.89,57690,3453079.29,1773.62
2025-01-30,238718667.65,238549401.38,213600,48785.03,4451.3
2025-01-31,238745089.2,239191285.7,49140,502313.5,6977
2025-02-01,226388454.89,228567842.33,200370,2382378.45,2621.01
2025-02-02,205726262.04,209503675.63,115590,3902864.15,9860.56
2025-02-03,232431181.420001,241290396.220001,31150,8890364.8,
2025-02-04,235227693.560001,242425060.450001,687500,7884866.89,
2025-02-05,236875816.66,245140606.8,188820,8453610.14,
2025-02-06,236228382.950001,246038836.950001,40970,9851424,
2025-02-07,237406564.38,247650990.98,26770,10271196.6,
2025-02-08,224242425.47,230088635.61,97450,5943660.14,
2025-02-09,204694069.41,207494256.81,130770,2930957.4,
2025-02-10,228534505.76,228292942.59,261350,26075.16,6288.33
2025-02-11,231893581.120001,231893078.810001,21040,22659.27,2121.58
2025-02-12,233235356.12,233127208.23,120720,22828.54,10256.43
2025-02-13,234706651.09,234038421.15,100850,52514.93,619894.87
2025-02-14,233273273.19,233176407.97,85510,14435.13,25790.35
2025-02-15,221755528.459999,218125055.819999,54490,17631.71,3593614.35
2025-02-16,202677851.24,202518646.94,132420,22248.77,49033.07
2025-02-17,228654602.17,227718359.5,262130,33614.75,707727.42
2025-02-18,231630632.94,230852568.64,409010,28357.72,397412.02
2025-02-19,233654623.49,233562029.77,78920,22525.27,36198.99
2025-02-20,235873452.05,234826340.63,286700,19497.6,779909.02
2025-02-21,237009272.85,236907777.81,28730,22324.47,95089.51
2025-02-22,224970455.92,224563391.31,100780,24480.79,330765.4
2025-02-23,205923287.77,201583813.91,424320,8765.54,3923919.4
2025-02-24,231600337.12,224544375.37,72590,2109.48,6985481.23
2025-02-25,235168399.789999,229946458.809999,41310,6256.27,5186887.25
2025-02-26,233935210.86,230707309.02,101120,13462.81,3140244.65
2025-02-27,235260612.73,233674392.83,38510,16938.83,1564648.73
2025-02-28,233597034.87,230061405.49,85820,9778.62,3459588
2025-03-01,223450691.19,218821787.63,27130,6387.22,4608160.78
2025-03-02,204479789.549999,204152257.639999,336810,19810.41,10532.32
2025-03-03,227991105.25,224228904.82,83340,5100.08,3683960.51
2025-03-04,232876278.07,227011028.84,89470,3699.07,5779478.3
2025-03-05,233908758.31,233813083.16,71910,27121.8,50886.95
2025-03-06,233370678.18,233213636.94,189680,42112.54,9473.78
2025-03-07,234678676.6,234674030.31,25090,25375.24,4931.53
2025-03-08,223071372.88,216846837.07,7080,3575.27,6221031.08
2025-03-09,206160335.12,205054102.83,522870,19138.33,602500.62
2025-03-10,231579400.11,227525935.99,19810,5822.53,4039476.65
2025-03-11,234564421.65,230842126.4,31550,3866.14,3694611.39
2025-03-12,233269870.01,227445374.34,225840,1250.79,5599906.46
2025-03-13,234692038.5,233665400.49,107360,2357493.91,3276771.92
2025-03-14,234611106.44,231268133.25,388710,11197.37,2965460.56
2025-03-15,223387897.1,220385265.22,521370,17545.93,2498807.81
2025-03-16,204562382.5,199937308.76,964380,9689.85,3670383.59
2025-03-17,230219747.66,227139498.59,86780,13401.79,3006870.86
2025-03-18,230683798.34,229875006.76,37020,26081.58,797853.16
2025-03-19,232712951.24,230045736.99,43950,6829.94,2630094.19
2025-03-20,235809934.44,234411969.46,191050,12554.81,1219469.79
2025-03-21,236444536.37,235520598.71,72090,19228.67,871076.33
