Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Arauca,32308.31,31029.91
2023-04-13,2,PT1H,MC-Arauca,30923.99,29780.47
2023-04-13,3,PT1H,MC-Arauca,29923.23,29318.18
2023-04-13,4,PT1H,MC-Arauca,29107.67,28351.69
2023-04-13,5,PT1H,MC-Arauca,28954.25,28641.13
2023-04-13,6,PT1H,MC-Arauca,29402.72,28500.35
2023-04-13,7,PT1H,MC-Arauca,28854.47,28283.96
2023-04-13,8,PT1H,MC-Arauca,31383.38,30582.39
2023-04-13,9,PT1H,MC-Arauca,34732.97,33494.76
2023-04-13,10,PT1H,MC-Arauca,37339.15,35441.95
2023-04-13,11,PT1H,MC-Arauca,39320.37,37387.68
2023-04-13,12,PT1H,MC-Arauca,40806.22,38009.73
2023-04-13,13,PT1H,MC-Arauca,38832.97,35460.39
2023-04-13,14,PT1H,MC-Arauca,41560.24,37068.5
2023-04-13,15,PT1H,MC-Arauca,43893.56,38640.34
2023-04-13,16,PT1H,MC-Arauca,43960.48,37785.38
2023-04-13,17,PT1H,MC-Arauca,40249.47,36289.08
2023-04-13,18,PT1H,MC-Arauca,40559.57,36163.35
2023-04-13,19,PT1H,MC-Arauca,44075.82,40263.45
2023-04-13,20,PT1H,MC-Arauca,44552.75,40698.59
2023-04-13,21,PT1H,MC-Arauca,44171.05,39914.33
2023-04-13,22,PT1H,MC-Arauca,42813.94,38413.31
2023-04-13,23,PT1H,MC-Arauca,39790.49,35899.02
2023-04-13,24,PT1H,MC-Arauca,37013.36,33258.07
2025-10-14,1,PT1H,MC-Arauca,76159.86,73681.9
2025-10-14,2,PT1H,MC-Arauca,71261.62,70642.9
2025-10-14,3,PT1H,MC-Arauca,67125.84,67980.5
2025-10-14,4,PT1H,MC-Arauca,63768.1,65709.9
2025-10-14,5,PT1H,MC-Arauca,61023.44,64541.7
2025-10-14,6,PT1H,MC-Arauca,59212.44,63349.0
2025-10-14,7,PT1H,MC-Arauca,58956.34,62188.8
2025-10-14,8,PT1H,MC-Arauca,64945.76,66552.6
