Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Boyaca,240683.81,237287.83
2023-04-13,2,PT1H,MC-Boyaca,234806.34,232489.11
2023-04-13,3,PT1H,MC-Boyaca,222301.09,231859.38
2023-04-13,4,PT1H,MC-Boyaca,241408.91,229681.33
2023-04-13,5,PT1H,MC-Boyaca,259203.92,237624.0
2023-04-13,6,PT1H,MC-Boyaca,272259.25,255726.69
2023-04-13,7,PT1H,MC-Boyaca,273038.19,266214.09
2023-04-13,8,PT1H,MC-Boyaca,282219.63,265856.84
2023-04-13,9,PT1H,MC-Boyaca,273215.16,271863.63
2023-04-13,10,PT1H,MC-Boyaca,273749.34,271868.19
2023-04-13,11,PT1H,MC-Boyaca,284288.03,276418.41
2023-04-13,12,PT1H,MC-Boyaca,284076.06,282192.63
2023-04-13,13,PT1H,MC-Boyaca,257221.7,275988.09
2023-04-13,14,PT1H,MC-Boyaca,260695.06,276080.44
2023-04-13,15,PT1H,MC-Boyaca,254532.42,279068.53
2023-04-13,16,PT1H,MC-Boyaca,282499.19,276657.69
2023-04-13,17,PT1H,MC-Boyaca,298012.38,279050.22
2023-04-13,18,PT1H,MC-Boyaca,296449.41,283395.72
2023-04-13,19,PT1H,MC-Boyaca,301963.56,302696.59
2023-04-13,20,PT1H,MC-Boyaca,296970.16,301606.63
2023-04-13,21,PT1H,MC-Boyaca,295303.97,289396.91
2023-04-13,22,PT1H,MC-Boyaca,273022.69,275583.63
2023-04-13,23,PT1H,MC-Boyaca,265803.13,259383.61
2023-04-13,24,PT1H,MC-Boyaca,239088.06,241274.2
2025-10-14,1,PT1H,MC-Boyaca,442310.48,441349.2
2025-10-14,2,PT1H,MC-Boyaca,449312.26,431722.2
2025-10-14,3,PT1H,MC-Boyaca,445535.04,424800.0
2025-10-14,4,PT1H,MC-Boyaca,442031.52,428867.9
2025-10-14,5,PT1H,MC-Boyaca,458310.88,447096.4
2025-10-14,6,PT1H,MC-Boyaca,516408.86,478610.1
2025-10-14,7,PT1H,MC-Boyaca,527491.52,500213.1
2025-10-14,8,PT1H,MC-Boyaca,517740.54,488459.0
2025-10-14,9,PT1H,MC-Boyaca,512327.12,506859.3
2025-10-14,10,PT1H,MC-Boyaca,513416.04,511442.0
2025-10-14,11,PT1H,MC-Boyaca,540370.04,510298.2
2025-10-14,12,PT1H,MC-Boyaca,540380.1,529010.5
2025-10-14,13,PT1H,MC-Boyaca,541071.04,508782.6
2025-10-14,14,PT1H,MC-Boyaca,527507.22,506114.1
2025-10-14,15,PT1H,MC-Boyaca,551295.58,507673.8
2025-10-14,16,PT1H,MC-Boyaca,510654.54,503464.5
2025-10-14,17,PT1H,MC-Boyaca,516672.12,518988.5
2025-10-14,18,PT1H,MC-Boyaca,516908.56,535094.2
2025-10-14,19,PT1H,MC-Boyaca,604364.02,566963.6
2025-10-14,20,PT1H,MC-Boyaca,620199.44,577835.7
2025-10-14,21,PT1H,MC-Boyaca,609685.54,559208.6
2025-10-14,22,PT1H,MC-Boyaca,580223.74,529789.7
2025-10-14,23,PT1H,MC-Boyaca,519934.46,486892.5
2025-10-14,24,PT1H,MC-Boyaca,436580.0,444654.5
2026-02-06,1,PT1H,MC-Boyaca,217059.04,227001.6
2026-02-06,2,PT1H,MC-Boyaca,218287.11,226841.7
2026-02-06,3,PT1H,MC-Boyaca,208754.98,223831.6
2026-02-06,4,PT1H,MC-Boyaca,210453.82,223961.6
2026-02-06,5,PT1H,MC-Boyaca,221519.84,232104.2
2026-02-06,6,PT1H,MC-Boyaca,239052.08,247451.0
2026-02-06,7,PT1H,MC-Boyaca,258438.94,263387.5
2026-02-06,8,PT1H,MC-Boyaca,245881.91,259859.1
2026-02-06,9,PT1H,MC-Boyaca,252257.22,267866.7
2026-02-06,10,PT1H,MC-Boyaca,265250.33,267411.3
2026-02-06,11,PT1H,MC-Boyaca,262119.76,269853.4
2026-02-06,12,PT1H,MC-Boyaca,261150.62,273791.7
