Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Caldas,160583.84,163000.0
2023-04-13,2,PT1H,MC-Caldas,157092.25,156000.0
2023-04-13,3,PT1H,MC-Caldas,154952.33,155000.0
2023-04-13,4,PT1H,MC-Caldas,145540.53,155000.0
2023-04-13,5,PT1H,MC-Caldas,160392.84,162000.0
2023-04-13,6,PT1H,MC-Caldas,180204.55,179000.0
2023-04-13,7,PT1H,MC-Caldas,196163.44,192000.0
2023-04-13,8,PT1H,MC-Caldas,206233.2,202000.0
2023-04-13,9,PT1H,MC-Caldas,215933.3,209000.0
2023-04-13,10,PT1H,MC-Caldas,223895.02,214000.0
2023-04-13,11,PT1H,MC-Caldas,232910.77,226000.0
2023-04-13,12,PT1H,MC-Caldas,236111.78,232000.0
2023-04-13,13,PT1H,MC-Caldas,235388.36,229000.0
2023-04-13,14,PT1H,MC-Caldas,228806.59,223000.0
2023-04-13,15,PT1H,MC-Caldas,232134.25,221000.0
2023-04-13,16,PT1H,MC-Caldas,225839.89,222000.0
2023-04-13,17,PT1H,MC-Caldas,216357.64,220000.0
2023-04-13,18,PT1H,MC-Caldas,224882.14,219000.0
2023-04-13,19,PT1H,MC-Caldas,239677.47,238000.0
2023-04-13,20,PT1H,MC-Caldas,251624.88,244000.0
2023-04-13,21,PT1H,MC-Caldas,243309.86,237000.0
2023-04-13,22,PT1H,MC-Caldas,224455.91,218000.0
2023-04-13,23,PT1H,MC-Caldas,199801.05,197000.0
2023-04-13,24,PT1H,MC-Caldas,183221.41,178000.0
2025-10-14,1,PT1H,MC-Caldas,331645.54,332000.0
2025-10-14,2,PT1H,MC-Caldas,326802.66,316000.0
2025-10-14,3,PT1H,MC-Caldas,316116.58,310000.0
2025-10-14,4,PT1H,MC-Caldas,316096.76,310000.0
2025-10-14,5,PT1H,MC-Caldas,321808.18,320000.0
2025-10-14,6,PT1H,MC-Caldas,373970.94,354000.0
2025-10-14,7,PT1H,MC-Caldas,408526.92,382000.0
2025-10-14,8,PT1H,MC-Caldas,429305.38,406000.0
2025-10-14,9,PT1H,MC-Caldas,439647.9,420000.0
2025-10-14,10,PT1H,MC-Caldas,444802.2,434000.0
2025-10-14,11,PT1H,MC-Caldas,462531.34,450000.0
2025-10-14,12,PT1H,MC-Caldas,481967.72,468000.0
2025-10-14,13,PT1H,MC-Caldas,471492.32,460000.0
2025-10-14,14,PT1H,MC-Caldas,461639.0,450000.0
2025-10-14,15,PT1H,MC-Caldas,472259.36,458000.0
2025-10-14,16,PT1H,MC-Caldas,471557.06,460000.0
2025-10-14,17,PT1H,MC-Caldas,450310.22,462000.0
2025-10-14,18,PT1H,MC-Caldas,448980.36,466000.0
2025-10-14,19,PT1H,MC-Caldas,509623.24,502000.0
2025-10-14,20,PT1H,MC-Caldas,521886.92,496000.0
2025-10-14,21,PT1H,MC-Caldas,493780.04,480000.0
2025-10-14,22,PT1H,MC-Caldas,458803.12,446000.0
2025-10-14,23,PT1H,MC-Caldas,404810.5,396000.0
2025-10-14,24,PT1H,MC-Caldas,365275.02,360000.0
2026-02-06,1,PT1H,MC-Caldas,171133.48,168412.4
2026-02-06,2,PT1H,MC-Caldas,163683.25,162504.3
2026-02-06,3,PT1H,MC-Caldas,162633.12,159295.5
2026-02-06,4,PT1H,MC-Caldas,165768.11,158775.4
2026-02-06,5,PT1H,MC-Caldas,165181.87,164904.2
2026-02-06,6,PT1H,MC-Caldas,183542.81,181218.4
2026-02-06,7,PT1H,MC-Caldas,199357.41,194868.3
2026-02-06,8,PT1H,MC-Caldas,211305.59,205032.0
2026-02-06,9,PT1H,MC-Caldas,218701.65,210968.7
2026-02-06,10,PT1H,MC-Caldas,221564.32,217638.6
2026-02-06,11,PT1H,MC-Caldas,224562.34,229065.0
2026-02-06,12,PT1H,MC-Caldas,239087.73,238646.4
2026-02-06,13,PT1H,MC-Caldas,234018.93,234080.8
2026-02-06,14,PT1H,MC-Caldas,227851.18,229887.2
2026-02-06,15,PT1H,MC-Caldas,238570.41,229169.7
2026-02-06,16,PT1H,MC-Caldas,236769.87,228402.8
2026-02-06,17,PT1H,MC-Caldas,230402.84,226280.3
2026-02-06,18,PT1H,MC-Caldas,229842.43,226227.0
2026-02-06,19,PT1H,MC-Caldas,246781.52,241381.0
2026-02-06,20,PT1H,MC-Caldas,250680.39,247296.7
2026-02-06,21,PT1H,MC-Caldas,246229.24,239461.5
2026-02-06,22,PT1H,MC-Caldas,230593.07,223382.4
2026-02-06,23,PT1H,MC-Caldas,203878.61,199939.7
2026-02-06,24,PT1H,MC-Caldas,181354.01,181363.8
2023-02-07,1,PT1H,MC-Caldas,170919.66,165000.0
2023-02-07,2,PT1H,MC-Caldas,159404.2,159000.0
2023-02-07,3,PT1H,MC-Caldas,148914.31,156000.0
2023-02-07,4,PT1H,MC-Caldas,161302.8,156000.0
2023-02-07,5,PT1H,MC-Caldas,167203.3,162000.0
2023-02-07,6,PT1H,MC-Caldas,188982.19,178000.0
2023-02-07,7,PT1H,MC-Caldas,200105.75,193000.0
2023-02-07,8,PT1H,MC-Caldas,207742.53,204000.0
2023-02-07,9,PT1H,MC-Caldas,214398.64,211000.0
2023-02-07,10,PT1H,MC-Caldas,207839.5,217000.0
2023-02-07,11,PT1H,MC-Caldas,214837.41,228000.0
2023-02-07,12,PT1H,MC-Caldas,218482.22,237000.0
2023-02-07,13,PT1H,MC-Caldas,218147.59,232000.0
2023-02-07,14,PT1H,MC-Caldas,225294.59,230000.0
2023-02-07,15,PT1H,MC-Caldas,231919.8,229000.0
2023-02-07,16,PT1H,MC-Caldas,230895.5,228000.0
2023-02-07,17,PT1H,MC-Caldas,227439.22,222000.0
2023-02-07,18,PT1H,MC-Caldas,223881.58,224000.0
2023-02-07,19,PT1H,MC-Caldas,242446.53,242000.0
2023-02-07,20,PT1H,MC-Caldas,251051.89,245000.0
2023-02-07,21,PT1H,MC-Caldas,244343.48,235000.0
2023-02-07,22,PT1H,MC-Caldas,227239.84,216000.0
