Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2025-10-14,1,PT1H,MC-Centro,2778618.62,2782000.0
2025-10-14,2,PT1H,MC-Centro,2670769.86,2652000.0
2025-10-14,3,PT1H,MC-Centro,2592027.18,2576000.0
2025-10-14,4,PT1H,MC-Centro,2670312.6,2620000.0
2025-10-14,5,PT1H,MC-Centro,3005712.1,2936000.0
2025-10-14,6,PT1H,MC-Centro,3485683.64,3478000.0
2025-10-14,7,PT1H,MC-Centro,3690441.52,3676000.0
2025-10-14,8,PT1H,MC-Centro,3985944.6,3928000.0
2025-10-14,9,PT1H,MC-Centro,4236009.44,4142000.0
2025-10-14,10,PT1H,MC-Centro,4352205.68,4314000.0
2025-10-14,11,PT1H,MC-Centro,4495708.3,4450000.0
2025-10-14,12,PT1H,MC-Centro,4608406.48,4552000.0
2025-10-14,13,PT1H,MC-Centro,4576684.02,4528000.0
2025-10-14,14,PT1H,MC-Centro,4485251.1,4434000.0
2025-10-14,15,PT1H,MC-Centro,4465604.42,4428000.0
2025-10-14,16,PT1H,MC-Centro,4451084.26,4412000.0
2025-10-14,17,PT1H,MC-Centro,4395441.02,4330000.0
2025-10-14,18,PT1H,MC-Centro,4384514.34,4292000.0
2025-10-14,19,PT1H,MC-Centro,4650521.78,4532000.0
2025-10-14,20,PT1H,MC-Centro,4628623.1,4560000.0
2025-10-14,21,PT1H,MC-Centro,4448492.54,4374000.0
2025-10-14,22,PT1H,MC-Centro,4056669.84,4002000.0
2025-10-14,23,PT1H,MC-Centro,3628855.02,3562000.0
2025-10-14,24,PT1H,MC-Centro,3313811.9,3264000.0
2026-02-06,1,PT1H,MC-Centro,1581202.31,1608000.0
2026-02-06,2,PT1H,MC-Centro,1518892.4,1522000.0
2026-02-06,3,PT1H,MC-Centro,1488216.12,1479000.0
2026-02-06,4,PT1H,MC-Centro,1486713.22,1480000.0
2026-02-06,5,PT1H,MC-Centro,1640614.32,1641000.0
2026-02-06,6,PT1H,MC-Centro,1865674.8,1858000.0
2026-02-06,7,PT1H,MC-Centro,1959844.65,1965000.0
2026-02-06,8,PT1H,MC-Centro,2065208.65,2094000.0
2026-02-06,9,PT1H,MC-Centro,2171737.46,2205000.0
2026-02-06,10,PT1H,MC-Centro,2203758.51,2259000.0
2026-02-06,11,PT1H,MC-Centro,2284580.51,2330000.0
2026-02-06,12,PT1H,MC-Centro,2326024.27,2361000.0
2026-02-06,13,PT1H,MC-Centro,2312497.82,2344000.0
2026-02-06,14,PT1H,MC-Centro,2253800.51,2281000.0
2026-02-06,15,PT1H,MC-Centro,2260711.98,2273000.0
2026-02-06,16,PT1H,MC-Centro,2276381.63,2246000.0
2026-02-06,17,PT1H,MC-Centro,2219100.42,2215000.0
2026-02-06,18,PT1H,MC-Centro,2160685.32,2189000.0
2026-02-06,19,PT1H,MC-Centro,2270080.3,2292000.0
2026-02-06,20,PT1H,MC-Centro,2294752.49,2300000.0
2026-02-06,21,PT1H,MC-Centro,2203202.17,2220000.0
2026-02-06,22,PT1H,MC-Centro,2031424.29,2046000.0
2026-02-06,23,PT1H,MC-Centro,1845262.1,1865000.0
2026-02-06,24,PT1H,MC-Centro,1670903.77,1707000.0
2025-07-02,1,PT1H,MC-Centro,1523761.26,1531000.0
2025-07-02,2,PT1H,MC-Centro,1463410.07,1473000.0
2025-07-02,3,PT1H,MC-Centro,1417089.71,1424000.0
2025-07-02,4,PT1H,MC-Centro,1408614.6,1420000.0
2025-07-02,5,PT1H,MC-Centro,1491335.82,1495000.0
2025-07-02,6,PT1H,MC-Centro,1615839.82,1630000.0
2025-07-02,7,PT1H,MC-Centro,1799648.21,1818000.0
2025-07-02,8,PT1H,MC-Centro,1983817.52,2005000.0
2025-07-02,9,PT1H,MC-Centro,2095944.4,2112000.0
2025-07-02,10,PT1H,MC-Centro,2158704.75,2164000.0
2025-07-02,11,PT1H,MC-Centro,2220573.57,2238000.0
2025-07-02,12,PT1H,MC-Centro,2290774.28,2291000.0
2025-07-02,13,PT1H,MC-Centro,2308429.56,2290000.0
2025-07-02,14,PT1H,MC-Centro,2252872.05,2239000.0
2025-07-02,15,PT1H,MC-Centro,2238468.04,2235000.0
2025-07-02,16,PT1H,MC-Centro,2230304.32,2212000.0
2025-07-02,17,PT1H,MC-Centro,2171290.12,2162000.0
2025-07-02,18,PT1H,MC-Centro,2147043.09,2116000.0
2025-07-02,19,PT1H,MC-Centro,2246499.76,2214000.0
2025-07-02,20,PT1H,MC-Centro,2269339.17,2255000.0
2025-07-02,21,PT1H,MC-Centro,2186150.66,2178000.0
2025-07-02,22,PT1H,MC-Centro,2011448.23,2006000.0
2025-07-02,23,PT1H,MC-Centro,1798316.58,1793000.0
2025-07-02,24,PT1H,MC-Centro,1652929.12,1639000.0
2025-05-06,1,PT1H,MC-Centro,1519977.01,1541000.0
2025-05-06,2,PT1H,MC-Centro,1462084.87,1479000.0
2025-05-06,3,PT1H,MC-Centro,1424559.49,1434000.0
2025-05-06,4,PT1H,MC-Centro,1422683.53,1437000.0
2025-05-06,5,PT1H,MC-Centro,1552163.91,1566000.0
2025-05-06,6,PT1H,MC-Centro,1811799.09,1818000.0
2025-05-06,7,PT1H,MC-Centro,1906974.76,1906000.0
2025-05-06,8,PT1H,MC-Centro,2023252.17,2022000.0
2025-05-06,9,PT1H,MC-Centro,2113426.8,2118000.0
2025-05-06,10,PT1H,MC-Centro,2159684.86,2166000.0
2025-05-06,11,PT1H,MC-Centro,2228045.84,2232000.0
2025-05-06,12,PT1H,MC-Centro,2272338.15,2309000.0
2025-05-06,13,PT1H,MC-Centro,2253224.11,2296000.0
2025-05-06,14,PT1H,MC-Centro,2204741.29,2244000.0
2025-05-06,15,PT1H,MC-Centro,2227197.76,2251000.0
2025-05-06,16,PT1H,MC-Centro,2209052.64,2245000.0
2025-05-06,17,PT1H,MC-Centro,2176455.42,2207000.0
2025-05-06,18,PT1H,MC-Centro,2143136.1,2156000.0
2025-05-06,19,PT1H,MC-Centro,2264876.03,2275000.0
2025-05-06,20,PT1H,MC-Centro,2282438.5,2298000.0
2025-05-06,21,PT1H,MC-Centro,2207068.01,2215000.0
2025-05-06,22,PT1H,MC-Centro,2022409.92,2031000.0
2025-05-06,23,PT1H,MC-Centro,1805454.4,1811000.0
2025-05-06,24,PT1H,MC-Centro,1647709.2,1658000.0
2025-02-26,1,PT1H,MC-Centro,1549876.35,1567230.0
2025-02-26,2,PT1H,MC-Centro,1488819.11,1502470.0
2025-02-26,3,PT1H,MC-Centro,1451695.08,1458450.0
2025-02-26,4,PT1H,MC-Centro,1463725.98,1466270.0
2025-02-26,5,PT1H,MC-Centro,1603771.63,1623760.0
2025-02-26,6,PT1H,MC-Centro,1870387.07,1869710.0
2025-02-26,7,PT1H,MC-Centro,1950747.82,1932590.0
2025-02-26,8,PT1H,MC-Centro,2071249.78,2049060.0
2025-02-26,9,PT1H,MC-Centro,2148992.78,2120370.0
2025-02-26,10,PT1H,MC-Centro,2200594.95,2161180.0
2025-02-26,11,PT1H,MC-Centro,2263745.44,2232920.0
2025-02-26,12,PT1H,MC-Centro,2284414.48,2275340.0
2025-02-26,13,PT1H,MC-Centro,2260821.9,2255280.0
2025-02-26,14,PT1H,MC-Centro,2221536.83,2216340.0
2025-02-26,15,PT1H,MC-Centro,2196819.76,2226330.0
2025-02-26,16,PT1H,MC-Centro,2219183.25,2234500.0
2025-02-26,17,PT1H,MC-Centro,2178867.52,2199230.0
2025-02-26,18,PT1H,MC-Centro,2136849.27,2172690.0
2025-02-26,19,PT1H,MC-Centro,2251176.27,2273530.0
2025-02-26,20,PT1H,MC-Centro,2287844.36,2319190.0
2025-02-26,21,PT1H,MC-Centro,2201417.84,2216320.0
2025-02-26,22,PT1H,MC-Centro,2005586.68,2024550.0
2025-02-26,23,PT1H,MC-Centro,1798363.27,1823250.0
2025-02-26,24,PT1H,MC-Centro,1656206.55,1670620.0
2025-05-08,1,PT1H,MC-Centro,1531233.6,1557000.0
2025-05-08,2,PT1H,MC-Centro,1463568.47,1494000.0
2025-05-08,3,PT1H,MC-Centro,1426256.52,1442000.0
2025-05-08,4,PT1H,MC-Centro,1424243.67,1444000.0
2025-05-08,5,PT1H,MC-Centro,1559700.76,1569000.0
2025-05-08,6,PT1H,MC-Centro,1816591.78,1824000.0
2025-05-08,7,PT1H,MC-Centro,1906176.76,1915000.0
2025-05-08,8,PT1H,MC-Centro,2015577.39,2039000.0
2025-05-08,9,PT1H,MC-Centro,2116146.62,2131000.0
2025-05-08,10,PT1H,MC-Centro,2166473.22,2173000.0
2025-05-08,11,PT1H,MC-Centro,2245417.42,2231000.0
2025-05-08,12,PT1H,MC-Centro,2305817.63,2264000.0
2025-05-08,13,PT1H,MC-Centro,2293995.4,2253000.0
2025-05-08,14,PT1H,MC-Centro,2234393.96,2209000.0
2025-05-08,15,PT1H,MC-Centro,2234528.16,2201000.0
2025-05-08,16,PT1H,MC-Centro,2235675.1,2203000.0
2025-05-08,17,PT1H,MC-Centro,2178666.25,2163000.0
2025-05-08,18,PT1H,MC-Centro,2156044.97,2152000.0
2025-05-08,19,PT1H,MC-Centro,2266000.17,2274000.0
2025-05-08,20,PT1H,MC-Centro,2285448.39,2296000.0
2025-05-08,21,PT1H,MC-Centro,2199355.44,2214000.0
2025-05-08,22,PT1H,MC-Centro,2019900.97,2035000.0
2025-05-08,23,PT1H,MC-Centro,1806177.31,1822000.0
2025-05-08,24,PT1H,MC-Centro,1651648.89,1673000.0
2025-06-02,1,PT1H,MC-Centro,1302756.9,1340000.0
2025-06-02,2,PT1H,MC-Centro,1236685.94,1268000.0
2025-06-02,3,PT1H,MC-Centro,1189118.27,1221000.0
2025-06-02,4,PT1H,MC-Centro,1167031.83,1203000.0
2025-06-02,5,PT1H,MC-Centro,1180524.5,1220000.0
2025-06-02,6,PT1H,MC-Centro,1191461.63,1231000.0
2025-06-02,7,PT1H,MC-Centro,1236355.22,1291000.0
2025-06-02,8,PT1H,MC-Centro,1371790.59,1447000.0
2025-06-02,9,PT1H,MC-Centro,1524461.03,1594000.0
2025-06-02,10,PT1H,MC-Centro,1655972.78,1714000.0
2025-06-02,11,PT1H,MC-Centro,1779584.46,1832000.0
2025-06-02,12,PT1H,MC-Centro,1847723.04,1897000.0
2025-06-02,13,PT1H,MC-Centro,1873994.01,1919000.0
2025-06-02,14,PT1H,MC-Centro,1839494.8,1890000.0
2025-06-02,15,PT1H,MC-Centro,1782114.57,1832000.0
2025-06-02,16,PT1H,MC-Centro,1739333.29,1794000.0
2025-06-02,17,PT1H,MC-Centro,1720350.28,1780000.0
2025-06-02,18,PT1H,MC-Centro,1749664.06,1824000.0
2025-06-02,19,PT1H,MC-Centro,1911261.9,1980000.0
2025-06-02,20,PT1H,MC-Centro,1968684.61,2008000.0
2025-06-02,21,PT1H,MC-Centro,1894173.89,1928000.0
2025-06-02,22,PT1H,MC-Centro,1747993.94,1774000.0
2025-06-02,23,PT1H,MC-Centro,1585916.4,1624000.0
2025-06-02,24,PT1H,MC-Centro,1446952.26,1491000.0
