Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Cesar,244775.2,253591.88
2023-04-13,2,PT1H,MC-Cesar,236134.02,245203.86
2023-04-13,3,PT1H,MC-Cesar,226316.16,234708.92
2023-04-13,4,PT1H,MC-Cesar,220857.97,227727.58
2023-04-13,5,PT1H,MC-Cesar,214912.5,220700.16
2023-04-13,6,PT1H,MC-Cesar,201010.19,209798.3
2023-04-13,7,PT1H,MC-Cesar,181140.88,199160.61
2023-04-13,8,PT1H,MC-Cesar,190017.02,200567.25
2023-04-13,9,PT1H,MC-Cesar,201629.59,212531.61
2023-04-13,10,PT1H,MC-Cesar,211039.47,223742.09
2023-04-13,11,PT1H,MC-Cesar,228442.73,235242.33
2023-04-13,12,PT1H,MC-Cesar,237741.0,246294.34
2023-04-13,13,PT1H,MC-Cesar,244737.86,254118.03
2023-04-13,14,PT1H,MC-Cesar,266345.41,265140.03
2023-04-13,15,PT1H,MC-Cesar,282160.47,275164.69
2023-04-13,16,PT1H,MC-Cesar,276070.22,275082.56
2023-04-13,17,PT1H,MC-Cesar,259193.17,256465.03
2023-04-13,18,PT1H,MC-Cesar,240007.0,240412.47
2023-04-13,19,PT1H,MC-Cesar,250510.95,252116.28
2023-04-13,20,PT1H,MC-Cesar,263427.97,263959.09
2023-04-13,21,PT1H,MC-Cesar,271817.91,272814.06
2023-04-13,22,PT1H,MC-Cesar,275339.34,277475.0
2023-04-13,23,PT1H,MC-Cesar,269705.34,273424.44
2023-04-13,24,PT1H,MC-Cesar,259082.52,261730.38
2025-10-14,1,PT1H,MC-Cesar,546722.46,546466.9
2025-10-14,2,PT1H,MC-Cesar,528475.9,527631.5
2025-10-14,3,PT1H,MC-Cesar,511555.24,507848.6
2025-10-14,4,PT1H,MC-Cesar,496416.0,489417.7
2025-10-14,5,PT1H,MC-Cesar,481067.88,472117.7
2025-10-14,6,PT1H,MC-Cesar,453609.54,453917.7
2025-10-14,7,PT1H,MC-Cesar,399748.74,407322.7
2025-10-14,8,PT1H,MC-Cesar,398310.74,406749.8
2025-10-14,9,PT1H,MC-Cesar,399496.32,422524.8
2025-10-14,10,PT1H,MC-Cesar,407057.2,438649.8
2025-10-14,11,PT1H,MC-Cesar,436202.62,457549.8
2025-10-14,12,PT1H,MC-Cesar,469448.32,478089.2
2025-10-14,13,PT1H,MC-Cesar,490989.16,502275.2
2025-10-14,14,PT1H,MC-Cesar,554642.42,530675.2
2025-10-14,15,PT1H,MC-Cesar,588236.12,556725.2
2025-10-14,16,PT1H,MC-Cesar,589992.82,556275.3
2025-10-14,17,PT1H,MC-Cesar,578778.54,535037.8
2025-10-14,18,PT1H,MC-Cesar,576681.2,513800.2
2025-10-14,19,PT1H,MC-Cesar,621970.4,551318.0
2025-10-14,20,PT1H,MC-Cesar,639832.68,570884.2
2025-10-14,21,PT1H,MC-Cesar,650546.2,582793.0
2025-10-14,22,PT1H,MC-Cesar,649235.58,588709.7
2025-10-14,23,PT1H,MC-Cesar,629403.32,579695.0
2025-10-14,24,PT1H,MC-Cesar,596459.58,553581.0
2026-02-06,1,PT1H,MC-Cesar,314838.63,295645.8
2026-02-06,2,PT1H,MC-Cesar,296369.91,282389.5
2026-02-06,3,PT1H,MC-Cesar,282542.81,270140.7
2026-02-06,4,PT1H,MC-Cesar,267975.99,258903.1
2026-02-06,5,PT1H,MC-Cesar,256123.87,248803.1
2026-02-06,6,PT1H,MC-Cesar,243212.24,238543.1
2026-02-06,7,PT1H,MC-Cesar,221429.85,217069.3
2026-02-06,8,PT1H,MC-Cesar,209589.65,206975.5
2026-02-06,9,PT1H,MC-Cesar,207754.1,204544.3
2026-02-06,10,PT1H,MC-Cesar,208585.37,207670.4
2026-02-06,11,PT1H,MC-Cesar,215070.05,215732.9
2026-02-06,12,PT1H,MC-Cesar,222223.12,231689.2
2026-02-06,13,PT1H,MC-Cesar,225057.03,250002.9
2026-02-06,14,PT1H,MC-Cesar,247241.04,269740.2
2026-02-06,15,PT1H,MC-Cesar,267558.26,290019.7
2026-02-06,16,PT1H,MC-Cesar,267279.76,290191.4
2026-02-06,17,PT1H,MC-Cesar,257658.57,283511.4
2026-02-06,18,PT1H,MC-Cesar,251186.84,276883.4
2026-02-06,19,PT1H,MC-Cesar,271046.84,294090.4
2026-02-06,20,PT1H,MC-Cesar,281396.85,300501.7
2026-02-06,21,PT1H,MC-Cesar,288583.85,307395.4
2026-02-06,22,PT1H,MC-Cesar,295549.11,314600.0
2026-02-06,23,PT1H,MC-Cesar,295495.32,314446.6
2026-02-06,24,PT1H,MC-Cesar,283556.02,302486.2
2023-02-07,1,PT1H,MC-Cesar,237589.3,220515.92
2023-02-07,2,PT1H,MC-Cesar,228079.58,211703.19
2023-02-07,3,PT1H,MC-Cesar,218688.0,204045.95
2023-02-07,4,PT1H,MC-Cesar,211779.95,197696.36
2023-02-07,5,PT1H,MC-Cesar,205892.42,191246.36
2023-02-07,6,PT1H,MC-Cesar,198163.55,186671.36
2023-02-07,7,PT1H,MC-Cesar,178445.61,173423.84
2023-02-07,8,PT1H,MC-Cesar,180982.59,171287.42
2023-02-07,9,PT1H,MC-Cesar,189886.03,179724.92
2023-02-07,10,PT1H,MC-Cesar,196990.23,187049.92
