Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-CiraInfanta,49120.0,50300.0
2023-04-13,2,PT1H,MC-CiraInfanta,48800.0,50300.0
2023-04-13,3,PT1H,MC-CiraInfanta,48960.0,50300.0
2023-04-13,4,PT1H,MC-CiraInfanta,48000.0,50300.0
2023-04-13,5,PT1H,MC-CiraInfanta,47680.0,50300.0
2023-04-13,6,PT1H,MC-CiraInfanta,47840.0,50300.0
2023-04-13,7,PT1H,MC-CiraInfanta,47040.0,50300.0
2023-04-13,8,PT1H,MC-CiraInfanta,47360.0,50300.0
2023-04-13,9,PT1H,MC-CiraInfanta,47520.0,50300.0
2023-04-13,10,PT1H,MC-CiraInfanta,47840.0,50300.0
2023-04-13,11,PT1H,MC-CiraInfanta,48800.0,50300.0
2023-04-13,12,PT1H,MC-CiraInfanta,48160.0,50300.0
2023-04-13,13,PT1H,MC-CiraInfanta,48320.0,50300.0
2023-04-13,14,PT1H,MC-CiraInfanta,48640.0,50300.0
2023-04-13,15,PT1H,MC-CiraInfanta,49920.0,50300.0
2023-04-13,16,PT1H,MC-CiraInfanta,50880.0,50300.0
2023-04-13,17,PT1H,MC-CiraInfanta,49920.0,50300.0
2023-04-13,18,PT1H,MC-CiraInfanta,49280.0,50300.0
2023-04-13,19,PT1H,MC-CiraInfanta,50400.0,50300.0
2023-04-13,20,PT1H,MC-CiraInfanta,50880.0,50300.0
2023-04-13,21,PT1H,MC-CiraInfanta,50720.0,50300.0
2023-04-13,22,PT1H,MC-CiraInfanta,50240.0,50300.0
2023-04-13,23,PT1H,MC-CiraInfanta,49600.0,50300.0
2023-04-13,24,PT1H,MC-CiraInfanta,49440.0,50300.0
2025-10-14,1,PT1H,MC-CiraInfanta,97920.0,102000.0
2025-10-14,2,PT1H,MC-CiraInfanta,97600.0,100000.0
2025-10-14,3,PT1H,MC-CiraInfanta,96960.0,100000.0
2025-10-14,4,PT1H,MC-CiraInfanta,96320.0,100000.0
2025-10-14,5,PT1H,MC-CiraInfanta,96000.0,100000.0
2025-10-14,6,PT1H,MC-CiraInfanta,96960.0,100000.0
2025-10-14,7,PT1H,MC-CiraInfanta,87680.0,96000.0
2025-10-14,8,PT1H,MC-CiraInfanta,64640.0,90000.0
2025-10-14,9,PT1H,MC-CiraInfanta,38400.0,72000.0
2025-10-14,10,PT1H,MC-CiraInfanta,36800.0,66000.0
2025-10-14,11,PT1H,MC-CiraInfanta,49280.0,54000.0
2025-10-14,12,PT1H,MC-CiraInfanta,43200.0,46000.0
2025-10-14,13,PT1H,MC-CiraInfanta,40640.0,46000.0
2025-10-14,14,PT1H,MC-CiraInfanta,44800.0,50000.0
2025-10-14,15,PT1H,MC-CiraInfanta,66240.0,52000.0
2025-10-14,16,PT1H,MC-CiraInfanta,73920.0,54000.0
2025-10-14,17,PT1H,MC-CiraInfanta,85760.0,64000.0
2025-10-14,18,PT1H,MC-CiraInfanta,102720.0,50000.0
2025-10-14,19,PT1H,MC-CiraInfanta,107520.0,106000.0
2025-10-14,20,PT1H,MC-CiraInfanta,107520.0,108000.0
2025-10-14,21,PT1H,MC-CiraInfanta,107200.0,108000.0
2025-10-14,22,PT1H,MC-CiraInfanta,106560.0,108000.0
2025-10-14,23,PT1H,MC-CiraInfanta,104960.0,106000.0
2025-10-14,24,PT1H,MC-CiraInfanta,104000.0,104000.0
2026-02-06,1,PT1H,MC-CiraInfanta,48800.0,51000.0
2026-02-06,2,PT1H,MC-CiraInfanta,48320.0,50000.0
2026-02-06,3,PT1H,MC-CiraInfanta,47840.0,50000.0
2026-02-06,4,PT1H,MC-CiraInfanta,47360.0,50000.0
2026-02-06,5,PT1H,MC-CiraInfanta,46880.0,49000.0
2026-02-06,6,PT1H,MC-CiraInfanta,46880.0,49000.0
2026-02-06,7,PT1H,MC-CiraInfanta,45440.0,47000.0
2026-02-06,8,PT1H,MC-CiraInfanta,41440.0,43000.0
2026-02-06,9,PT1H,MC-CiraInfanta,36160.0,35000.0
2026-02-06,10,PT1H,MC-CiraInfanta,33600.0,33000.0
2026-02-06,11,PT1H,MC-CiraInfanta,27200.0,24000.0
2026-02-06,12,PT1H,MC-CiraInfanta,26560.0,21000.0
2026-02-06,13,PT1H,MC-CiraInfanta,32960.0,19000.0
2026-02-06,14,PT1H,MC-CiraInfanta,32000.0,20000.0
2026-02-06,15,PT1H,MC-CiraInfanta,37440.0,25000.0
2026-02-06,16,PT1H,MC-CiraInfanta,35680.0,29000.0
2026-02-06,17,PT1H,MC-CiraInfanta,40480.0,29000.0
2026-02-06,18,PT1H,MC-CiraInfanta,42240.0,32000.0
2026-02-06,19,PT1H,MC-CiraInfanta,48160.0,53000.0
2026-02-06,20,PT1H,MC-CiraInfanta,49120.0,53000.0
2026-02-06,21,PT1H,MC-CiraInfanta,49440.0,53000.0
2026-02-06,22,PT1H,MC-CiraInfanta,49120.0,52000.0
2026-02-06,23,PT1H,MC-CiraInfanta,48960.0,52000.0
2026-02-06,24,PT1H,MC-CiraInfanta,48480.0,51000.0
2023-02-07,1,PT1H,MC-CiraInfanta,51040.0,51000.0
2023-02-07,2,PT1H,MC-CiraInfanta,50720.0,51000.0
2023-02-07,3,PT1H,MC-CiraInfanta,50400.0,51000.0
2023-02-07,4,PT1H,MC-CiraInfanta,50080.0,51000.0
2023-02-07,5,PT1H,MC-CiraInfanta,50240.0,51000.0
2023-02-07,6,PT1H,MC-CiraInfanta,50080.0,51000.0
2023-02-07,7,PT1H,MC-CiraInfanta,50400.0,51000.0
2023-02-07,8,PT1H,MC-CiraInfanta,49440.0,51000.0
2023-02-07,9,PT1H,MC-CiraInfanta,49760.0,51000.0
2023-02-07,10,PT1H,MC-CiraInfanta,49440.0,51000.0
2023-02-07,11,PT1H,MC-CiraInfanta,49440.0,51000.0
2023-02-07,12,PT1H,MC-CiraInfanta,49920.0,51000.0
2023-02-07,13,PT1H,MC-CiraInfanta,50720.0,51000.0
2023-02-07,14,PT1H,MC-CiraInfanta,52000.0,51000.0
2023-02-07,15,PT1H,MC-CiraInfanta,52800.0,51000.0
2023-02-07,16,PT1H,MC-CiraInfanta,52000.0,51000.0
2023-02-07,17,PT1H,MC-CiraInfanta,50240.0,51000.0
2023-02-07,18,PT1H,MC-CiraInfanta,51040.0,51000.0
2023-02-07,19,PT1H,MC-CiraInfanta,52800.0,51000.0
2023-02-07,20,PT1H,MC-CiraInfanta,52320.0,51000.0
2023-02-07,21,PT1H,MC-CiraInfanta,52320.0,51000.0
2023-02-07,22,PT1H,MC-CiraInfanta,52000.0,51000.0
2023-02-07,23,PT1H,MC-CiraInfanta,51840.0,51000.0
2023-02-07,24,PT1H,MC-CiraInfanta,50880.0,51010.0
2023-05-06,1,PT1H,MC-CiraInfanta,52160.0,50300.0
2023-05-06,2,PT1H,MC-CiraInfanta,51200.0,50300.0
