Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Huila,129444.3,118656.55
2023-04-13,2,PT1H,MC-Huila,124136.03,113348.16
2023-04-13,3,PT1H,MC-Huila,120501.0,110826.86
2023-04-13,4,PT1H,MC-Huila,117535.54,109502.43
2023-04-13,5,PT1H,MC-Huila,117116.22,109440.87
2023-04-13,6,PT1H,MC-Huila,124728.08,113772.57
2023-04-13,7,PT1H,MC-Huila,133025.95,120396.82
2023-04-13,8,PT1H,MC-Huila,141604.91,131704.81
2023-04-13,9,PT1H,MC-Huila,146531.45,138225.52
2023-04-13,10,PT1H,MC-Huila,147245.72,147442.86
2023-04-13,11,PT1H,MC-Huila,152882.44,155241.2
2023-04-13,12,PT1H,MC-Huila,158773.0,161696.77
2023-04-13,13,PT1H,MC-Huila,152797.22,159847.23
2023-04-13,14,PT1H,MC-Huila,156151.19,159933.03
2023-04-13,15,PT1H,MC-Huila,166672.59,168880.58
2023-04-13,16,PT1H,MC-Huila,172582.89,171737.94
2023-04-13,17,PT1H,MC-Huila,181229.05,171505.48
2023-04-13,18,PT1H,MC-Huila,180399.28,169084.81
2023-04-13,19,PT1H,MC-Huila,189729.23,174325.63
2023-04-13,20,PT1H,MC-Huila,192770.61,176630.89
2023-04-13,21,PT1H,MC-Huila,182774.5,168193.97
2023-04-13,22,PT1H,MC-Huila,169200.14,153356.81
2023-04-13,23,PT1H,MC-Huila,152404.23,138041.59
2023-04-13,24,PT1H,MC-Huila,138042.89,126071.04
2025-10-14,1,PT1H,MC-Huila,237167.3,269611.0
2025-10-14,2,PT1H,MC-Huila,216055.62,259242.4
2025-10-14,3,PT1H,MC-Huila,198191.48,250930.3
2025-10-14,4,PT1H,MC-Huila,185669.9,247895.7
2025-10-14,5,PT1H,MC-Huila,186134.8,248840.8
2025-10-14,6,PT1H,MC-Huila,197519.7,258014.6
2025-10-14,7,PT1H,MC-Huila,222290.32,271022.6
2025-10-14,8,PT1H,MC-Huila,239258.52,288182.9
2025-10-14,9,PT1H,MC-Huila,247744.28,299040.1
2025-10-14,10,PT1H,MC-Huila,260573.84,317232.8
2025-10-14,11,PT1H,MC-Huila,273010.16,334277.2
2025-10-14,12,PT1H,MC-Huila,295363.18,343643.4
2025-10-14,13,PT1H,MC-Huila,284338.28,334888.9
2025-10-14,14,PT1H,MC-Huila,280318.4,333947.5
2025-10-14,15,PT1H,MC-Huila,294232.06,353146.7
2025-10-14,16,PT1H,MC-Huila,300590.26,367260.2
2025-10-14,17,PT1H,MC-Huila,321390.14,381010.2
2025-10-14,18,PT1H,MC-Huila,334991.68,382935.1
2025-10-14,19,PT1H,MC-Huila,384278.94,402399.4
2025-10-14,20,PT1H,MC-Huila,386547.18,399653.4
2025-10-14,21,PT1H,MC-Huila,367413.72,384791.9
2025-10-14,22,PT1H,MC-Huila,340853.28,351203.7
2025-10-14,23,PT1H,MC-Huila,288468.04,318818.4
2025-10-14,24,PT1H,MC-Huila,247782.8,294428.7
2026-02-06,1,PT1H,MC-Huila,106635.31,125918.0
2026-02-06,2,PT1H,MC-Huila,104562.92,120154.7
2026-02-06,3,PT1H,MC-Huila,101377.06,116469.1
2026-02-06,4,PT1H,MC-Huila,108085.55,112773.2
2026-02-06,5,PT1H,MC-Huila,105342.35,114041.7
2026-02-06,6,PT1H,MC-Huila,105486.19,117765.1
2026-02-06,7,PT1H,MC-Huila,115769.02,121313.5
2026-02-06,8,PT1H,MC-Huila,124469.19,135384.0
2026-02-06,9,PT1H,MC-Huila,131628.33,138552.0
2026-02-06,10,PT1H,MC-Huila,135110.54,142364.4
2026-02-06,11,PT1H,MC-Huila,137394.66,145275.2
2026-02-06,12,PT1H,MC-Huila,139711.64,152883.0
2026-02-06,13,PT1H,MC-Huila,134907.88,145775.8
2026-02-06,14,PT1H,MC-Huila,132887.32,144651.2
2026-02-06,15,PT1H,MC-Huila,148753.9,146958.6
2026-02-06,16,PT1H,MC-Huila,153296.33,150366.5
2026-02-06,17,PT1H,MC-Huila,155426.94,155197.3
2026-02-06,18,PT1H,MC-Huila,158698.67,160017.7
2026-02-06,19,PT1H,MC-Huila,179398.96,185110.8
2026-02-06,20,PT1H,MC-Huila,184865.91,188220.4
2026-02-06,21,PT1H,MC-Huila,166156.11,172473.4
2026-02-06,22,PT1H,MC-Huila,141016.51,156075.0
2026-02-06,23,PT1H,MC-Huila,118998.07,141774.7
2026-02-06,24,PT1H,MC-Huila,116199.92,138922.2
2023-02-07,1,PT1H,MC-Huila,123770.4,121042.94
2023-02-07,2,PT1H,MC-Huila,119015.88,115902.73
2023-02-07,3,PT1H,MC-Huila,114886.06,113112.93
2023-02-07,4,PT1H,MC-Huila,112462.23,111719.71
2023-02-07,5,PT1H,MC-Huila,114145.95,112067.08
2023-02-07,6,PT1H,MC-Huila,120991.12,117629.13
2023-02-07,7,PT1H,MC-Huila,128562.64,126362.28
2023-02-07,8,PT1H,MC-Huila,135426.38,138114.91
2023-02-07,9,PT1H,MC-Huila,136354.98,143755.95
2023-02-07,10,PT1H,MC-Huila,143304.08,149693.81
2023-02-07,11,PT1H,MC-Huila,154521.78,158654.13
2023-02-07,12,PT1H,MC-Huila,162190.22,165404.7
2023-02-07,13,PT1H,MC-Huila,153909.22,158334.03
