Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Meta,162869.5,168270.0
2023-04-13,2,PT1H,MC-Meta,156967.72,163460.0
2023-04-13,3,PT1H,MC-Meta,154940.81,160040.0
2023-04-13,4,PT1H,MC-Meta,153387.03,159520.0
2023-04-13,5,PT1H,MC-Meta,155022.5,160100.0
2023-04-13,6,PT1H,MC-Meta,158235.73,163590.0
2023-04-13,7,PT1H,MC-Meta,159474.36,161230.0
2023-04-13,8,PT1H,MC-Meta,174678.83,175450.0
2023-04-13,9,PT1H,MC-Meta,187826.14,188490.0
2023-04-13,10,PT1H,MC-Meta,200945.23,196690.0
2023-04-13,11,PT1H,MC-Meta,212306.27,204550.0
2023-04-13,12,PT1H,MC-Meta,225472.98,210740.0
2023-04-13,13,PT1H,MC-Meta,222327.86,207320.0
2023-04-13,14,PT1H,MC-Meta,226513.56,207870.0
2023-04-13,15,PT1H,MC-Meta,224283.92,216330.0
2023-04-13,16,PT1H,MC-Meta,221975.88,215030.0
2023-04-13,17,PT1H,MC-Meta,218974.98,212390.0
2023-04-13,18,PT1H,MC-Meta,214107.69,208780.0
2023-04-13,19,PT1H,MC-Meta,227062.14,220460.0
2023-04-13,20,PT1H,MC-Meta,229766.5,222520.0
2023-04-13,21,PT1H,MC-Meta,222361.52,216650.0
2023-04-13,22,PT1H,MC-Meta,209771.13,205510.0
2023-04-13,23,PT1H,MC-Meta,192506.63,191640.0
2023-04-13,24,PT1H,MC-Meta,177845.44,177020.0
2025-10-14,24,PT1H,MC-Meta,441703.58,583367.2
2025-10-14,1,PT1H,MC-Meta,382320.18,547039.2
2025-10-14,2,PT1H,MC-Meta,375998.78,537273.2
2025-10-14,3,PT1H,MC-Meta,375774.86,533103.2
2025-10-14,4,PT1H,MC-Meta,373256.58,524721.2
2025-10-14,5,PT1H,MC-Meta,378707.78,528279.2
2025-10-14,6,PT1H,MC-Meta,391181.76,544953.2
2025-10-14,7,PT1H,MC-Meta,404233.14,550731.2
2025-10-14,8,PT1H,MC-Meta,424119.2,539157.2
2025-10-14,9,PT1H,MC-Meta,408411.98,547343.2
2025-10-14,10,PT1H,MC-Meta,416970.38,552779.2
2025-10-14,11,PT1H,MC-Meta,442349.82,559361.2
2025-10-14,12,PT1H,MC-Meta,464387.34,572547.2
2025-10-14,13,PT1H,MC-Meta,490349.42,572237.2
2025-10-14,14,PT1H,MC-Meta,481441.84,568719.2
2025-10-14,15,PT1H,MC-Meta,477566.3,600201.2
2025-10-14,16,PT1H,MC-Meta,481428.04,617769.2
2025-10-14,17,PT1H,MC-Meta,520048.9,648441.2
