Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Planeta,42814.78,44883.48
2023-04-13,2,PT1H,MC-Planeta,41584.97,43432.23
2023-04-13,3,PT1H,MC-Planeta,40365.0,42546.73
2023-04-13,4,PT1H,MC-Planeta,39674.87,41109.16
2023-04-13,5,PT1H,MC-Planeta,39296.79,40627.91
2023-04-13,6,PT1H,MC-Planeta,39157.75,40880.79
2023-04-13,7,PT1H,MC-Planeta,35310.56,37090.79
2023-04-13,8,PT1H,MC-Planeta,35311.6,36777.06
2023-04-13,9,PT1H,MC-Planeta,35627.11,37776.46
2023-04-13,10,PT1H,MC-Planeta,36514.62,38820.83
2023-04-13,11,PT1H,MC-Planeta,38241.35,39780.83
2023-04-13,12,PT1H,MC-Planeta,39665.12,41265.59
2023-04-13,13,PT1H,MC-Planeta,40318.78,42744.34
2023-04-13,14,PT1H,MC-Planeta,42703.14,44263.09
2023-04-13,15,PT1H,MC-Planeta,44907.64,46618.09
2023-04-13,16,PT1H,MC-Planeta,45459.61,46892.42
2023-04-13,17,PT1H,MC-Planeta,44371.48,44751.17
2023-04-13,18,PT1H,MC-Planeta,41556.34,43096.17
2023-04-13,19,PT1H,MC-Planeta,46109.68,47511.48
2023-04-13,20,PT1H,MC-Planeta,49709.15,51636.57
2023-04-13,21,PT1H,MC-Planeta,51269.3,52033.04
2023-04-13,22,PT1H,MC-Planeta,51735.97,51995.16
2023-04-13,23,PT1H,MC-Planeta,50240.1,50504.83
2023-04-13,24,PT1H,MC-Planeta,47505.87,48512.33
2025-10-14,1,PT1H,MC-Planeta,88973.4,94512.9
2025-10-14,2,PT1H,MC-Planeta,85709.16,91085.4
2025-10-14,3,PT1H,MC-Planeta,83866.1,88055.4
2025-10-14,4,PT1H,MC-Planeta,82194.92,85395.9
2025-10-14,5,PT1H,MC-Planeta,80317.72,83040.9
2025-10-14,6,PT1H,MC-Planeta,77970.46,80775.1
2025-10-14,7,PT1H,MC-Planeta,70330.0,75719.7
2025-10-14,8,PT1H,MC-Planeta,72097.48,75647.6
2025-10-14,9,PT1H,MC-Planeta,77063.76,77475.9
2025-10-14,10,PT1H,MC-Planeta,79464.04,79452.9
2025-10-14,11,PT1H,MC-Planeta,82451.82,81525.9
2025-10-14,12,PT1H,MC-Planeta,86342.04,83670.4
2025-10-14,13,PT1H,MC-Planeta,85175.22,83655.9
2025-10-14,14,PT1H,MC-Planeta,88789.2,87253.4
2025-10-14,15,PT1H,MC-Planeta,92647.98,91027.9
2025-10-14,16,PT1H,MC-Planeta,93411.6,91089.5
2025-10-14,17,PT1H,MC-Planeta,90381.7,87980.0
2025-10-14,18,PT1H,MC-Planeta,85732.6,85097.5
2025-10-14,19,PT1H,MC-Planeta,93590.92,96042.9
2025-10-14,20,PT1H,MC-Planeta,98743.04,99145.4
2025-10-14,21,PT1H,MC-Planeta,100419.38,100968.4
2025-10-14,22,PT1H,MC-Planeta,100432.08,102230.9
2025-10-14,23,PT1H,MC-Planeta,95349.9,100627.9
2025-10-14,24,PT1H,MC-Planeta,88320.36,96115.4
2026-02-06,1,PT1H,MC-Planeta,46526.25,43879.4
2026-02-06,2,PT1H,MC-Planeta,44877.08,42323.5
2026-02-06,3,PT1H,MC-Planeta,43209.8,41122.2
2026-02-06,4,PT1H,MC-Planeta,42169.45,40268.8
2026-02-06,5,PT1H,MC-Planeta,40924.21,39675.0
2026-02-06,6,PT1H,MC-Planeta,40623.31,39265.3
2026-02-06,7,PT1H,MC-Planeta,38431.38,36414.7
2026-02-06,8,PT1H,MC-Planeta,36600.81,36413.5
2026-02-06,9,PT1H,MC-Planeta,36816.51,37176.0
2026-02-06,10,PT1H,MC-Planeta,36979.9,38035.4
2026-02-06,11,PT1H,MC-Planeta,36298.87,38995.2
2026-02-06,12,PT1H,MC-Planeta,36479.3,39921.2
2026-02-06,13,PT1H,MC-Planeta,33836.84,39945.2
2026-02-06,14,PT1H,MC-Planeta,32707.57,42036.5
2026-02-06,15,PT1H,MC-Planeta,32091.34,43928.0
2026-02-06,16,PT1H,MC-Planeta,32761.87,43949.0
2026-02-06,17,PT1H,MC-Planeta,32578.06,42330.2
2026-02-06,18,PT1H,MC-Planeta,33190.35,40727.1
2026-02-06,19,PT1H,MC-Planeta,37837.45,44909.1
2026-02-06,20,PT1H,MC-Planeta,39540.89,47801.6
2026-02-06,21,PT1H,MC-Planeta,38475.08,48923.6
2026-02-06,22,PT1H,MC-Planeta,37665.24,49561.2
2026-02-06,23,PT1H,MC-Planeta,36617.06,49298.1
2026-02-06,24,PT1H,MC-Planeta,35175.57,47408.6
2023-02-07,1,PT1H,MC-Planeta,44405.1,42305.19
2023-02-07,2,PT1H,MC-Planeta,42425.17,40480.19
2023-02-07,3,PT1H,MC-Planeta,40728.47,39220.19
2023-02-07,4,PT1H,MC-Planeta,39813.45,38047.32
2023-02-07,5,PT1H,MC-Planeta,39652.83,37656.07
2023-02-07,6,PT1H,MC-Planeta,40061.19,37762.37
2023-02-07,7,PT1H,MC-Planeta,37143.83,35368.62
2023-02-07,8,PT1H,MC-Planeta,36749.5,34314.18
2023-02-07,9,PT1H,MC-Planeta,37775.11,35466.68
2023-02-07,10,PT1H,MC-Planeta,38071.29,36381.68
2023-02-07,11,PT1H,MC-Planeta,39412.49,37591.32
2023-02-07,12,PT1H,MC-Planeta,41016.12,38626.44
2023-02-07,13,PT1H,MC-Planeta,40704.63,38872.69
2023-02-07,14,PT1H,MC-Planeta,42576.57,40306.07
2023-02-07,15,PT1H,MC-Planeta,44205.81,41666.06
2023-02-07,16,PT1H,MC-Planeta,43724.81,42118.94
2023-02-07,17,PT1H,MC-Planeta,35004.95,40965.19
2023-02-07,18,PT1H,MC-Planeta,35301.18,40348.94
2023-02-07,19,PT1H,MC-Planeta,46914.57,45515.62
2023-02-07,20,PT1H,MC-Planeta,51121.56,48311.87
2023-02-07,21,PT1H,MC-Planeta,52053.97,48765.62
2023-02-07,22,PT1H,MC-Planeta,52602.15,48431.72
2023-02-07,23,PT1H,MC-Planeta,51065.14,47145.47
2023-02-07,24,PT1H,MC-Planeta,48478.0,45478.94
2023-05-06,1,PT1H,MC-Planeta,50244.89,44493.99
2023-05-06,2,PT1H,MC-Planeta,48420.45,42792.73
2023-05-06,3,PT1H,MC-Planeta,46550.9,41308.51
2023-05-06,4,PT1H,MC-Planeta,45151.54,40793.67
2023-05-06,5,PT1H,MC-Planeta,44570.74,40030.48
2023-05-06,6,PT1H,MC-Planeta,43510.9,39563.76
2023-05-06,7,PT1H,MC-Planeta,40426.53,36406.84
2023-05-06,8,PT1H,MC-Planeta,39848.53,36230.96
2023-05-06,9,PT1H,MC-Planeta,39658.96,36727.16
2023-05-06,10,PT1H,MC-Planeta,40386.92,37553.59
2023-05-06,11,PT1H,MC-Planeta,40902.52,38325.88
2023-05-06,12,PT1H,MC-Planeta,42777.65,39410.12
2023-05-06,13,PT1H,MC-Planeta,43640.82,40323.4
2023-05-06,14,PT1H,MC-Planeta,45261.36,41568.68
2023-05-06,15,PT1H,MC-Planeta,46347.97,42804.14
2023-05-06,16,PT1H,MC-Planeta,45702.16,41797.36
2023-05-06,17,PT1H,MC-Planeta,44304.48,40801.84
2023-05-06,18,PT1H,MC-Planeta,43527.85,39833.4
2023-05-06,19,PT1H,MC-Planeta,47127.5,45252.89
2023-05-06,20,PT1H,MC-Planeta,48484.06,47842.99
2023-05-06,21,PT1H,MC-Planeta,48827.94,48367.36
2023-05-06,22,PT1H,MC-Planeta,49184.03,48494.92
2023-05-06,23,PT1H,MC-Planeta,48212.42,48071.8
2023-05-06,24,PT1H,MC-Planeta,46739.33,46651.29
2025-07-02,1,PT1H,MC-Planeta,50688.74,47950.6
2025-07-02,2,PT1H,MC-Planeta,48235.68,46471.0
2025-07-02,3,PT1H,MC-Planeta,46717.73,45163.1
2025-07-02,4,PT1H,MC-Planeta,45718.88,44017.3
2025-07-02,5,PT1H,MC-Planeta,44710.68,43064.3
2025-07-02,6,PT1H,MC-Planeta,42871.76,42058.7
2025-07-02,7,PT1H,MC-Planeta,39056.15,38030.3
2025-07-02,8,PT1H,MC-Planeta,37851.77,38109.6
2025-07-02,9,PT1H,MC-Planeta,39605.92,39005.8
2025-07-02,10,PT1H,MC-Planeta,40361.22,40033.7
2025-07-02,11,PT1H,MC-Planeta,41712.22,41105.8
2025-07-02,12,PT1H,MC-Planeta,42907.43,42242.0
2025-07-02,13,PT1H,MC-Planeta,44429.64,42233.7
2025-07-02,14,PT1H,MC-Planeta,46264.62,44228.3
2025-07-02,15,PT1H,MC-Planeta,45818.14,46248.3
2025-07-02,16,PT1H,MC-Planeta,45275.08,46212.5
2025-07-02,17,PT1H,MC-Planeta,44903.31,45213.7
2025-07-02,18,PT1H,MC-Planeta,43340.72,44243.3
2025-07-02,19,PT1H,MC-Planeta,47270.8,47479.1
2025-07-02,20,PT1H,MC-Planeta,52149.46,51151.7
2025-07-02,21,PT1H,MC-Planeta,53325.1,52642.7
2025-07-02,22,PT1H,MC-Planeta,53562.76,53408.5
2025-07-02,23,PT1H,MC-Planeta,52901.06,53448.8
2025-07-02,24,PT1H,MC-Planeta,43032.03,50831.0
2024-05-10,1,PT1H,MC-Planeta,41110.71,48431.61
2024-05-10,2,PT1H,MC-Planeta,39027.72,46699.26
2024-05-10,3,PT1H,MC-Planeta,38082.88,45077.87
2024-05-10,4,PT1H,MC-Planeta,37417.96,43382.53
2024-05-10,5,PT1H,MC-Planeta,36940.2,41808.0
2024-05-10,6,PT1H,MC-Planeta,35282.15,40141.29
2024-05-10,7,PT1H,MC-Planeta,33249.9,35444.01
2024-05-10,8,PT1H,MC-Planeta,34265.32,35544.34
2024-05-10,9,PT1H,MC-Planeta,38236.4,37353.68
2024-05-10,10,PT1H,MC-Planeta,47553.98,39614.26
2024-05-10,11,PT1H,MC-Planeta,52897.88,41956.63
2024-05-10,12,PT1H,MC-Planeta,53096.72,44764.77
2024-05-10,13,PT1H,MC-Planeta,50679.51,47858.86
2024-05-10,14,PT1H,MC-Planeta,46165.29,52045.32
2024-05-10,15,PT1H,MC-Planeta,55234.47,51929.06
2024-05-10,16,PT1H,MC-Planeta,47623.68,47848.01
2024-05-10,17,PT1H,MC-Planeta,42910.35,44623.97
2024-05-10,18,PT1H,MC-Planeta,42099.48,41721.47
2024-05-10,19,PT1H,MC-Planeta,46428.34,47901.47
2024-05-10,20,PT1H,MC-Planeta,48665.82,50058.97
2024-05-10,21,PT1H,MC-Planeta,48792.44,52161.71
2024-05-10,22,PT1H,MC-Planeta,49104.49,52746.09
2024-05-10,23,PT1H,MC-Planeta,47701.65,51919.84
2024-05-10,24,PT1H,MC-Planeta,45532.81,50376.71
2025-05-06,1,PT1H,MC-Planeta,41632.46,47640.5
2025-05-06,2,PT1H,MC-Planeta,40131.45,46163.0
2025-05-06,3,PT1H,MC-Planeta,39538.61,44787.9
2025-05-06,4,PT1H,MC-Planeta,38586.83,43555.9
2025-05-06,5,PT1H,MC-Planeta,38190.59,42540.9
2025-05-06,6,PT1H,MC-Planeta,37502.08,41790.9
2025-05-06,7,PT1H,MC-Planeta,34049.76,37919.7
2025-05-06,8,PT1H,MC-Planeta,33760.84,37877.2
2025-05-06,9,PT1H,MC-Planeta,34363.98,38980.9
2025-05-06,10,PT1H,MC-Planeta,35992.75,39982.3
2025-05-06,11,PT1H,MC-Planeta,37662.09,41083.3
2025-05-06,12,PT1H,MC-Planeta,39030.13,42221.1
2025-05-06,13,PT1H,MC-Planeta,38265.38,42193.6
2025-05-06,14,PT1H,MC-Planeta,40054.3,42912.3
2025-05-06,15,PT1H,MC-Planeta,40569.62,43724.2
2025-05-06,16,PT1H,MC-Planeta,40379.28,43739.2
2025-05-06,17,PT1H,MC-Planeta,38036.97,42921.4
2025-05-06,18,PT1H,MC-Planeta,38760.43,42088.9
2025-05-06,19,PT1H,MC-Planeta,44359.21,46925.5
2025-05-06,20,PT1H,MC-Planeta,47589.82,50596.7
2025-05-06,21,PT1H,MC-Planeta,48802.53,51682.9
2025-05-06,22,PT1H,MC-Planeta,49907.71,52290.6
2025-05-06,23,PT1H,MC-Planeta,48962.17,51301.3
2025-05-06,24,PT1H,MC-Planeta,46805.57,49293.5
2025-02-26,1,PT1H,MC-Planeta,47864.48,49293.3
2025-02-26,2,PT1H,MC-Planeta,44779.86,47614.3
2025-02-26,3,PT1H,MC-Planeta,43507.55,46199.3
2025-02-26,4,PT1H,MC-Planeta,42300.33,45217.2
2025-02-26,5,PT1H,MC-Planeta,41436.85,44577.3
2025-02-26,6,PT1H,MC-Planeta,40579.31,44044.3
2025-02-26,7,PT1H,MC-Planeta,37941.47,40294.2
2025-02-26,8,PT1H,MC-Planeta,37931.81,40342.9
2025-02-26,9,PT1H,MC-Planeta,37960.46,40790.7
2025-02-26,10,PT1H,MC-Planeta,37313.09,41342.7
2025-02-26,11,PT1H,MC-Planeta,36982.03,42024.4
2025-02-26,12,PT1H,MC-Planeta,38973.79,42763.2
2025-02-26,13,PT1H,MC-Planeta,37372.41,42803.9
2025-02-26,14,PT1H,MC-Planeta,39388.14,44942.2
2025-02-26,15,PT1H,MC-Planeta,41610.6,46988.1
2025-02-26,16,PT1H,MC-Planeta,41660.58,46956.1
2025-02-26,17,PT1H,MC-Planeta,40442.69,45281.5
2025-02-26,18,PT1H,MC-Planeta,39207.48,43791.1
2025-02-26,19,PT1H,MC-Planeta,42905.37,47996.6
2025-02-26,20,PT1H,MC-Planeta,46843.39,51799.7
2025-02-26,21,PT1H,MC-Planeta,47903.99,53744.7
2025-02-26,22,PT1H,MC-Planeta,48974.79,54667.2
2025-02-26,23,PT1H,MC-Planeta,47599.66,54689.2
2025-02-26,24,PT1H,MC-Planeta,45497.18,52684.7
2022-07-07,1,PT1H,MC-Planeta,42129.94,39620.85
2022-07-07,2,PT1H,MC-Planeta,40934.38,38136.48
2022-07-07,3,PT1H,MC-Planeta,39116.86,36945.72
2022-07-07,4,PT1H,MC-Planeta,38338.25,35949.47
2022-07-07,5,PT1H,MC-Planeta,37839.95,35223.19
2022-07-07,6,PT1H,MC-Planeta,37719.43,34917.91
2022-07-07,7,PT1H,MC-Planeta,35238.59,32325.47
2022-07-07,8,PT1H,MC-Planeta,35277.46,32948.3
2022-07-07,9,PT1H,MC-Planeta,35247.3,33684.93
2022-07-07,10,PT1H,MC-Planeta,35258.31,34804.65
2022-07-07,11,PT1H,MC-Planeta,36322.99,35892.16
2022-07-07,12,PT1H,MC-Planeta,37568.59,37094.59
2022-07-07,13,PT1H,MC-Planeta,37725.86,37210.83
2022-07-07,14,PT1H,MC-Planeta,39093.04,38480.22
