Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Putumayo,11123.65,10146.29
2023-04-13,2,PT1H,MC-Putumayo,10618.99,9689.22
2023-04-13,3,PT1H,MC-Putumayo,10426.38,9513.49
2023-04-13,4,PT1H,MC-Putumayo,10342.4,9422.77
2023-04-13,5,PT1H,MC-Putumayo,10396.03,9464.0
2023-04-13,6,PT1H,MC-Putumayo,11102.65,9800.14
2023-04-13,7,PT1H,MC-Putumayo,11443.32,9989.11
2023-04-13,8,PT1H,MC-Putumayo,12015.17,10734.02
2023-04-13,9,PT1H,MC-Putumayo,12677.7,11660.99
2023-04-13,10,PT1H,MC-Putumayo,13508.93,12304.85
2023-04-13,11,PT1H,MC-Putumayo,14287.84,12999.74
2023-04-13,12,PT1H,MC-Putumayo,15087.92,13652.41
2023-04-13,13,PT1H,MC-Putumayo,14305.21,13183.45
2023-04-13,14,PT1H,MC-Putumayo,14515.73,13176.17
2023-04-13,15,PT1H,MC-Putumayo,15789.42,13491.39
2023-04-13,16,PT1H,MC-Putumayo,15976.27,13468.56
2023-04-13,17,PT1H,MC-Putumayo,15855.6,13415.78
2023-04-13,18,PT1H,MC-Putumayo,14829.08,13689.87
2023-04-13,19,PT1H,MC-Putumayo,16280.41,14861.81
2023-04-13,20,PT1H,MC-Putumayo,17096.83,15466.9
2023-04-13,21,PT1H,MC-Putumayo,16360.22,14853.83
2023-04-13,22,PT1H,MC-Putumayo,15120.83,13889.6
2023-04-13,23,PT1H,MC-Putumayo,13985.88,12486.36
2023-04-13,24,PT1H,MC-Putumayo,12383.38,11260.94
2025-10-14,6,PT1H,MC-Putumayo,23417.56,21755.2
2025-10-14,7,PT1H,MC-Putumayo,24940.2,22334.3
2025-10-14,8,PT1H,MC-Putumayo,28360.18,23346.0
2025-10-14,9,PT1H,MC-Putumayo,29389.36,24502.3
2025-10-14,10,PT1H,MC-Putumayo,30467.78,26800.7
2025-10-14,11,PT1H,MC-Putumayo,32433.88,28729.4
2025-10-14,12,PT1H,MC-Putumayo,29744.96,29798.8
2025-10-14,13,PT1H,MC-Putumayo,30287.06,29367.3
2025-10-14,14,PT1H,MC-Putumayo,29142.72,28992.2
2025-10-14,15,PT1H,MC-Putumayo,32894.98,30655.7
2025-10-14,16,PT1H,MC-Putumayo,35121.14,31791.3
2025-10-14,17,PT1H,MC-Putumayo,34665.56,31794.5
