Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2025-10-14,1,PT1H,MC-Reficar,11070.4,16020.0
2025-10-14,2,PT1H,MC-Reficar,10840.08,16020.0
2025-10-14,3,PT1H,MC-Reficar,10447.98,16020.0
2025-10-14,4,PT1H,MC-Reficar,8836.12,16020.0
2025-10-14,5,PT1H,MC-Reficar,8795.28,16020.0
2025-10-14,6,PT1H,MC-Reficar,9089.18,16020.0
2025-10-14,7,PT1H,MC-Reficar,8864.38,16020.0
2025-10-14,8,PT1H,MC-Reficar,13244.42,16020.0
2025-10-14,9,PT1H,MC-Reficar,15368.58,16020.0
2025-10-14,10,PT1H,MC-Reficar,16569.08,16020.0
2025-10-14,11,PT1H,MC-Reficar,14651.16,16020.0
2025-10-14,12,PT1H,MC-Reficar,14556.98,16020.0
2025-10-14,13,PT1H,MC-Reficar,14719.0,16020.0
2025-10-14,14,PT1H,MC-Reficar,15949.28,16020.0
2025-10-14,15,PT1H,MC-Reficar,15133.26,16020.0
2025-10-14,16,PT1H,MC-Reficar,15161.8,16020.0
2025-10-14,17,PT1H,MC-Reficar,15552.5,16020.0
2025-10-14,18,PT1H,MC-Reficar,15567.02,16020.0
2025-10-14,19,PT1H,MC-Reficar,16743.04,16000.0
2025-10-14,20,PT1H,MC-Reficar,15494.2,16000.0
2025-10-14,21,PT1H,MC-Reficar,15365.92,16000.0
2025-10-14,22,PT1H,MC-Reficar,15337.44,16020.0
2025-10-14,23,PT1H,MC-Reficar,14682.08,16020.0
2025-10-14,24,PT1H,MC-Reficar,13821.74,16020.0
2026-02-06,1,PT1H,MC-Reficar,0.0,10.0
2026-02-06,2,PT1H,MC-Reficar,0.0,10.0
2026-02-06,3,PT1H,MC-Reficar,0.0,10.0
2026-02-06,4,PT1H,MC-Reficar,0.0,10.0
2026-02-06,5,PT1H,MC-Reficar,0.0,10.0
2026-02-06,6,PT1H,MC-Reficar,0.0,10.0
2026-02-06,7,PT1H,MC-Reficar,0.0,10.0
2026-02-06,8,PT1H,MC-Reficar,0.0,10.0
2026-02-06,9,PT1H,MC-Reficar,0.0,10.0
2026-02-06,10,PT1H,MC-Reficar,0.0,10.0
2026-02-06,11,PT1H,MC-Reficar,0.0,10.0
2026-02-06,12,PT1H,MC-Reficar,0.0,10.0
2026-02-06,13,PT1H,MC-Reficar,0.0,10.0
2026-02-06,14,PT1H,MC-Reficar,0.0,10.0
2026-02-06,15,PT1H,MC-Reficar,0.0,10.0
2026-02-06,16,PT1H,MC-Reficar,0.0,10.0
2026-02-06,17,PT1H,MC-Reficar,0.0,10.0
2026-02-06,18,PT1H,MC-Reficar,0.0,10.0
2026-02-06,19,PT1H,MC-Reficar,0.0,0.0
2026-02-06,20,PT1H,MC-Reficar,0.0,0.0
2026-02-06,21,PT1H,MC-Reficar,0.0,0.0
2026-02-06,22,PT1H,MC-Reficar,0.0,10.0
2026-02-06,23,PT1H,MC-Reficar,0.0,10.0
2026-02-06,24,PT1H,MC-Reficar,0.0,10.0
2025-07-02,1,PT1H,MC-Reficar,10185.7,10010.0
