Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-SIN,8192413.0,7975374.0
2023-04-13,2,PT1H,MC-SIN,7915710.0,7713564.0
2023-04-13,3,PT1H,MC-SIN,7701593.5,7534239.5
2023-04-13,4,PT1H,MC-SIN,7624350.5,7449333.0
2023-04-13,5,PT1H,MC-SIN,7823102.5,7626975.5
2023-04-13,6,PT1H,MC-SIN,8277788.0,8056136.0
2023-04-13,7,PT1H,MC-SIN,8417855.0,8221185.5
2023-04-13,8,PT1H,MC-SIN,8873432.0,8665709.0
2023-04-13,9,PT1H,MC-SIN,9317622.0,9114793.0
2023-04-13,10,PT1H,MC-SIN,9586559.0,9385538.0
2023-04-13,11,PT1H,MC-SIN,9943234.0,9713448.0
2023-04-13,12,PT1H,MC-SIN,10223374.0,9966625.0
2023-04-13,13,PT1H,MC-SIN,10122623.0,9907114.0
2023-04-13,14,PT1H,MC-SIN,10206671.0,9956277.0
2023-04-13,15,PT1H,MC-SIN,10407649.0,10139183.0
2023-04-13,16,PT1H,MC-SIN,10432283.0,10158097.0
2023-04-13,17,PT1H,MC-SIN,10257619.0,9977055.0
2023-04-13,18,PT1H,MC-SIN,9991290.0,9684578.0
2023-04-13,19,PT1H,MC-SIN,10393063.0,10550967.0
2023-04-13,20,PT1H,MC-SIN,10608941.0,10719806.0
2023-04-13,21,PT1H,MC-SIN,10393979.0,10535275.0
2023-04-13,22,PT1H,MC-SIN,9876747.0,9657447.0
2023-04-13,23,PT1H,MC-SIN,9247751.0,9057176.0
2023-04-13,24,PT1H,MC-SIN,8693495.0,8500678.0
2025-10-14,1,PT1H,MC-SIN,16414684.82,16800810.1
2025-10-14,2,PT1H,MC-SIN,15828098.18,16237869.6
2025-10-14,3,PT1H,MC-SIN,15464146.6,15847875.1
2025-10-14,4,PT1H,MC-SIN,15332867.2,15691396.7
2025-10-14,5,PT1H,MC-SIN,15817710.7,16066738.3
2025-10-14,6,PT1H,MC-SIN,16761401.06,16917119.3
2025-10-14,7,PT1H,MC-SIN,17095996.6,17326560.6
2025-10-14,8,PT1H,MC-SIN,18031460.7,18118806.3
2025-10-14,9,PT1H,MC-SIN,18745726.0,18954356.7
2025-10-14,10,PT1H,MC-SIN,19406800.92,19557719.9
2025-10-14,11,PT1H,MC-SIN,20169635.04,20199960.4
2025-10-14,12,PT1H,MC-SIN,20819082.12,20749065.7
2025-10-14,13,PT1H,MC-SIN,20873092.08,20709120.1
2025-10-14,14,PT1H,MC-SIN,21232818.96,20906729.4
2025-10-14,15,PT1H,MC-SIN,21777447.52,21343473.0
2025-10-14,16,PT1H,MC-SIN,21778020.84,21431288.9
2025-10-14,17,PT1H,MC-SIN,21604288.12,21229128.2
2025-10-14,18,PT1H,MC-SIN,21376661.42,20915745.8
2025-10-14,19,PT1H,MC-SIN,22615009.18,22860612.2
2025-10-14,20,PT1H,MC-SIN,22681889.94,23100990.1
2025-10-14,21,PT1H,MC-SIN,22173877.54,22801100.1
2025-10-14,22,PT1H,MC-SIN,21134063.68,20842628.9
2025-10-14,23,PT1H,MC-SIN,19800358.02,19512827.8
2025-10-14,24,PT1H,MC-SIN,18434401.32,18309739.1
2026-02-06,1,PT1H,MC-SIN,9092211.13,8788681.1
2026-02-06,2,PT1H,MC-SIN,8782821.85,8467032.0
2026-02-06,3,PT1H,MC-SIN,8544139.41,8249220.7
2026-02-06,4,PT1H,MC-SIN,8420701.63,8150290.5
2026-02-06,5,PT1H,MC-SIN,8583655.6,8311026.5
2026-02-06,6,PT1H,MC-SIN,9073994.95,8717509.5
2026-02-06,7,PT1H,MC-SIN,9289597.44,8912344.2
2026-02-06,8,PT1H,MC-SIN,9570020.22,9279516.0
2026-02-06,9,PT1H,MC-SIN,9983357.57,9661042.9
2026-02-06,10,PT1H,MC-SIN,10140812.32,9877733.8
2026-02-06,11,PT1H,MC-SIN,10349634.26,10138638.3
2026-02-06,12,PT1H,MC-SIN,10609477.27,10434791.8
2026-02-06,13,PT1H,MC-SIN,10508685.6,10387485.9
2026-02-06,14,PT1H,MC-SIN,10530795.25,10463511.1
2026-02-06,15,PT1H,MC-SIN,10702026.64,10706278.5
