Fecha,Periodo,CodigoDuracion,MercadoComercializacionOperativo,DemandaAtendida,PronDem
2023-04-13,1,PT1H,MC-Santander,301858.72,292463.0
2023-04-13,2,PT1H,MC-Santander,289567.25,278632.63
2023-04-13,3,PT1H,MC-Santander,281670.09,268954.88
2023-04-13,4,PT1H,MC-Santander,276593.91,263379.56
2023-04-13,5,PT1H,MC-Santander,279576.44,265089.19
2023-04-13,6,PT1H,MC-Santander,290998.75,275349.19
2023-04-13,7,PT1H,MC-Santander,303674.06,287156.97
2023-04-13,8,PT1H,MC-Santander,342149.78,324503.0
2023-04-13,9,PT1H,MC-Santander,373607.09,356147.53
2023-04-13,10,PT1H,MC-Santander,388674.41,375998.06
2023-04-13,11,PT1H,MC-Santander,403807.13,395786.41
2023-04-13,12,PT1H,MC-Santander,413323.03,407621.63
2023-04-13,13,PT1H,MC-Santander,400667.31,393288.78
2023-04-13,14,PT1H,MC-Santander,413914.13,404139.06
2023-04-13,15,PT1H,MC-Santander,426548.47,420266.75
2023-04-13,16,PT1H,MC-Santander,426348.31,421270.63
2023-04-13,17,PT1H,MC-Santander,420353.16,413939.22
2023-04-13,18,PT1H,MC-Santander,408543.28,403541.97
2023-04-13,19,PT1H,MC-Santander,425435.91,419198.06
2023-04-13,20,PT1H,MC-Santander,421234.28,412644.66
2023-04-13,21,PT1H,MC-Santander,402401.06,394540.91
2023-04-13,22,PT1H,MC-Santander,377878.0,370600.66
2023-04-13,23,PT1H,MC-Santander,347493.19,341554.16
2023-04-13,24,PT1H,MC-Santander,319616.22,313933.19
2025-10-14,1,PT1H,MC-Santander,546157.92,580373.3
2025-10-14,2,PT1H,MC-Santander,532132.3,553032.1
2025-10-14,3,PT1H,MC-Santander,523731.68,537151.2
2025-10-14,4,PT1H,MC-Santander,518089.3,527129.2
2025-10-14,5,PT1H,MC-Santander,527347.48,530408.7
2025-10-14,6,PT1H,MC-Santander,553903.16,551215.5
2025-10-14,7,PT1H,MC-Santander,584276.64,571461.1
2025-10-14,8,PT1H,MC-Santander,656851.76,640943.3
2025-10-14,9,PT1H,MC-Santander,727833.54,704533.9
2025-10-14,10,PT1H,MC-Santander,771359.2,738631.3
2025-10-14,11,PT1H,MC-Santander,813752.52,780988.4
2025-10-14,12,PT1H,MC-Santander,849206.04,804811.0
2025-10-14,13,PT1H,MC-Santander,824902.76,776667.7
2025-10-14,14,PT1H,MC-Santander,841869.68,798717.8
2025-10-14,15,PT1H,MC-Santander,877727.66,829505.7
2025-10-14,16,PT1H,MC-Santander,876849.44,836442.9
2025-10-14,17,PT1H,MC-Santander,862792.1,824396.3
2025-10-14,18,PT1H,MC-Santander,851837.66,796287.6
2025-10-14,19,PT1H,MC-Santander,881958.98,829603.7
2025-10-14,20,PT1H,MC-Santander,866822.4,830856.2
2025-10-14,21,PT1H,MC-Santander,826558.58,796452.0
2025-10-14,22,PT1H,MC-Santander,777486.08,748056.5
2025-10-14,23,PT1H,MC-Santander,713799.64,686297.3
2025-10-14,24,PT1H,MC-Santander,651281.04,626037.2
2026-02-06,1,PT1H,MC-Santander,320548.87,308701.3
2026-02-06,2,PT1H,MC-Santander,303090.69,294752.5
2026-02-06,3,PT1H,MC-Santander,290207.71,281167.0
2026-02-06,4,PT1H,MC-Santander,281841.21,275086.8
2026-02-06,5,PT1H,MC-Santander,282494.91,277940.7
2026-02-06,6,PT1H,MC-Santander,293186.2,286114.4
2026-02-06,7,PT1H,MC-Santander,303144.43,295639.3
2026-02-06,8,PT1H,MC-Santander,328456.92,334159.9
2026-02-06,9,PT1H,MC-Santander,358800.1,367684.7
2026-02-06,10,PT1H,MC-Santander,374462.65,383961.3
2026-02-06,11,PT1H,MC-Santander,389310.71,402235.5
2026-02-06,12,PT1H,MC-Santander,403018.92,414463.5
2026-02-06,13,PT1H,MC-Santander,392147.25,400366.6
2026-02-06,14,PT1H,MC-Santander,390845.1,407685.0
2026-02-06,15,PT1H,MC-Santander,405539.52,424542.8
2026-02-06,16,PT1H,MC-Santander,409761.82,427369.8
2026-02-06,17,PT1H,MC-Santander,401451.9,422139.5
2026-02-06,18,PT1H,MC-Santander,393992.62,417471.5
2026-02-06,19,PT1H,MC-Santander,418041.74,431900.5
2026-02-06,20,PT1H,MC-Santander,414689.53,420739.2
2026-02-06,21,PT1H,MC-Santander,395774.31,400194.8
2026-02-06,22,PT1H,MC-Santander,370797.13,373540.1
2026-02-06,23,PT1H,MC-Santander,339813.08,347961.7
2026-02-06,24,PT1H,MC-Santander,312994.63,324181.2
2023-02-07,1,PT1H,MC-Santander,296897.34,279123.75
2023-02-07,2,PT1H,MC-Santander,281984.91,266361.84
2023-02-07,3,PT1H,MC-Santander,271318.84,256441.86
2023-02-07,4,PT1H,MC-Santander,266464.97,251432.48
2023-02-07,5,PT1H,MC-Santander,269777.25,254420.86
2023-02-07,6,PT1H,MC-Santander,292837.78,264425.13
2023-02-07,7,PT1H,MC-Santander,302961.31,276398.13
2023-02-07,8,PT1H,MC-Santander,334633.97,314350.0
2023-02-07,9,PT1H,MC-Santander,363458.16,347261.34
2023-02-07,10,PT1H,MC-Santander,379688.13,365846.41
2023-02-07,11,PT1H,MC-Santander,401448.41,385523.22
2023-02-07,12,PT1H,MC-Santander,415782.25,396154.16
2023-02-07,13,PT1H,MC-Santander,400055.5,382716.13
2023-02-07,14,PT1H,MC-Santander,414843.72,391128.38
2023-02-07,15,PT1H,MC-Santander,433400.94,406287.78
2023-02-07,16,PT1H,MC-Santander,436526.91,405358.91
2023-02-07,17,PT1H,MC-Santander,427975.06,402268.38
2023-02-07,18,PT1H,MC-Santander,407875.66,393261.97
2023-02-07,19,PT1H,MC-Santander,421511.19,408102.75
2023-02-07,20,PT1H,MC-Santander,420344.41,400634.44
2023-02-07,21,PT1H,MC-Santander,404276.88,382459.75
2023-02-07,22,PT1H,MC-Santander,382579.22,359276.0
2023-02-07,23,PT1H,MC-Santander,352443.03,329995.16
2023-02-07,24,PT1H,MC-Santander,322577.03,302771.28
2023-05-06,1,PT1H,MC-Santander,331399.09,299430.0
2023-05-06,2,PT1H,MC-Santander,315385.0,285789.41
2023-05-06,3,PT1H,MC-Santander,302772.09,276683.97
2023-05-06,4,PT1H,MC-Santander,290584.09,271226.66
2023-05-06,5,PT1H,MC-Santander,287791.28,268745.38
