id_transaccion,fecha,producto,categoria,precio_unitario,cantidad,cliente_id,ciudad,estado_soporte
1001,2026-01-15,Laptop Pro 15,Hardware,1200.50,1,C-450,Bogotá,Completado
1002,2026-01-16,Monitor 4K,Hardware,350.00,2,C-122,Medellín,Pendiente
1003,2026-01-16,Licencia Office,Software,89.99,5,C-450,Bogotá,
1004,2026-01-17,Mouse Inalámbrico,Accesorios,25.00,10,C-890,Cali,Completado
1005,2026-01-18,Laptop Pro 15,Hardware,1200.50,1,C-332,Bogotá,En Proceso
1006,2026-01-20,Teclado Mecánico,Accesorios,75.00,,C-122,Medellín,Completado
1007,2026-01-21,Suscripción Nube,Software,15.00,12,C-556,Barranquilla,
1008,2026-01-22,Monitor 4K,Hardware,350.00,1,C-890,Cali,Pendiente
1009,2026-01-23,Laptop Pro 15,Hardware,1200.50,2,C-450,Bogotá,Completado
1010,2026-01-25,Mouse Inalámbrico,Accesorios,25.00,3,C-111,Cartagena,En Proceso
