v,i,freq,pot
220,15,60,3200
225,10,60,2200
215,20,59.8,4100
230,5,60.1,1120
218,25,60,5200
222,12,60,2600
219,18,59.9,3850
221,30,60,6300
224,8,60,1750
216,22,59.7,4600
220,0,60,0
1,1,60,1
5,2,60,9
10,4,60,38
220,15,50,3180
230,15,50,3350
110,10,60,1050
115,15,60,1650
108,20,59.9,2100
112,5,60,540
240,12,60,2800
245,18,60,4300
238,25,60.1,5800
200,10,59.5,1900
195,15,59.2,2800
190,20,59.0,3600
220,35,60,7400
220,40,60,8400
220,45,60,9400
220,50,60,10300
225,2,60,440
218,4,60,860
221,6,60,1300
219,14,60,3000
223,16,60,3500
217,24,59.8,5000
220,28,60,5900
222,32,60,6800
220,38,60,8000
220,42,60,8900
0,0,0,0
220,15,62,3210
220,15,58,3190
220,15,60,3100
220,15,60,3050
220,15,60,3000
210,12,60,2450
228,22,60.1,4850
214,17,59.9,3520
226,9,60,1980
