r,v,p
11.17,7.75,5.37
1328.92,21.54,0.35
216.6,2.67,0.03
71.68,20.11,5.64
1.82,4.88,13.06
1.82,7.52,31.04
0.81,24.12,718.51
659.16,258.3,101.22
73.15,43.19,25.5
177.62,1.66,0.02
0.59,3.45,20.1
1558.27,2.17,0.0
498.29,4.43,0.04
2.91,11.04,41.92
2.26,4.15,7.61
2.29,21.92,209.94
6.24,180.06,5199.3
38.83,181.48,848.2
17.98,10.79,6.47
5.6,10.01,17.88
79.97,114.17,162.99
1.59,16.72,175.83
5.64,420.32,31322.77
10.44,19.89,37.9
21.97,6.16,1.73
336.68,1.59,0.01
2.62,383.0,56001.25
35.59,2.99,0.25
68.06,4.15,0.25
0.73,1.87,4.78
77.16,22.34,6.47
2.06,16.08,125.77
0.86,171.46,34280.9
1308.92,37.77,1.09
1503.95,44.17,1.3
408.19,147.84,53.54
6.25,44.34,314.28
1.12,40.04,1426.13
145.75,330.1,747.62
19.25,19.0,18.75
1.38,59.8,2599.17
30.38,13.99,6.44
0.67,65.71,6493.64
942.75,1.59,0.0
4.28,102.19,2441.94
121.73,140.73,162.68
6.63,245.24,9065.82
37.35,27.36,20.04
46.59,7.91,1.34
2.32,104.47,4711.66
1554.08,371.83,88.97
309.77,131.32,55.67
1210.88,298.47,73.57
835.97,3.0,0.01
71.23,322.02,1455.88
1046.2,93.17,8.3
1.04,178.08,30444.01
2.54,17.3,117.76
0.73,41.12,2324.0
7.43,52.9,376.78
12.56,30.54,74.26
4.75,2.63,1.46
483.21,5.77,0.07
9.64,3.37,1.18
5.14,184.21,6602.49
45.06,13.06,3.79
1.61,7.99,39.69
387.73,5.33,0.07
0.93,88.64,8468.1
1793.89,30.77,0.53
302.44,46.75,7.23
2.6,121.41,5672.12
0.52,419.63,336405.98
432.82,111.18,28.56
175.84,422.78,1016.5
211.3,86.33,35.27
300.01,76.67,19.59
0.92,3.47,13.01
9.78,2.57,0.68
1.31,1.72,2.27
642.57,84.38,11.08
87.93,65.1,48.2
7.78,58.73,443.44
0.85,56.63,3786.56
6.59,81.8,1014.7
7.42,192.31,4985.66
212.35,101.85,48.85
98.97,48.76,24.02
784.81,5.32,0.04
25.11,129.37,666.39
1.35,6.4,30.34
185.4,78.06,32.87
275.02,3.28,0.04
52.57,29.03,16.03
299.25,59.27,11.74
30.04,170.88,972.19
38.18,88.82,206.6
17.34,162.42,1521.48
0.62,215.62,75308.73
1.22,244.24,48758.15
0.65,250.52,96714.69
98.03,6.93,0.49
6.78,163.81,3957.15
33.95,1.66,0.08
929.14,344.83,127.98
3.95,4.42,4.95
15.04,254.13,4294.71
263.34,160.42,97.72
3.34,14.42,62.31
0.95,404.23,172584.09
5.53,2.59,1.21
1.9,8.13,34.74
1116.34,6.53,0.04
407.26,1.57,0.01
95.62,3.9,0.16
688.69,151.13,33.17
392.5,188.19,90.23
2.35,113.7,5501.6
820.39,36.1,1.59
43.82,59.06,79.6
404.97,43.98,4.78
844.78,6.5,0.05
6.99,14.01,28.09
1.25,174.09,24332.41
3.31,2.59,2.02
17.28,1.88,0.2
442.09,81.66,15.08
630.05,195.58,60.71
0.53,54.13,5531.46
34.57,125.71,457.12
15.94,438.27,12049.47
3.16,58.6,1088.32
1.35,19.8,289.99
8.22,480.56,28081.45
1245.63,57.81,2.68
7.3,4.21,2.42
36.96,80.28,174.4
170.33,112.44,74.22
10.2,1.6,0.25
1582.66,18.56,0.22
1464.75,366.05,91.48
4.04,171.94,7325.53
30.91,4.93,0.79
6.06,8.8,12.78
5.31,69.45,908.47
0.68,301.03,133471.85
78.46,246.36,773.53
32.33,6.15,1.17
0.77,78.6,8061.31
5.04,39.76,313.46
934.54,13.31,0.19
3.65,8.62,20.38
1.66,27.12,442.26
28.97,40.76,57.35
1775.59,278.85,43.79
3.72,116.44,3641.86
131.84,2.13,0.03
276.93,4.19,0.06
3.59,5.97,9.93
209.92,4.96,0.12
10.56,8.38,6.64
94.75,15.9,2.67
95.72,1.65,0.03
42.55,2.23,0.12
1.06,70.32,4676.64
510.25,49.16,4.74
7.15,243.79,8309.55
2.35,385.02,63115.43
0.7,105.21,15786.49
67.21,14.85,3.28
137.91,112.97,92.53
0.57,43.26,3261.55
34.96,359.18,3690.39
3.27,287.07,25186.43
105.42,197.64,370.54
2.12,65.61,2026.88
154.09,4.05,0.11
12.36,131.18,1392.21
1183.39,247.33,51.69
1.56,117.64,8846.66
8.46,45.04,239.66
1.28,113.25,10009.0
1070.96,12.58,0.15
723.1,3.39,0.02
4.25,10.69,26.9
119.2,222.22,414.27
439.19,273.25,170.0
49.98,4.81,0.46
40.44,2.49,0.15
3.72,2.65,1.89
1.08,35.72,1178.72
852.7,7.08,0.06
875.65,17.99,0.37
95.38,35.67,13.34
8.32,2.09,0.53
9.05,146.99,2386.29
206.02,4.25,0.09
851.95,20.65,0.5
783.99,236.73,71.48
322.2,178.01,98.35
102.71,261.76,667.13
1.0,93.64,8727.27
1.91,5.88,18.12
862.22,15.04,0.26
76.45,2.7,0.1
0.54,13.08,316.92
1.16,1.54,2.05
122.73,35.06,10.02
0.52,2.03,7.87
1.9,2.85,4.27
47.37,44.21,41.26
155.32,2.2,0.03
111.53,82.79,61.46
3.21,75.3,1764.98
183.77,305.36,507.38
3.58,22.82,145.55
7.43,480.12,31019.04
244.27,317.57,412.85
109.39,18.43,3.1
